country,interview_key,district,respondant_relation_to_head,members_id,gender,relation_to_head,age,education_level,farm_empl_last_12_months,farm_empl_cash_crops_days_per_week,farm_empl_cash_crops_hours_per_day,farm_empl_food_crops_days_per_week,farm_empl_food_crops_hours_per_day,farm_empl_crops_years_experience_in_years,farm_empl_livestock_years_experience_in_years,sector_off_farm_empl_last_12_months,empl_type,self_empl_duration_in_months,self_empl_days_per_week,self_empl_hours_per_day,self_empl_motivation_others_success,self_empl_motivation_unemployment,self_empl_motivation_insufficient_income_1,self_empl_motivation_insufficient_income_2,self_empl_motivation_insufficient_income_3,self_empl_motivation_inherited_business,self_empl_years_experience_in_years,wage_empl_location,wage_empl_type,wage_empl_permament_wage_per_month,wage_empl_permament_days_per_week,wage_empl_permament_hours_per_day,wage_empl_seasonal_wage,wage_empl_seasonal_duration_days_per_week,wage_empl_seasonal_duration_hours_per_day,wage_empl_contract_status,beans_allocated_to_empl_occupation,aspired_occupation_5_years_ahead,aspiration_continue_farming,agriculture_loan_last_5_years,agriculture_loan_amount,most_common_child_aspiration,land_cropland_ownership_status,market_output_distance_in_km,crop_contract,subsidy,enumeration_area,region,personal_id
Botswana,30-84-56-78,CHOBE DISTRICT,,1,Male,Self/Head,35.0,University level,No,,,,,,,Travel and Tourism,Employee,,,,,,,,,,,In this village,Seasonal,,,,800,6.0,8.0,Part-time contract,5.0,Government officers/employees/ civil servant,Both,No,,Likely,Communally owned,,,,,,Botswana_30-84-56-78_1
Botswana,30-84-56-78,CHOBE DISTRICT,,1,Male,Self/Head,35.0,University level,No,,,,,,,"Hospitality (e.g., Accommodation &amp; Lodging )",Employee,,,,,,,,,,,In this village,Seasonal,,,,800,6.0,8.0,Part-time contract,5.0,Government officers/employees/ civil servant,Both,No,,Likely,Communally owned,,,,,,Botswana_30-84-56-78_1
Botswana,25-36-49-99,Chobe,Spouse,1,Female,Wife/Husband,70.0,Standard 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Retired/Pensioner,Not engaged in farming,No,,,,,,,,,Botswana_25-36-49-99_1
Botswana,95-91-52-45,Chobe,,1,Male,Self/Head,62.0,No formal education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Crop farming/cultivation,Continue to farming,No,,Very likely,,0.5,No,Yes,,,Botswana_95-91-52-45_1
Botswana,25-55-41-68,Chose District,,1,Female,Self/Head,47.0,Form 2,No,,,,,,,"Others, specify",Employee,,,,,,,,,,,In this village,Permanent,2500,6.0,12.0,,,,Fixed term permanent contract,4.0,"Other service sector jobs (worker in hotels, restaurants, shops, security guards, etc.)",Not engaged in farming,No,,,,,,,,,Botswana_25-55-41-68_1
Botswana,16-89-26-77,Chobe,Daughter,1,Female,Wife/Husband,35.0,Form 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Livestock keeping/raising,Both,No,,Very likely,,,,,,,Botswana_16-89-26-77_1
Botswana,32-98-78-03,Chobe,,1,Female,Self/Head,46.0,Standard 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Domestic/household helper,Both,No,,,,,,,,,Botswana_32-98-78-03_1
Botswana,76-60-63-85,Chobe,,1,Female,Self/Head,62.0,Standard 7,Yes,,,,,40.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,Crop farming/cultivation,Continue to farming,No,,,Communally owned,,,,,,Botswana_76-60-63-85_1
Botswana,56-53-87-19,Chobe,,1,Male,Self/Head,45.0,Form 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Self-employed agribusiness/agrienterprise,Both,No,,,,,,,,,Botswana_56-53-87-19_1
Botswana,17-45-76-38,chobe,Mother,1,Female,Self/Head,73.0,No formal education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Crop farming/cultivation,Continue to farming,No,,Very likely,,,,,,,Botswana_17-45-76-38_1
Botswana,25-00-79-64,chobe,Brother,1,Male,Sister/Brother,34.0,Form 5,No,,,,,,,"Others, specify",Employee,,,,,,,,,,,In this village,Seasonal,,,,850,5.0,8.0,Part-time contract,5.0,Government officers/employees/ civil servant,Both,No,,Very unlikely,,,,,,,Botswana_25-00-79-64_1
Botswana,49-47-26-23,chobe,,1,Male,Sister/Brother,57.0,Form 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,"Self-employed non-agribusiness (wholesale/retail trade, etc.)",Other non-agricultural business,No,,"Maybe, maybe not",,,,,,,Botswana_49-47-26-23_1
Botswana,66-81-51-91,Chobe,,1,Female,Self/Head,21.0,Form 5,No,,,,,,,Food industry,Self-employed/own business,4.0,6.0,6.0,No,Yes,No,No,No,No,1,,,,,,,,,,4.0,Both crop and livestock/fish farming,Continue to farming,No,,Likely,,,,,,,Botswana_66-81-51-91_1
Botswana,41-03-53-12,Chobe,,1,Male,Self/Head,33.0,Form 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,"Self-employed non-agribusiness (wholesale/retail trade, etc.)",Other non-agricultural business,No,,Likely,,,,,,,Botswana_41-03-53-12_1
Botswana,09-25-62-80,Chobe,,1,Male,Self/Head,73.0,No formal education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,Crop farming/cultivation,Other non-agricultural business,No,,Likely,,,,,,,Botswana_09-25-62-80_1
Botswana,09-25-62-80,Chobe,,2,Female,Wife/Husband,67.0,Standard 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,Livestock keeping/raising,Both,No,,Likely,,,,,,,Botswana_09-25-62-80_2
