interview__key,r_asset_own__id,ha0_1,ha0_2,ha0_3__0,ha0_3__1,ha0_4
"30-84-56-78","Simple Mobile Phone","2",2,"Yes",,"50"
"30-84-56-78","Smart Phone","2",5,"Yes",,"700"
"30-84-56-78","Building","2",4,"Yes",,"190"
"30-84-56-78","Electric Stove","1",2,"Yes",,"110"
"30-84-56-78","Gas or Paraffin Stove","1",2,"Yes",,"1200"
"30-84-56-78","Refrigerator","3",0,"Yes",,"2000"
"30-84-56-78","Freezer","1",0,"Yes",,"2500"
"30-84-56-78","Television","1",2,"Yes",,"1800"
"30-84-56-78","Living room furniture set","0",6,"Yes",,"0"
"30-84-56-78","Plastic chairs","40",5,"Yes",,"50"
"25-36-49-99","Simple Mobile Phone","1",2,,,"50"
"25-36-49-99","Smart Phone","3",3,"Yes",,"700"
"25-36-49-99","Building","1",1,,,"I don't know"
"25-36-49-99","Electric Stove","1",1,"Yes",,"500"
"25-36-49-99","Gas or Paraffin Stove","1",1,"Yes",,"100"
"25-36-49-99","Refrigerator","1",2,"Yes",,"2000"
"25-36-49-99","Television","1",1,"Yes",,"1500"
"25-36-49-99","Living room furniture set","1",1,"Yes",,"I don't know"
"25-36-49-99","Plastic chairs","15",20,"Yes",,"30"
"25-36-49-99","Wheelbarrow","1",1,"Yes",,"I don't know"
"95-91-52-45","Simple Mobile Phone","1",3,"Yes",,"I don't know"
"95-91-52-45","Building","1",1,"Yes",,"I don't know"
"95-91-52-45","Radio","1",3,"Yes",,"I don't know"
"95-91-52-45","Television","1",1,"Yes",,"I don't know"
"95-91-52-45","Plastic chairs","3",6,"Yes",,"I don't know"
"95-91-52-45","Wheelbarrow","1",1,"Yes",,"I don't know"
"25-55-41-68","Simple Mobile Phone","3",3,"Yes",,"50"
"25-55-41-68","Smart Phone","1",1,,,"I don't know"
"25-55-41-68","Gas or Paraffin Stove","1",1,"Yes",,"I don't know"
"25-55-41-68","Refrigerator","1",1,"Yes",,"I don't know"
"25-55-41-68","Radio","1",1,"Yes",,"200"
"25-55-41-68","Plastic chairs","3",5,"Yes",,"Refused to answer"
"16-89-26-77","Simple Mobile Phone","1",1,,,"50"
"16-89-26-77","Plastic chairs","3",1,"Yes",,"25"
"16-89-26-77","Wheelbarrow","1",1,,,"95"
"32-98-78-03","Building","2",2,"Yes",,"250000"
"76-60-63-85","Simple Mobile Phone","1",1,"Yes",,"I don't know"
"76-60-63-85","Smart Phone","3",3,,,"I don't know"
"76-60-63-85","Building","2",2,"Yes",,"Refused to answer"
"76-60-63-85","Electric Stove","1",1,"Yes",,"I don't know"
"76-60-63-85","Microwave","1",0,"Yes",,"I don't know"
"76-60-63-85","Refrigerator","2",2,"Yes",,"I don't know"
"76-60-63-85","Washing Machine","1",1,"Yes",,"I don't know"
"76-60-63-85","Television","2",2,"Yes",,"I don't know"
"76-60-63-85","Computer- laptop or desktop","1",1,,,"I don't know"
"76-60-63-85","Living room furniture set","1",1,"Yes",,"I don't know"
"76-60-63-85","Plastic chairs","15",15,"Yes",,"I don't know"
"56-53-87-19","Simple Mobile Phone","1",4,"Yes",,"250"
"56-53-87-19","Building","1",1,"Yes",,"I don't know"
"56-53-87-19","Gas or Paraffin Stove","1",1,"Yes",,"500"
