interview__key,r_members__id,r_child__id,ed03asp,asocp01,youth_child_tofarm
"30-84-56-78",1,4,"University level","Teacher","Likely"
"30-84-56-78",1,5,"University level","Nurse","Likely"
"95-91-52-45",1,3,"University level","Nurse","Very likely"
"16-89-26-77",1,3,"Form 5","Livestock farmer","Very likely"
"17-45-76-38",1,4,"Post graduate university level","Lecturer","Very likely"
"25-00-79-64",1,5,"Other educational training","Crafter","Very unlikely"
"49-47-26-23",1,2,"University level","Nurse","Maybe, maybe not"
"49-47-26-23",1,3,"University level","Teacher","Maybe, maybe not"
"49-47-26-23",1,4,"University level","Police officer","Maybe, maybe not"
"49-47-26-23",1,5,"University level","Social worker","Maybe, maybe not"
"49-47-26-23",1,6,"University level","Teacher","Maybe, maybe not"
"49-47-26-23",1,7,"University level","Teacher","Maybe, maybe not"
"66-81-51-91",1,4,"University level","Police officer","Likely"
"66-81-51-91",1,5,"University level","Soldier","Likely"
"02-25-80-90",3,4,"Post graduate university level","Nursing","Very likely"
"02-25-80-90",3,5,"Post graduate university level","Nursing","Very likely"
"41-03-53-12",1,3,"University level","Nursing","Likely"
"09-25-62-80",1,6,"University level","Pilot","Likely"
"09-25-62-80",1,7,"University level","Doctor","Likely"
"09-25-62-80",2,6,"University level","Pilot","Likely"
"09-25-62-80",2,7,"University level","Doctor","Very likely"
"12-68-96-23",1,3,"Form 5","Soldier","Likely"
"46-89-61-94",1,4,"University level","Doctor","Likely"
"46-89-61-94",1,5,"University level","Lawyer","Likely"
"36-57-98-87",1,4,"Post graduate university level","Nurse","Maybe, maybe not"
"36-57-98-87",1,5,"Post graduate university level","Nurse","Maybe, maybe not"
"36-57-98-87",1,6,"Post graduate university level","Nurse","Maybe, maybe not"
"93-61-95-87",1,2,"University level","Engineer","Very likely"
"65-98-70-74",1,6,"University level","Medical doctor","Likely"
"65-98-70-74",1,7,"University level","Nurse","Likely"
"65-98-70-74",1,8,"University level","Engineering","Likely"
"65-98-70-74",3,6,"Standard 3","Medical doctor","Very likely"
"65-98-70-74",3,7,"Form 3","Nurse","Very likely"
