interview__key,consev_hh,consev_name,consev_typ__1,consev_typ__2,consev_typ__3,consev_typ__4,consev_typ__5,consev_meb,consev_exphh,consev_expcom,consev_cash,consev_fd,consev_fdamt,consev_adben,consev_ad,consev_ben,consev_mt,wld_conft,wld_confl_frequ,wld_dmg__1,wld_dmg__2,wld_dmg__3,wld_dmg__96,wld_dmgcomp,comp_amt
"30-84-56-78","No","",,,,,,,,,,,,,"",,,"Yes",12,"No","No","No","Yes",,
"25-36-49-99","No","",,,,,,,,,,,,,"",,,"Yes",2,"No","No","Yes","No",,
"95-91-52-45","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"25-55-41-68","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"16-89-26-77","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"32-98-78-03","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"76-60-63-85","No","",,,,,,,,,,,,,"",,,"Yes",12,"Yes","No","No","No",,
"56-53-87-19","No","",,,,,,,,,,,,,"",,,"Yes",20,"No","No","Yes","No",,
"17-45-76-38","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"25-00-79-64","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"49-47-26-23","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"66-81-51-91","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"02-25-80-90","Yes","Chobe National Park","No","No","No","No","Yes","No","Negative effect","Negative effect",,,,,"",,,"Yes",1,"No","No","No","Yes",,
"41-03-53-12","Yes","chobe park","No","No","No","No","Yes","No","Negative effect","Negative effect",,,,,"",,,"No",,,,,,,
"09-25-62-80","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"12-68-96-23","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"46-89-61-94","No","",,,,,,,,,,,,,"",,,"Yes",4,"No","No","Yes","No",,
"36-57-98-87","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"93-61-95-87","Yes","Chobe Conservation area","Yes","No","No","No","No","No","Neutral (or no effect)","Very negative effect",,,,,"",,,"No",,,,,,,
"72-10-49-63","No","",,,,,,,,,,,,,"",,,"Yes",12,"Yes","No","No","No",,
"65-98-70-74","No","",,,,,,,,,,,,,"",,,"Yes",3,"No","No","No","Yes",,
"71-09-05-63","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"81-05-32-56","Yes","Chobe National Park","No","No","No","No","Yes","No","Neutral (or no effect)","Very positive effect",,,,,"",,,"Yes",15,"No","No","Yes","No",,
"30-09-94-93","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"85-23-91-16","Yes","Chobe National Park","No","No","No","No","Yes","No","Neutral (or no effect)","Neutral (or no effect)",,,,,"",,,"Yes",12,"Yes","No","No","No",,500
"53-06-23-41","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"93-66-25-28","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"43-14-97-16","No","",,,,,,,,,,,,,"",,,"Yes",2,"No","No","No","Yes",,
"49-90-63-33","Yes","Chobe national park","No","No","No","No","Yes","No","Neutral (or no effect)","Positive effect",,,,,"",,,"No",,,,,,,
"68-84-82-12","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"25-99-22-65","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"86-16-04-54","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"42-95-35-09","Yes","CHOBE NATIONAL PARK","No","No","No","No","Yes","No","Neutral (or no effect)","Very positive effect",,,,,"",,,"No",,,,,,,
"54-69-26-46","Yes","Chobe Enclave","No","No","No","No","Yes","No","Neutral (or no effect)","Neutral (or no effect)",,,,,"",,,"No",,,,,,,
"92-23-96-13","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"22-90-51-93","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"15-81-26-28","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"20-52-90-88","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"35-31-07-84","No","",,,,,,,,,,,,,"",,,"Yes",360,"No","No","Yes","No",,
"09-47-23-08","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"03-49-16-10","No","",,,,,,,,,,,,,"",,,"Yes",6,"No","No","Yes","No",,
"65-48-87-48","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"54-94-74-75","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"70-40-01-04","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"33-37-06-20","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"11-89-65-58","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"86-01-74-97","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"18-63-27-64","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"00-01-02-02","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"69-53-29-77","No","",,,,,,,,,,,,,"",,,"Yes",1,"No","No","Yes","No",,
"38-36-87-54","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"96-39-11-89","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"62-05-75-13","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"36-43-41-97","Yes","Park","No","No","No","No","Yes","No","Neutral (or no effect)","Neutral (or no effect)",,,,,"",,,"Yes",12,"No","No","No","Yes",,
"12-03-37-86","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"33-44-32-83","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"39-65-48-99","Yes","Chobe National Park","No","No","No","No","Yes","No","Positive effect","Positive effect",,,,,"",,,"No",,,,,,,
"85-43-95-57","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"07-73-56-26","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"00-16-25-60","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"05-35-63-46","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"00-34-52-14","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"81-06-64-01","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"84-33-06-87","No","",,,,,,,,,,,,,"",,,"Yes",12,"No","No","Yes","No",,
"85-48-53-30","No","",,,,,,,,,,,,,"",,,"Yes",4,"No","No","Yes","No",,
"61-17-81-33","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"70-67-46-48","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"08-84-58-33","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"17-96-77-43","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"05-74-99-19","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"58-76-16-53","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"14-93-43-30","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"11-82-86-61","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"03-50-12-90","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
