interview__key,r_food_ind__id,numdays_7d,food_source_7d__1,food_source_7d__2,food_source_7d__3,food_source_7d__4,food_source_7d__5,food_source_7d__6,food_source_7d__7,food_source_7d__8,food_source_7d__9,food_source_7d__96,foos_source_oth
"30-84-56-78","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"30-84-56-78","Vegetables- spinach, pumpkin, cabbage, tomato, onion",3,"No","No","No","No","Yes","No","No","No","No","No",""
"30-84-56-78","Fruits- orange, mango, guava, rice paw paw/papaya, pineapple, etc",1,"No","No","No","No","Yes","No","No","No","No","No",""
"30-84-56-78","Meat, poultry, organ meat- goat, sheep, cow, chicken, liver, kidney, intestines",4,"No","No","No","No","Yes","No","No","No","No","No",""
"30-84-56-78","Fish and seafood (dried or fresh)- sardines, dagaa/omena",2,"No","No","No","No","Yes","No","No","No","No","No",""
"30-84-56-78","Oil/fats- oil, fat, butter, ghee, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"30-84-56-78","Sugar and sweets- sugar, honey, sweets, desserts",7,"No","No","No","No","Yes","No","No","No","No","No",""
"30-84-56-78","Miscellaneous- tea, coffee, beverages, condiments, spices",7,"No","No","No","No","Yes","No","No","No","No","No",""
"25-36-49-99","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",2,"No","No","No","No","Yes","No","No","No","No","No",""
"25-36-49-99","Vegetables- spinach, pumpkin, cabbage, tomato, onion",7,"No","No","No","No","Yes","No","No","No","No","No",""
"25-36-49-99","Meat, poultry, organ meat- goat, sheep, cow, chicken, liver, kidney, intestines",4,"No","No","No","No","Yes","No","No","No","No","No",""
"25-36-49-99","Fish and seafood (dried or fresh)- sardines, dagaa/omena",2,"No","No","No","No","Yes","No","No","No","No","No",""
"25-36-49-99","Oil/fats- oil, fat, butter, ghee, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"95-91-52-45","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"95-91-52-45","Vegetables- spinach, pumpkin, cabbage, tomato, onion",4,"No","No","No","No","Yes","No","No","No","No","No",""
"95-91-52-45","Meat, poultry, organ meat- goat, sheep, cow, chicken, liver, kidney, intestines",7,"No","No","No","No","Yes","No","No","No","No","No",""
"16-89-26-77","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"16-89-26-77","Roots and tubers- potato, sweet potato, cassava, arrow roots, cooking banana",7,"No","No","No","No","Yes","No","No","No","No","No",""
