interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"30-84-56-78","Firewood",1,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","The same","","forest becomes residential"
"30-84-56-78","Wild fruits",1,"Basins","","No",,,"",,,"No",,"Massive increase","Massive increase","they are seasonal so they take time to replenish",""
"25-36-49-99","Wild fruits",2,"Basins","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Unreliable rainfall"
"95-91-52-45","Firewood",2,"Wheelbarrow","","Yes",300,"Wheelbarrow","","Yes",300,"No",,"Slight decrease","Massive decrease","","Wild animals are increasing. so there us competition between humans and wildfire"
"25-55-41-68","Firewood",50,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"16-89-26-77","Firewood",1,"Other (please specify)","1 load of a truck (dyna)","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Weather condition (climate change)"
"32-98-78-03","Firewood",1,"Other (please specify)","1 load of a car (dyna)","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Wild animals break trees"
"32-98-78-03","Mushrooms",1,"Kilograms","","No",,,"",,,"No",,"Massive increase","Massive increase","Availability of water",""
"76-60-63-85","Firewood",1,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Climate change"
"56-53-87-19","Firewood",1,"Other (please specify)","load of a  small truck","No",,,"",,,"No",,"Slight decrease","The same","","When you cut down one tree another one grows back"
"56-53-87-19","Sand, stone, mud",1,"Other (please specify)","1 wheelbarrow","No",,,"",,,"No",,"The same","Slight decrease","",""
"25-00-79-64","Firewood",10,"Wheelbarrow","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","too much harvesting and usage"
"49-47-26-23","Firewood",4,"Wheelbarrow","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","high usage"
