interview__key,any_livestock,lvexp01_11,lvexp02_12,lvexp03_13,lvexp04_14,lvexp05_15,lvexp06_16
"30-84-56-78","No",,,,,,""
"25-36-49-99","No",,,,,,""
"95-91-52-45","No",,,,,,""
"25-55-41-68","No",,,,,,""
"16-89-26-77","No",,,,,,""
"32-98-78-03","No",,,,,,""
"76-60-63-85","Yes",400,0,400,0,400,"0"
"56-53-87-19","No",,,,,,""
"17-45-76-38","Yes",0,0,1000,1500,1200,"1000"
"25-00-79-64","No",,,,,,""
"49-47-26-23","No",,,,,,""
"66-81-51-91","Yes",0,0,0,0,0,""
"02-25-80-90","No",,,,,,""
"41-03-53-12","No",,,,,,""
"09-25-62-80","No",,,,,,""
"12-68-96-23","Yes",60,0,0,0,0,"0"
"46-89-61-94","No",,,,,,""
"36-57-98-87","Yes",0,0,500,600,1000,"0"
"93-61-95-87","No",,,,,,""
"72-10-49-63","Yes",0,0,300,0,0,""
"65-98-70-74","No",,,,,,""
"71-09-05-63","Yes",800,0,0,0,0,""
"81-05-32-56","Yes",1560,0,600,0,13008,"50"
"30-09-94-93","Yes",0,0,1500,0,1100,"365"
"85-23-91-16","No",,,,,,""
"53-06-23-41","Yes",3000,0,0,0,0,"0"
"93-66-25-28","No",,,,,,""
"43-14-97-16","No",,,,,,""
"49-90-63-33","No",,,,,,""
"68-84-82-12","Yes",0,0,300,200,1700,""
"25-99-22-65","No",,,,,,""
"86-16-04-54","No",,,,,,""
"42-95-35-09","Yes",2400,0,500,0,1100,"250"
"54-69-26-46","No",,,,,,""
"92-23-96-13","Yes",0,0,1000,1000,0,"0"
"22-90-51-93","No",,,,,,""
"15-81-26-28","No",,,,,,""
"20-52-90-88","No",,,,,,""
"35-31-07-84","Yes",2000,0,1000,3800,13200,"300"
"09-47-23-08","Yes",0,0,500,1000,0,""
"03-49-16-10","No",,,,,,""
"65-48-87-48","No",,,,,,""
"54-94-74-75","No",,,,,,""
"70-40-01-04","No",,,,,,""
"33-37-06-20","No",,,,,,""
"11-89-65-58","No",,,,,,""
"86-01-74-97","Yes",0,0,0,0,0,"0"
"18-63-27-64","No",,,,,,""
"00-01-02-02","Yes",67,0,0,0,0,"0"
"69-53-29-77","No",,,,,,""
"38-36-87-54","Yes",0,0,0,0,0,"0"
"96-39-11-89","Yes",10000,0,1000,0,0,"0"
"62-05-75-13","No",,,,,,""
"36-43-41-97","No",,,,,,""
"12-03-37-86","No",,,,,,""
"33-44-32-83","No",,,,,,""
"39-65-48-99","No",,,,,,""
"85-43-95-57","No",,,,,,""
"07-73-56-26","No",,,,,,""
"00-16-25-60","No",,,,,,""
"05-35-63-46","Yes",1400,0,100,0,0,"0"
"00-34-52-14","Yes",0,0,0,0,0,"0"
"81-06-64-01","No",,,,,,""
"84-33-06-87","No",,,,,,""
"85-48-53-30","Yes",0,0,0,0,0,"0"
"61-17-81-33","No",,,,,,""
"70-67-46-48","Yes",450,0,0,0,0,"0"
"08-84-58-33","No",,,,,,""
"17-96-77-43","No",,,,,,""
"05-74-99-19","Yes",0,0,0,0,0,"0"
"58-76-16-53","No",,,,,,""
