interview__key,s9_respondent,food_security__1,food_security__2,food_security__3,food_security__4,food_security__5,food_security__6,food_security__7,food_security__8,food_sufficent,food_sufficent2,food_sufficent3,food_sufficent4__1,food_sufficent4__2,food_sufficent4__3,food_sufficent4__4,food_sufficent4__5,food_sufficent4__6,food_sufficent4__7,food_sufficent4__8,food_sufficent4__9,food_sufficent4__10,food_sufficent4__11,food_sufficent4__12
"30-84-56-78",1,"Yes","No","Yes","No","No","Yes","Yes","Yes",1,3,1,0,0,0,0,0,0,0,0,0,0,1,0
"25-36-49-99",1,"Yes","Yes","No","No","Yes","No","No","No",2,0,2,1,2,0,0,0,0,0,0,0,0,0,0
"95-91-52-45",1,"No","No","No","Yes","Yes","Yes","Yes","No",12,12,1,0,0,0,1,0,0,0,0,0,0,0,0
"25-55-41-68",1,"No","No","No","No","No","No","No","No",0,0,0,,,,,,,,,,,,
"16-89-26-77",1,"Yes","No","No","Yes","Yes","Yes","Yes","No",4,4,8,1,0,0,0,0,3,4,0,0,0,0,2
"32-98-78-03",4,"No","No","No","No","Yes","No","No","No",0,12,0,,,,,,,,,,,,
"76-60-63-85",1,"Yes","Yes","No","No","Yes","Yes","Yes","No",1,11,1,0,0,0,0,0,0,0,0,0,0,1,0
"56-53-87-19",1,"No","No","No","Yes","No","Yes","Yes","Yes",0,12,0,,,,,,,,,,,,
"17-45-76-38",2,"No","Yes","Yes","No","Yes","No","No","No",12,12,0,,,,,,,,,,,,
"25-00-79-64",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",4,5,4,0,2,1,0,0,0,0,0,0,0,0,0
"49-47-26-23",1,"Yes","No","Yes","Yes","Yes","Yes","No","No",6,5,3,0,0,2,1,0,0,0,0,0,0,0,0
"66-81-51-91",1,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",0,0,0,,,,,,,,,,,,
"02-25-80-90",3,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",8,8,2,0,0,0,0,0,0,0,0,4,1,2,3
"41-03-53-12",1,"No","No","No","No","No","No","No","No",0,12,0,,,,,,,,,,,,
"09-25-62-80",2,"Yes","No","No","No","No","No","No","No",0,12,0,,,,,,,,,,,,
"12-68-96-23",1,"No","No","No","No","No","No","No","No",0,0,0,,,,,,,,,,,,
"46-89-61-94",2,"No","Yes","No","No","Yes","No","No","No",0,12,3,1,2,0,0,0,0,3,0,0,0,0,0
"36-57-98-87",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1,8,2,1,2,0,0,0,0,0,0,0,0,0,0
"93-61-95-87",1,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,2,8,1,2,5,3,4,7,6,8,0,0,0,0
"72-10-49-63",2,"No","No","Yes","No","No","No","No","No",0,12,0,,,,,,,,,,,,
"65-98-70-74",1,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"71-09-05-63",4,"No","No","No","No","No","No","No","No",4,4,0,,,,,,,,,,,,
"81-05-32-56",3,"No","Yes","Yes","No","No","No","No","No",9,3,0,,,,,,,,,,,,
"30-09-94-93",3,"No","No","No","No","No","No","No","No",0,12,0,,,,,,,,,,,,
"85-23-91-16",1,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"53-06-23-41",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",4,4,4,1,2,0,0,0,0,0,0,0,0,0,0
"93-66-25-28",2,"No","No","No","No","No","No","No","No",0,0,0,,,,,,,,,,,,
"43-14-97-16",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",5,5,7,1,2,3,0,0,0,0,0,0,0,0,0
"49-90-63-33",5,"No","No","Yes","No","No","Yes","No","No",0,12,0,,,,,,,,,,,,
"68-84-82-12",4,"Yes","No","No","No","No","No","Yes","No",0,12,1,0,0,0,0,1,0,0,0,0,0,0,0
"25-99-22-65",1,"No","No","No","No","No","No","No","No",0,0,0,,,,,,,,,,,,
"86-16-04-54",2,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"42-95-35-09",1,"No","No","No","No","No","No","No","No",0,12,0,,,,,,,,,,,,
"54-69-26-46",2,"Yes","No","Yes","Yes","No","Yes","No","Yes",1,1,11,1,2,3,4,0,5,6,7,8,9,10,11
"92-23-96-13",1,"No","No","No","No","No","No","No","No",0,0,0,,,,,,,,,,,,
"22-90-51-93",2,"No","No","No","No","No","No","No","No",3,10,2,1,2,0,0,0,0,0,0,0,0,0,0
"15-81-26-28",1,"No","No","No","Yes","No","No","No","No",0,0,0,,,,,,,,,,,,
"20-52-90-88",1,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"35-31-07-84",1,"No","No","No","No","No","No","No","No",0,12,0,,,,,,,,,,,,
"09-47-23-08",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",3,9,2,0,0,1,2,0,0,0,0,0,0,0,0
"03-49-16-10",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,6,6,1,5,6,0,0,0,0,0,0,2,3,4
"65-48-87-48",1,"No","No","No","No","No","No","No","No",0,0,0,,,,,,,,,,,,
"54-94-74-75",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,0,12,1,2,3,4,5,0,0,0,0,0,0,0
"70-40-01-04",2,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",0,3,9,0,1,0,9,2,3,4,5,6,7,0,8
"33-37-06-20",1,"No","No","No","No","No","No","No","No",0,12,0,,,,,,,,,,,,
"11-89-65-58",1,"No","No","No","No","No","Yes","No","No",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"86-01-74-97",1,"Yes","No","Yes","No","No","No","No","No",0,2,10,0,0,0,0,0,1,0,0,0,0,0,0
"18-63-27-64",1,"No","No","No","No","No","No","No","No",0,0,0,,,,,,,,,,,,
"00-01-02-02",2,"No","No","No","No","No","No","No","No",0,0,0,,,,,,,,,,,,
"69-53-29-77",2,"Yes","No","No","No","No","No","No","No",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"38-36-87-54",1,"Yes","No","Yes","Yes","Yes","Yes","Yes","No",0,2,10,1,2,3,4,5,0,0,6,7,8,9,10
"96-39-11-89",1,"No","No","No","No","No","No","No","No",0,0,0,,,,,,,,,,,,
"62-05-75-13",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",5,6,5,0,1,2,0,0,0,0,0,0,0,0,0
"36-43-41-97",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",4,4,3,0,0,0,0,0,1,2,3,0,0,0,0
"12-03-37-86",1,"Yes","Yes","Yes","Yes","Yes","No","No","No",1,6,6,6,0,0,0,1,0,0,2,3,4,5,0
"33-44-32-83",1,"Yes","Yes","No","No","No","No","No","No",0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
"39-65-48-99",1,"No","No","No","No","No","No","No","No",0,12,0,,,,,,,,,,,,
"85-43-95-57",2,"No","No","No","No","No","No","No","No",0,0,0,,,,,,,,,,,,
"07-73-56-26",4,"No","No","No","No","Yes","No","No","No",2,12,0,,,,,,,,,,,,
"00-16-25-60",2,"Yes","Yes","Yes","Yes","Yes","No","No","No",0,2,12,1,2,3,0,0,0,0,0,0,0,0,0
"05-35-63-46",1,"Yes","No","No","No","No","No","No","No",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"00-34-52-14",1,"No","No","No","No","No","No","No","No",1,0,0,,,,,,,,,,,,
"81-06-64-01",2,"Yes","Yes","Yes","Yes","No","Yes","No","Yes",0,12,1,0,1,0,0,0,0,0,0,0,0,0,0
"84-33-06-87",1,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",1,1,11,0,1,2,3,4,0,0,0,0,0,0,0
"85-48-53-30",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,0,12,1,2,3,4,5,6,7,8,9,10,11,12
"61-17-81-33",1,"Yes","Yes","Yes","Yes","No","Yes","Yes","No",2,2,2,1,2,0,0,0,0,0,0,0,0,0,0
