interview__key,contact_ref_1_rel,contact_ref_2_rel
"30-84-56-78","Brother","Cousin"
"25-36-49-99","Son","Son In Law"
"95-91-52-45","Friend","Friend"
"25-55-41-68","Daughter","Husband"
"16-89-26-77","Sister","Brother"
"32-98-78-03","Brother","Daughter"
"76-60-63-85","Cousin","Cousin"
"56-53-87-19","Daughter","Daughter"
"17-45-76-38","Sister","Sister"
"25-00-79-64","Sister","Brother"
"49-47-26-23","Sister","Niece"
"66-81-51-91","Friend","Mother"
"02-25-80-90","Child/Son","Cousin"
"41-03-53-12","Uncle","Mother"
"09-25-62-80","Son","Son"
"12-68-96-23","Mother","Auntie"
"46-89-61-94","Daughter","Daughter"
"36-57-98-87","Child/ Son","Child/Daughter"
"93-61-95-87","Sister","Neighbor"
"72-10-49-63","Son","Sister"
"65-98-70-74","Brother","Brother"
"71-09-05-63","Daughter","Son"
"81-05-32-56","Son","Daughter"
"30-09-94-93","Friend","Neighbor"
"85-23-91-16","Brother","Brother"
"53-06-23-41","Mother","Neighbor"
"93-66-25-28","Friend","Relative To The Wife"
"43-14-97-16","Daughter","Granddaughter"
"49-90-63-33","Cousin","Cousin"
"68-84-82-12","Daughter","Grandson"
"25-99-22-65","Brother","Brother"
"86-16-04-54","Son","Daughter"
"42-95-35-09","Daughter","Daughter"
"54-69-26-46","Son","Son"
"92-23-96-13","Son","Brother"
"22-90-51-93","Friend","Friend"
"15-81-26-28","Sister In Law","Brother In Law"
"20-52-90-88","Son","Daughter"
"35-31-07-84","Son","Son"
"09-47-23-08","Mother","Friend"
"03-49-16-10","Mother","Cousin"
"65-48-87-48","Daughter","Son In Law"
"54-94-74-75","Niece","Niece"
"70-40-01-04","Neighbor","Sister"
"33-37-06-20","Sister","Mother"
"11-89-65-58","Niece","Own Phone"
"86-01-74-97","Friend","Brother"
"18-63-27-64","Brother","Brother In Law"
"00-01-02-02","Son","Son"
"69-53-29-77","Father","Sister"
"38-36-87-54","Brother","Brother"
"96-39-11-89","Sister","Sister"
"62-05-75-13","Brother In Law","Sister"
