interview__key,r_members__id,live_here,absence_res,absence_res_oth,ha03,ha_rel,age,marital,ha07,religio,religio_1,educ1,educ2,school_attnd,school_attnd_oth,educ3,ex_student,year_graduate,study_program,emp_member,Ibr3,lbr13
"30-84-56-78",1,12,,"","Male","Self/Head","35","Never Married","Motawana","Protestant demoninantions (incl all non-catholic denominations)","","University level",,,"",,"MULTIMEDIA UNIVERSITY IN MALAYSIA","2015","BA(hons)BROADCASTING AND JOURNALISM","Yes","Yes","No"
"30-84-56-78",2,12,,"","Female","Sister/Brother","37",,"MOTAWANA",,"","Form 3","No","Completed desired schooling","",,"","","","Yes","Yes","No"
"30-84-56-78",3,12,,"","Male","Niece/Nephew","16",,"MOTAWANA",,"","Standard 7","Yes",,"",,"","","","No",,
"30-84-56-78",4,12,,"","Female","Niece/Nephew","8",,"MOTAWANA",,"","Standard 2","Yes",,"",,"","","",,,
"30-84-56-78",5,12,,"","Female","Niece/Nephew","10",,"MOTAWANA",,"","Standard 5","Yes",,"",,"","","",,,
"25-36-49-99",1,12,,"","Female","Wife/Husband","70",,"Mosobeya",,"","Standard 7","No","Sickness or calamity in family","",,"","","","No",,
"25-36-49-99",2,12,,"","Male","Wife/Husband","77",,"Mosobeya",,"","Standard 7","No","Sickness or calamity in family","",,"","","","No",,
"25-36-49-99",3,12,,"","Male","Child/Adopted Child","41",,"Mosobeya",,"","University level",,,"",,"Gaborone Institute of Professional Studies","2006","Don't know","No",,
"25-36-49-99",4,12,,"","Male","Grandchild","37",,"Mosobeya",,"","Form 3","No","Not willing to attend further","",,"","","","No",,
"25-36-49-99",5,12,,"","Male","Grandchild","26",,"Mosobeya",,"","Form 3","No","Had to help at home","",,"","","","Yes","Yes","No"
"95-91-52-45",1,12,,"","Male","Self/Head","62","Never Married","Basarwa","Non-religious","","No formal education","No","Other","The education department is delaying to assist him with the process.",,"","","","No",,
"95-91-52-45",2,12,,"","Male","Child/Adopted Child","19",,"Basarwa",,"","Standard 7","Yes",,"",,"","","","No",,
"95-91-52-45",3,12,,"","Female","Child/Adopted Child","8",,"Basarwa",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"25-55-41-68",1,12,,"","Female","Self/Head","47","Never Married","Kalanga","Other➡️ Please specify","Christianity Zion church","Form 2","No","Completed desired schooling","",,"","","","Yes","Yes","No"
"25-55-41-68",2,4,"Members that left - Education","","Female","Sister/Brother","21",,"Kalanga",,"","University level",,,"",,"university of Botswana","2022","Special education teaching","Yes","Yes","No"
"25-55-41-68",3,12,,"","Female","Son/Daughter-In-Law","14",,"Kalanga",,"","Standard 1","Yes",,"",,"","","","No",,
"25-55-41-68",4,3,"New arrivals - Bad living conditions at home","","Male","Niece/Nephew","12",,"Kalanga",,"","Standard 5","Yes",,"",,"","","","No",,
"16-89-26-77",1,7,"New arrivals - Other economic reasons","","Female","Wife/Husband","35",,"Basubiya",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"16-89-26-77",2,7,"New arrivals - Other economic reasons","","Male","Wife/Husband","45",,"Babirwa",,"","Form 2","No","Poor academic progress","",,"","","","No",,
"16-89-26-77",3,7,"New arrivals - New born","","Female","Child/Adopted Child","3",,"Babirwa",,"",,"No","Other","Too young",,"","","",,,
"32-98-78-03",1,12,,"","Female","Self/Head","46","Never Married","Basarwa","Protestant demoninantions (incl all non-catholic denominations)","","Standard 7","No","Sickness or calamity in family","",,"","","","No",,
"32-98-78-03",2,12,,"","Female","Sister/Brother","36",,"Basarwa",,"","No formal education","No","Not willing to attend further","",,"","","","No",,
"32-98-78-03",3,12,,"","Female","Sister/Brother","33",,"Basarwa",,"","Form 3","No","Poor academic progress","",,"","","","No",,
"32-98-78-03",4,12,,"","Female","Child/Adopted Child","17",,"Basarwa",,"","Standard 7","Yes",,"",,"","","","No",,
"32-98-78-03",5,12,,"","Male","Child/Adopted Child","17",,"Basarwa",,"","Form 2","Yes",,"",,"","","","No",,
"76-60-63-85",1,12,,"","Female","Self/Head","62","Widow/ Widower","Ngwato","Protestant demoninantions (incl all non-catholic denominations)","","Standard 7","No","I don't Know","",,"","","","Yes","No","Yes"
"76-60-63-85",2,12,,"","Female","Child/Adopted Child","38",,"Hambukushu",,"","Form 2","No","I don't Know","",,"","","","No",,
