interview__key,r_members__id,memeber_isphone
"30-84-56-78",1,"Yes"
"30-84-56-78",2,"Yes"
"30-84-56-78",3,"Yes"
"25-36-49-99",1,"Yes"
"25-36-49-99",2,"Yes"
"25-36-49-99",3,"Yes"
"95-91-52-45",1,"Yes"
"25-55-41-68",1,"Yes"
"25-55-41-68",2,"Yes"
"16-89-26-77",1,"Yes"
"76-60-63-85",1,"Yes"
"76-60-63-85",2,"Yes"
"76-60-63-85",4,"Yes"
"56-53-87-19",1,"Yes"
"17-45-76-38",2,"Yes"
"25-00-79-64",3,"Yes"
"49-47-26-23",1,"Yes"
"66-81-51-91",1,"Yes"
"02-25-80-90",1,"Yes"
"02-25-80-90",2,"Yes"
"02-25-80-90",3,"Yes"
"41-03-53-12",1,"Yes"
"41-03-53-12",2,"Yes"
"09-25-62-80",3,"Yes"
"09-25-62-80",4,"Yes"
"12-68-96-23",1,"Yes"
"12-68-96-23",2,"Yes"
"46-89-61-94",1,"Yes"
"46-89-61-94",2,"Yes"
"46-89-61-94",3,"Yes"
"36-57-98-87",1,"Yes"
"93-61-95-87",1,"Yes"
"93-61-95-87",4,"Yes"
"93-61-95-87",5,"Yes"
"72-10-49-63",1,"Yes"
"72-10-49-63",2,"Yes"
"65-98-70-74",1,"Yes"
"65-98-70-74",2,"Yes"
"65-98-70-74",3,"Yes"
"71-09-05-63",1,"Yes"
"71-09-05-63",2,"Yes"
"71-09-05-63",4,"Yes"
"71-09-05-63",5,"Yes"
"71-09-05-63",6,"Yes"
"81-05-32-56",1,"Yes"
"81-05-32-56",2,"Yes"
"81-05-32-56",3,"Yes"
"30-09-94-93",1,"Yes"
"30-09-94-93",2,"Yes"
"30-09-94-93",3,"Yes"
"30-09-94-93",4,"Yes"
"85-23-91-16",1,"Yes"
"53-06-23-41",1,"Yes"
"53-06-23-41",2,"Yes"
"93-66-25-28",1,"Yes"
"93-66-25-28",2,"Yes"
"43-14-97-16",1,"Yes"
"43-14-97-16",2,"Yes"
"43-14-97-16",3,"Yes"
"49-90-63-33",1,"Yes"
"49-90-63-33",2,"Yes"
"49-90-63-33",3,"Yes"
"49-90-63-33",5,"Yes"
"68-84-82-12",1,"Yes"
"68-84-82-12",3,"Yes"
"68-84-82-12",4,"Yes"
"68-84-82-12",9,"Yes"
"25-99-22-65",1,"Yes"
"25-99-22-65",2,"Yes"
"25-99-22-65",4,"Yes"
"86-16-04-54",1,"Yes"
"86-16-04-54",2,"Yes"
"42-95-35-09",1,"Yes"
"42-95-35-09",2,"Yes"
"42-95-35-09",3,"Yes"
"54-69-26-46",1,"Yes"
"54-69-26-46",2,"Yes"
"92-23-96-13",1,"Yes"
"22-90-51-93",1,"Yes"
"22-90-51-93",2,"Yes"
"15-81-26-28",1,"Yes"
"15-81-26-28",2,"Yes"
"20-52-90-88",1,"Yes"
"35-31-07-84",1,"Yes"
"35-31-07-84",2,"Yes"
"35-31-07-84",3,"Yes"
"35-31-07-84",5,"Yes"
"09-47-23-08",1,"Yes"
"09-47-23-08",2,"Yes"
"09-47-23-08",3,"Yes"
"03-49-16-10",1,"Yes"
"03-49-16-10",2,"Yes"
"65-48-87-48",1,"Yes"
"65-48-87-48",2,"Yes"
"65-48-87-48",3,"Yes"
"54-94-74-75",1,"Yes"
"70-40-01-04",1,"Yes"
"70-40-01-04",2,"Yes"
"33-37-06-20",1,"Yes"
"33-37-06-20",3,"Yes"
"33-37-06-20",5,"Yes"
"11-89-65-58",1,"Yes"
"11-89-65-58",2,"Yes"
"86-01-74-97",1,"Yes"
"86-01-74-97",2,"Yes"
"18-63-27-64",1,"Yes"
"18-63-27-64",2,"Yes"
"00-01-02-02",1,"Yes"
"00-01-02-02",2,"Yes"
"00-01-02-02",4,"Yes"
"69-53-29-77",1,"Yes"
"69-53-29-77",2,"Yes"
"38-36-87-54",1,"Yes"
"38-36-87-54",2,"Yes"
"96-39-11-89",1,"Yes"
"96-39-11-89",2,"Yes"
"62-05-75-13",1,"Yes"
"62-05-75-13",2,"Yes"
"62-05-75-13",6,"Yes"
"62-05-75-13",7,"Yes"
"36-43-41-97",1,"Yes"
"36-43-41-97",2,"Yes"
"12-03-37-86",1,"Yes"
"12-03-37-86",2,"Yes"
"12-03-37-86",4,"Yes"
"33-44-32-83",1,"Yes"
"33-44-32-83",2,"Yes"
"33-44-32-83",3,"Yes"
"33-44-32-83",4,"Yes"
"39-65-48-99",1,"Yes"
"85-43-95-57",1,"Yes"
"85-43-95-57",2,"Yes"
"85-43-95-57",3,"Yes"
"07-73-56-26",1,"Yes"
"07-73-56-26",3,"Yes"
"07-73-56-26",4,"Yes"
"00-16-25-60",2,"Yes"
"05-35-63-46",1,"Yes"
"05-35-63-46",2,"Yes"
"05-35-63-46",3,"Yes"
"00-34-52-14",1,"Yes"
"00-34-52-14",2,"Yes"
"00-34-52-14",3,"Yes"
"00-34-52-14",4,"Yes"
"00-34-52-14",7,"Yes"
"81-06-64-01",1,"Yes"
"81-06-64-01",2,"Yes"
"81-06-64-01",4,"Yes"
"84-33-06-87",1,"Yes"
"85-48-53-30",1,"Yes"
"61-17-81-33",1,"Yes"
