interview__key,h02,h03,h03_oth,h04,h04_oth,h05,h05_oth,h06,h06_oth,h07,h07_oth
"30-84-56-78",2,"Iron sheets","","Concrete","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"25-36-49-99",2,"Concrete","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"95-91-52-45",1,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"25-55-41-68",1,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"16-89-26-77",1,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"32-98-78-03",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"76-60-63-85",7,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"56-53-87-19",1,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"17-45-76-38",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"25-00-79-64",7,"Iron sheets","","Bricks with cement","","Sand","","Piped water (house or public)","","Covered pit patrine with slab",""
"49-47-26-23",6,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"66-81-51-91",1,"Iron sheets","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","VIP latrine",""
"02-25-80-90",5,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"41-03-53-12",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"09-25-62-80",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"12-68-96-23",1,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"46-89-61-94",3,"Concrete","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"36-57-98-87",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"93-61-95-87",8,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"72-10-49-63",3,"Iron sheets","","Concrete","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"65-98-70-74",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"71-09-05-63",7,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"81-05-32-56",8,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"30-09-94-93",4,"Iron sheets","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"85-23-91-16",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"53-06-23-41",1,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"93-66-25-28",1,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"43-14-97-16",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"49-90-63-33",10,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"68-84-82-12",2,"Concrete","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"25-99-22-65",1,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"86-16-04-54",7,"Tiles","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"42-95-35-09",9,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"54-69-26-46",6,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"92-23-96-13",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"22-90-51-93",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"15-81-26-28",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"20-52-90-88",7,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"35-31-07-84",6,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"09-47-23-08",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"03-49-16-10",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"65-48-87-48",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"54-94-74-75",4,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"70-40-01-04",1,"Iron sheets","","Bricks with cement","","Cement screed","","Other, Specify","they do nothing have a tap, they fetch water next door","Other➡️ Please specify","they use next door toilet, a covered pit latrine with slab"
"33-37-06-20",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"11-89-65-58",8,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"86-01-74-97",2,"Iron sheets","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"18-63-27-64",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"00-01-02-02",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"69-53-29-77",2,"Concrete","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"38-36-87-54",1,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"96-39-11-89",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"62-05-75-13",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"36-43-41-97",1,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"12-03-37-86",6,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
