interview__key,ctry,dist,village,local_name,interviewed_consent,res_head,res_rel,interview_possible
"30-84-56-78","Botswana","CHOBE DISTRICT","KASANE","BOTSHABELO",1,"Head of the household",,"Yes"
"25-36-49-99","Botswana","Chobe","KASANE","Botshabelo",1,"Representative of the head","Spouse","Yes"
"95-91-52-45","Botswana","Chobe","KASANE","Kgaphamadi",1,"Head of the household",,"Yes"
"25-55-41-68","Botswana","Chose District","KASANE","Kgaphamadi",1,"Head of the household",,"Yes"
"16-89-26-77","Botswana","Chobe","KASANE","Botshabelo",1,"Representative of the head","Daughter","Yes"
"32-98-78-03","Botswana","Chobe","KASANE","Botshabelo",1,"Head of the household",,"Yes"
"76-60-63-85","Botswana","Chobe","KASANE","Kgaphamadi",1,"Head of the household",,"Yes"
"56-53-87-19","Botswana","Chobe","KASANE","Botshabelo",1,"Head of the household",,"Yes"
"17-45-76-38","Botswana","chobe","KASANE","botshabelo",1,"Representative of the head","Mother","Yes"
"25-00-79-64","Botswana","chobe","KASANE","Botshabelo",1,"Representative of the head","Brother","Yes"
"49-47-26-23","Botswana","chobe","KASANE","Botshabelo",1,"Head of the household",,"Yes"
"66-81-51-91","Botswana","Chobe","KASANE","Botshabelo",1,"Head of the household",,"Yes"
"02-25-80-90","Botswana","Chobe","KASANE","Botshabelo",1,"Head of the household",,"Yes"
"41-03-53-12","Botswana","Chobe","KASANE","Botshabelo",1,"Head of the household",,"Yes"
"09-25-62-80","Botswana","Chobe","KASANE","Botshabelo",1,"Head of the household",,"Yes"
"12-68-96-23","Botswana","Chobe District","KASANE","Botshabelo ward",1,"Head of the household",,"Yes"
"46-89-61-94","Botswana","Chobe","KASANE","Botshabelo ward",1,"Head of the household",,"Yes"
"36-57-98-87","Botswana","Chobe","KASANE","Botshabelo",1,"Head of the household",,"Yes"
"93-61-95-87","Botswana","Chobe","KASANE","Botshabelo Ward",1,"Head of the household",,"Yes"
"72-10-49-63","Botswana","CHOBE DISTRICT","KASANE","BOTSHABELO",1,"Representative of the head","Spouse","Yes"
"65-98-70-74","Botswana","Chobe","KASANE","Kgaphamadi",1,"Representative of the head","Spouse","Yes"
"71-09-05-63","Botswana","Chobe","KASANE","Kgaphamadi",1,"Head of the household",,"Yes"
"81-05-32-56","Botswana","Chobe","KASANE","Botshabelo",1,"Head of the household",,"Yes"
"30-09-94-93","Botswana","chobe","KASANE","Babazangu",1,"Representative of the head","Granddaughter","Yes"
"85-23-91-16","Botswana","Chobe","MUCHINJE/MABELE","Izee",1,"Head of the household",,"Yes"
"53-06-23-41","Botswana","chobe","KASANE","Botshabelo",1,"Head of the household",,"Yes"
"93-66-25-28","Botswana","Chobe","KASANE","Botshabelo",1,"Representative of the head","Spouse","Yes"
"43-14-97-16","Botswana","Chobe","KASANE","Botshabelo",1,"Head of the household",,"Yes"
"49-90-63-33","Botswana","Chobe","KASANE","Newtown",1,"Representative of the head","Daughter-in-law","Yes"
"68-84-82-12","Botswana","Chobe","KASANE","Botshabelo",1,"Head of the household",,"Yes"
"25-99-22-65","Botswana","chobe","KASANE","Botshabelo",1,"Head of the household",,"Yes"
"86-16-04-54","Botswana","Chobe","KASANE","Newtown",1,"Representative of the head","Granddaughter","Yes"
"42-95-35-09","Botswana","CHOBE DISTRICT","KASANE","NEW TOWN",1,"Head of the household",,"Yes"
"54-69-26-46","Botswana","Chobe","KASANE","Newtown",1,"Head of the household",,"Yes"
"92-23-96-13","Botswana","chobe","KASANE","New Town",1,"Head of the household",,"Yes"
"22-90-51-93","Botswana","Chobe","KASANE","New town",1,"Head of the household",,"Yes"
"15-81-26-28","Botswana","chobe","KAZUNGULA","new stance",1,"Representative of the head","Spouse","Yes"
"20-52-90-88","Botswana","Chobe","KASANE","Newtown",1,"Head of the household",,"Yes"
"35-31-07-84","Botswana","Chobe","KASANE","New Town",1,"Representative of the head","Daughter","Yes"
"09-47-23-08","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"03-49-16-10","Botswana","Chobe","KASANE","Kgaphamadi",1,"Representative of the head","Spouse","Yes"
"65-48-87-48","Botswana","chobe","KAZUNGULA","New stance",1,"Representative of the head","Spouse","Yes"
"54-94-74-75","Botswana","Chobe","KASANE","Kgaphamadi",1,"Head of the household",,"Yes"
"70-40-01-04","Botswana","chobe","KAZUNGULA","new stance",1,"Representative of the head","Sister","Yes"
"33-37-06-20","Botswana","Chobe","MUCHINJE/MABELE","Bothoka",1,"Head of the household",,"Yes"
"11-89-65-58","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"86-01-74-97","Botswana","Chobe","KAZUNGULA","New stands",1,"Representative of the head","Spouse","Yes"
"18-63-27-64","Botswana","chobe","KAZUNGULA","new stance",1,"Representative of the head","Spouse","Yes"
"00-01-02-02","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Daughter","Yes"
"69-53-29-77","Botswana","Chobe","KASANE","Botshabelo",1,"Representative of the head","Spouse","Yes"
"38-36-87-54","Botswana","chobe","MUCHINJE/MABELE","Izee",1,"Head of the household",,"Yes"
"96-39-11-89","Botswana","chobe","MUCHINJE/MABELE","Motsentsela",1,"Representative of the head","Sister","Yes"
"62-05-75-13","Botswana","chobe","KASANE","Botshabelo",1,"Head of the household",,"Yes"
"36-43-41-97","Botswana","Chobe","KASANE","Botshabelo",1,"Representative of the head","Other male relative","Yes"
