interview__key,any_livestock,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"30-84-56-78","No",,,,,,,,,,,,"",,,,
"25-36-49-99","No",,,,,,,,,,,,"",,,,
"95-91-52-45","No",,,,,,,,,,,,"",,,,
"25-55-41-68","No",,,,,,,,,,,,"",,,,
"16-89-26-77","No",,,,,,,,,,,,"",,,,
"32-98-78-03","No",,,,,,,,,,,,"",,,,
"76-60-63-85","Yes","No",,,,,,,,,,,"",,80,,"No"
"56-53-87-19","No",,,,,,,,,,,,"",,,,
"17-45-76-38","Yes","No",,,,,,,,,,,"",,1,,"No"
"25-00-79-64","No",,,,,,,,,,,,"",,,,
"49-47-26-23","No",,,,,,,,,,,,"",,,,
"66-81-51-91","Yes","No",,,,,,,,,,,"",,5,,"No"
"02-25-80-90","No",,,,,,,,,,,,"",,,,
"41-03-53-12","No",,,,,,,,,,,,"",,,,
"09-25-62-80","No",,,,,,,,,,,,"",,,,
"12-68-96-23","Yes","No",,,,,,,,,,,"",,60,,"No"
"46-89-61-94","No",,,,,,,,,,,,"",,,,
"36-57-98-87","Yes","No",,,,,,,,,,,"",,30,,"No"
"93-61-95-87","No",,,,,,,,,,,,"",,,,
"72-10-49-63","Yes","No",,,,,,,,,,,"",,5,,"No"
"65-98-70-74","No",,,,,,,,,,,,"",,,,
"71-09-05-63","Yes","No",,,,,,,,,,,"",,2,,"No"
"81-05-32-56","Yes","No",,,,,,,,,,,"",,1,,"No"
"30-09-94-93","Yes","No",,,,,,,,,,,"",,10,,"No"
"85-23-91-16","No",,,,,,,,,,,,"",,,,
"53-06-23-41","Yes","No",,,,,,,,,,,"",,5,,"No"
"93-66-25-28","No",,,,,,,,,,,,"",,,,
"43-14-97-16","No",,,,,,,,,,,,"",,,,
"49-90-63-33","No",,,,,,,,,,,,"",,,,
"68-84-82-12","Yes","No",,,,,,,,,,,"",,1,,"No"
"25-99-22-65","No",,,,,,,,,,,,"",,,,
"86-16-04-54","No",,,,,,,,,,,,"",,,,
"42-95-35-09","Yes","No",,,,,,,,,,,"",,30,,"No"
"54-69-26-46","No",,,,,,,,,,,,"",,,,
"92-23-96-13","Yes","No",,,,,,,,,,,"",,68,,"No"
"22-90-51-93","No",,,,,,,,,,,,"",,,,
"15-81-26-28","No",,,,,,,,,,,,"",,,,
"20-52-90-88","No",,,,,,,,,,,,"",,,,
"35-31-07-84","Yes","No",,,,,,,,,,,"",,119,,"No"
"09-47-23-08","Yes","Yes","Yes","No","No","No","No","No","No","No",,"Government","","Rural market in neighbouring other village",5,2000,"No"
"03-49-16-10","No",,,,,,,,,,,,"",,,,
"65-48-87-48","No",,,,,,,,,,,,"",,,,
"54-94-74-75","No",,,,,,,,,,,,"",,,,
"70-40-01-04","No",,,,,,,,,,,,"",,,,
"33-37-06-20","No",,,,,,,,,,,,"",,,,
