interview__key,r_infu__id,as07__1,as07__2,as07__3,as07__4,as07__5,as07__6,as07__7,as07__8,as07__9,as07__96,as07__n88,as07__n99,as07_oth,network_mostinf_gender,network_eth_oth,network_mostinf_agegrp,as08,as09
"30-84-56-78",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","","In their 50s",8,0
"30-84-56-78",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","","In their 40s",3,2
"30-84-56-78",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Women","","In their 40s",15,0
"25-36-49-99",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","","&gt;70",5,2
"25-36-49-99",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","","In their 30s",15,3
"25-36-49-99",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","","&gt;70",8,1
"95-91-52-45",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","","In their 60s",29,29
"95-91-52-45",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","","In their 60s",29,29
"95-91-52-45",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","","In their 60s",29,29
"25-55-41-68",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","","In their 60s",4,0
"16-89-26-77",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","","In their 40s",6,1
"16-89-26-77",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","","In their 50s",25,0
"16-89-26-77",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","","In their 40s",2,2
"32-98-78-03",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","","In their 50s",29,0
"32-98-78-03",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","","In their 50s",29,1
"32-98-78-03",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","","In their 50s",2,0
"76-60-63-85",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","","&gt;70",0,0
"76-60-63-85",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","","&gt;70",1,1
"76-60-63-85",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","","In their 60s",2,2
"56-53-87-19",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","","In their 40s",2,0
"56-53-87-19",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","","In their 50s",4,2
"56-53-87-19",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","","In their 60s",1,0
"17-45-76-38",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","","In their 60s",25,3
"17-45-76-38",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Women","","In their 60s",15,15
"17-45-76-38",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Women","","In their 40s",10,5
"25-00-79-64",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","","In their 40s",20,7
"25-00-79-64",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","","In their 20s",15,7
"25-00-79-64",3,"Yes","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","","In their 20s",25,7
"49-47-26-23",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","","&gt;70",20,5
"49-47-26-23",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","","In their 60s",20,5
"49-47-26-23",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","","In their 50s",15,6
"66-81-51-91",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","","In their 20s",29,0
"66-81-51-91",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","","In their 20s",14,7
"66-81-51-91",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","","In their 30s",10,0
"02-25-80-90",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","","In their 50s",28,28
"02-25-80-90",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","","In their 30s",2,1
"02-25-80-90",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","","In their 60s",28,4
