interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"30-84-56-78","Yes","Yes",,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"25-36-49-99","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"95-91-52-45","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"25-55-41-68","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-89-26-77","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"32-98-78-03","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"76-60-63-85","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"56-53-87-19","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"17-45-76-38","Yes","Yes",,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No",,400,,,,,,,,,,
"25-00-79-64","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"49-47-26-23","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-81-51-91","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"02-25-80-90","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"41-03-53-12","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,100,,,,,,,,,,
"09-25-62-80","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-68-96-23","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"46-89-61-94","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"36-57-98-87","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-61-95-87","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72-10-49-63","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,395,,,,,,,,,,
"65-98-70-74","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-09-05-63","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"81-05-32-56","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"30-09-94-93","Yes","Yes",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","No",,60,,,,,,,,,,
"85-23-91-16","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-06-23-41","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-66-25-28","Yes","Yes",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No",,30,,,,,,,,,,
"43-14-97-16","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"49-90-63-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"68-84-82-12","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"25-99-22-65","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
