interview__key,lnd_mes,lnd_mes_1,lnd01,lnd02,lnd03,lnd04,lnd08,lnd09,lnd06,lnd_ten01,lnd_ten02,lnd_ten03,lnd_ten04,lnd_ten08,lnd_ten09,lnd_ten06,lnd_07,lnd_08,lnd_08_1,lnd_09,lnd_09_1,lnd_10,lnd_11,lnd_12,lnd_13__1,lnd_13__2,lnd_13__3,lnd_13__4,lnd_13__5,lnd_13__6,lnd_13__7,lnd_13__8,lnd_13__9,lnd_13__10,lnd_13__96,lnd_13_oth,f01,f03,f04__1,f04__2,f04__3,f04__96,f04_1,f05,lnd_14,lnd_15,lnd_16,lnd_17,lnd_18,lnd_18_oth,num_plots,more_plot,more_plot_explain
"30-84-56-78","Hectares","",12,0,12,12,40,0,0,"Communally owned",,"Communally owned","Communally owned","Communally owned",,,"Yes","Within family","","Nowhere","","No","Very likely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive increase","The same","No",,,"",2,"Yes","FOR NUCLEAR FAMILY"
"25-36-49-99","Hectares","",0,0,0,0,.4,0,.35,,,,,"Communally owned",,"Communally owned","No",,"",,"",,"unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,10,"Massive decrease","Massive decrease","No",,,"",0,"Yes","I want land for production"
"95-91-52-45","Hectares","",0,0,0,0,0,0,0,,,,,,,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","The same","No",,,"",0,"Yes","For crop production"
"25-55-41-68","Hectares","",0,0,0,0,0,0,0,,,,,,,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight increase","Slight increase","No",,,"",0,"Yes","for housing accommodation to avoid rentals"
"16-89-26-77","Hectares","",0,0,0,0,.08,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","Slight decrease","No",,,"",0,"No","No money to develop more plots"
"32-98-78-03","Hectares","",0,0,0,0,0,0,0,,,,,,,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Slight increase","No",,,"",0,"Yes","To build"
"76-60-63-85","Hectares","",2,0,0,0,0,0,0,"Communally owned",,,,,,,"Yes","Other individuals","","Clan / Elder","","No","unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",1,"Yes","For livestock keeping"
"56-53-87-19","Hectares","",0,0,0,0,.2,0,0,,,,,"State owned",,,"Yes","Within family","","Tried to sort out ourselves","","Yes","unlikely","Yes","No","No","No","No","No","No","No","No","Yes","No","No",,"No",,,,,,,7,"Slight decrease","Massive decrease","No",,,"",0,"Yes","Because the plot he recently resides in is state owned and he wishes to have land allocated to him with title deed."
"17-45-76-38","Acres","",0,0,0,0,.08,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No",,"No",,,,,,,0,"Slight increase","The same","No",,,"",0,"Yes","residential"
"25-00-79-64","Hectares","",0,0,0,0,.08,0,0,,,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","Yes","No","No","No","No","No","No","Yes","No","No","No","No",,"No",,,,,,,0,"The same","The same","No",,,"",0,"Yes","residential"
"49-47-26-23","Other➡️ Please specify","square metre",0,0,0,0,.08,0,0,,,,,"Private owned with no land title",,,"Yes","Within family","","Magistrate","","Yes","Maybe, maybe not","Yes","No","No","No","No","No","No","Yes","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",0,"Yes","residential"
"66-81-51-91","Hectares","",0,0,0,0,0,0,0,,,,,,,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","Slight increase","No",,,"",0,"Yes","To start a business"
"02-25-80-90","Hectares","",0,0,2,0,.09,0,0,,,"Private owned with no land title",,"Private owned with land title",,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,4,"Slight decrease","Slight increase","No",,,"",1,"No","Land board only allows ownership of one Land, unless one buys and im not financially able"
"41-03-53-12","Hectares","",0,0,0,0,0,0,0,,,,,,,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",0,"Yes","because I don't own any land"
"09-25-62-80","Hectares","",0,0,0,0,.6,0,0,,,,,"Communally owned",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",0,"Yes","Because they need it especially for farming"
"12-68-96-23","Hectares","",0,0,0,0,.16,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive increase","Slight decrease","No",,,"",0,"Yes","build rental houses"
