interview__key,r_livestock__id,lv01,lv02,lv03,lv04,lv_inkind_pay,lv05,lv06,lv07,lv08
"76-60-63-85","Bulls/Oxen/Steers",3,3,0,0,0,0,1,0,
"76-60-63-85","Cows/Heifers",7,7,0,0,0,0,1,0,
"17-45-76-38","Cows/Heifers",45,45,20,0,0,0,0,20,3000
"66-81-51-91","Goats - He/She/Kids",4,5,0,0,0,0,0,0,
"12-68-96-23","Goats - He/She/Kids",8,12,6,1,0,0,7,0,1000
"36-57-98-87","Cows/Heifers",1,1,0,0,0,0,0,0,
"72-10-49-63","Goats - He/She/Kids",25,15,10,0,0,0,0,0,500
"71-09-05-63","Chicken - Hens/Layers",1,4,0,0,0,0,0,0,
"81-05-32-56","Cows/Heifers",38,19,0,1,0,1,0,17,
"30-09-94-93","Cows/Heifers",7,3,1,0,0,0,3,0,4500
"53-06-23-41","Goats - He/She/Kids",0,10,0,0,0,0,1,0,
"68-84-82-12","Bulls/Oxen/Steers",1,1,0,0,0,0,0,0,
"68-84-82-12","Cows/Heifers",9,9,0,0,0,0,0,0,
"68-84-82-12","Calves - Males/Females",3,3,0,0,0,0,0,0,
"68-84-82-12","Goats - He/She/Kids",12,12,0,0,0,0,0,0,
"42-95-35-09","Cows/Heifers",5,4,0,1,0,0,0,0,
"92-23-96-13","Cows/Heifers",15,15,3,0,0,0,1,1,3000
"35-31-07-84","Cows/Heifers",16,20,0,0,0,0,0,0,
"09-47-23-08","Goats - He/She/Kids",19,19,2,0,0,0,0,0,1000
"09-47-23-08","Chicken - Hens/Layers",12,30,0,0,0,0,0,0,
"86-01-74-97","Cows/Heifers",5,7,0,0,0,0,0,0,
"00-01-02-02","Chicken - Cocks/Broilers",3,5,10,16,0,0,5,0,70
"00-01-02-02","Chicken - Hens/Layers",3,40,5,10,0,0,0,0,50
"38-36-87-54","Cows/Heifers",3,3,0,0,0,0,0,1,
"38-36-87-54","Chicken - Cocks/Broilers",20,12,0,10,0,1,7,0,
"96-39-11-89","Chicken - Hens/Layers",100,65,0,0,0,0,35,0,
"05-35-63-46","Chicken - Hens/Layers",32,32,32,0,0,0,6,0,65
"00-34-52-14","Cows/Heifers",2,2,0,0,0,0,0,1,
"85-48-53-30","Chicken - Cocks/Broilers",20,9,15,6,0,0,1,4,60
