interview__key,markt_output_dist,markt_input_dist,markt_buyer,markt_buyer_oth,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3,subsidy_supplier__96,subsidy_supplier__n888,subsidy_supplier__n999,subsidy_supplier_oth
"30-84-56-78",,,,"",,"",,,,,,,,,,,,
"25-36-49-99",,,,"",,"",,,,,,,,,,,,
"95-91-52-45",.5,.5,"Urban market (town) in this region","","No","","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No",
"25-55-41-68",,,,"",,"",,,,,,,,,,,,
"16-89-26-77",,,,"",,"",,,,,,,,,,,,
"32-98-78-03",,,,"",,"",,,,,,,,,,,,
"76-60-63-85",,,,"",,"",,,,,,,,,,,,
"56-53-87-19",,,,"",,"",,,,,,,,,,,,
"17-45-76-38",,,,"",,"",,,,,,,,,,,,
"25-00-79-64",,,,"",,"",,,,,,,,,,,,
"49-47-26-23",,,,"",,"",,,,,,,,,,,,
"66-81-51-91",,,,"",,"",,,,,,,,,,,,
"02-25-80-90",,,,"",,"",,,,,,,,,,,,
"41-03-53-12",,,,"",,"",,,,,,,,,,,,
"09-25-62-80",,,,"",,"",,,,,,,,,,,,
"12-68-96-23",,,,"",,"",,,,,,,,,,,,
"46-89-61-94",,,,"",,"",,,,,,,,,,,,
"36-57-98-87",,,,"",,"",,,,,,,,,,,,
"93-61-95-87",0,4,,"","Yes","ONION","No",,,,,,,,,,,
"72-10-49-63",,,,"",,"",,,,,,,,,,,,
"65-98-70-74",,,,"",,"",,,,,,,,,,,,
"71-09-05-63",0,2,"Others ➡️ Specify","practice subsistence farming","No","","No",,,,,,,,,,,
"81-05-32-56",2,2,"Market in this village","","No","","No",,,,,,,,,,,
"30-09-94-93",,,,"",,"",,,,,,,,,,,,
"85-23-91-16",1,1,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","No","No","Yes","No","No","No",
"53-06-23-41",100,100,"Urban market (town) in this region","","Yes","MAIZE","No",,,,,,,,,,,
"93-66-25-28",,,,"",,"",,,,,,,,,,,,
"43-14-97-16",,,,"",,"",,,,,,,,,,,,
"49-90-63-33",,,,"",,"",,,,,,,,,,,,
"68-84-82-12",1,1,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"25-99-22-65",,,,"",,"",,,,,,,,,,,,
"86-16-04-54",,,,"",,"",,,,,,,,,,,,
"42-95-35-09",2,1,"Direct individuals not in a market","","No","","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No",
"54-69-26-46",,,,"",,"",,,,,,,,,,,,
"92-23-96-13",80,5,"Market in this village","","No","","No",,,,,,,,,,,
"22-90-51-93",5,5,"Direct individuals not in a market","","No","","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No",
"15-81-26-28",,,,"",,"",,,,,,,,,,,,
"20-52-90-88",,,,"",,"",,,,,,,,,,,,
"35-31-07-84",,,,"",,"",,,,,,,,,,,,
"09-47-23-08",,,,"",,"",,,,,,,,,,,,
"03-49-16-10",,,,"",,"",,,,,,,,,,,,
"65-48-87-48",,,,"",,"",,,,,,,,,,,,
"54-94-74-75",,,,"",,"",,,,,,,,,,,,
"70-40-01-04",,,,"",,"",,,,,,,,,,,,
"33-37-06-20",10,10,"Market in this village","","No","","No",,,,,,,,,,,
"11-89-65-58",,,,"",,"",,,,,,,,,,,,
"86-01-74-97",,,,"",,"",,,,,,,,,,,,
"18-63-27-64",,,,"",,"",,,,,,,,,,,,
"00-01-02-02",,,,"",,"",,,,,,,,,,,,
"69-53-29-77",,,,"",,"",,,,,,,,,,,,
"38-36-87-54",,,,"",,"",,,,,,,,,,,,
"96-39-11-89",,,,"",,"",,,,,,,,,,,,
"62-05-75-13",10,10,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"36-43-41-97",,,,"",,"",,,,,,,,,,,,
"12-03-37-86",1,1,"Market in this village","","No","","No",,,,,,,,,,,
"33-44-32-83",,,,"",,"",,,,,,,,,,,,
"39-65-48-99",,,,"",,"",,,,,,,,,,,,
"85-43-95-57",,,,"",,"",,,,,,,,,,,,
"07-73-56-26",2,10,"Others ➡️ Specify","They do not sell their produce at all","No","","No",,,,,,,,,,,
"00-16-25-60",,,,"",,"",,,,,,,,,,,,
"05-35-63-46",,,,"",,"",,,,,,,,,,,,
"00-34-52-14",,,,"",,"",,,,,,,,,,,,
"81-06-64-01",1,1,"Others ➡️ Specify","I don't sell its for family consumption","No","","No",,,,,,,,,,,
"84-33-06-87",,,,"",,"",,,,,,,,,,,,
"85-48-53-30",,,,"",,"",,,,,,,,,,,,
"61-17-81-33",,,,"",,"",,,,,,,,,,,,
"70-67-46-48",,,,"",,"",,,,,,,,,,,,
"08-84-58-33",,,,"",,"",,,,,,,,,,,,
"17-96-77-43",30,1,"Others ➡️ Specify","SELLING TO BOTSWANA AGRICULTURAL MARKET BOARD.","No","","No",,,,,,,,,,,
"05-74-99-19",,,,"",,"",,,,,,,,,,,,
"58-76-16-53",,,,"",,"",,,,,,,,,,,,
"14-93-43-30",,,,"",,"",,,,,,,,,,,,
"11-82-86-61",128,138,"Market in this village","","No","","No",,,,,,,,,,,
"03-50-12-90",1,1,"Market in this village","","Yes","BEANS/COWPEA","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No",
"81-28-91-79",1,2,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"87-17-87-24",,,,"",,"",,,,,,,,,,,,
"98-37-88-19",,,,"",,"",,,,,,,,,,,,
"19-43-58-99",,,,"",,"",,,,,,,,,,,,
"85-30-41-56",,,,"",,"",,,,,,,,,,,,
"78-32-31-52",,,,"",,"",,,,,,,,,,,,
"37-97-45-71",,,,"",,"",,,,,,,,,,,,
"07-52-39-57",3,3,"Market in this village","","No","","No",,,,,,,,,,,
"80-35-75-14",,,,"",,"",,,,,,,,,,,,
"94-41-84-42",1,1,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"96-46-53-15",,,,"",,"",,,,,,,,,,,,
"53-23-37-57",,,,"",,"",,,,,,,,,,,,
"34-02-59-21",,,,"",,"",,,,,,,,,,,,
"19-67-63-11",,,,"",,"",,,,,,,,,,,,
"57-12-45-97",1,1,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"96-34-22-21",,,,"",,"",,,,,,,,,,,,
"03-38-35-14",,,,"",,"",,,,,,,,,,,,
"09-06-20-19",,,,"",,"",,,,,,,,,,,,
"51-25-36-09",3,3,"Market in this village","","No","","Yes","Yes","No","No","No","No","No","Yes","No","No","No",
"04-05-30-01",,,,"",,"",,,,,,,,,,,,
"50-01-20-35",,,,"",,"",,,,,,,,,,,,
"67-87-75-21",,,,"",,"",,,,,,,,,,,,
"53-81-28-44",,,,"",,"",,,,,,,,,,,,
"69-29-47-18",,,,"",,"",,,,,,,,,,,,
"22-59-76-95",,,,"",,"",,,,,,,,,,,,
"87-80-21-51",,,,"",,"",,,,,,,,,,,,
"21-25-86-78",,,,"",,"",,,,,,,,,,,,
