interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"30-84-56-78",1,"Yes","No","Yes",,,"",2005,2017,,,,
"30-84-56-78",2,"No",,"No","No intention to migrate",,"",,,,,,
"30-84-56-78",3,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"25-36-49-99",1,"No",,"Yes","No intention to migrate",,"",2019,2019,,,,
"25-36-49-99",2,"No",,"Yes","No intention to migrate",,"",2019,2019,,,,
"25-36-49-99",3,"No",,"No","No intention to migrate",,"",,,,,,
"25-36-49-99",4,"Yes","Yes","No",,,"",2023,2023,1,1,0,
"25-36-49-99",5,"No",,"No","No intention to migrate",,"",,,,,,
"95-91-52-45",1,"No",,"No","No intention to migrate",,"",,,,,,
"95-91-52-45",2,"No",,"No","Don’t know",,"",,,,,,
"25-55-41-68",1,"No",,"No","No intention to migrate",,"",,,,,,
"25-55-41-68",2,"No",,"No","No intention to migrate",,"",,,,,,
"25-55-41-68",3,"No",,"No","No intention to migrate",,"",,,,,,
"25-55-41-68",4,"No",,"No","No intention to migrate",,"",,,,,,
"16-89-26-77",1,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"16-89-26-77",2,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"32-98-78-03",1,"No",,"No","No intention to migrate",,"",,,,,,
"32-98-78-03",2,"No",,"No","No intention to migrate",,"",,,,,,
"32-98-78-03",3,"No",,"No","No intention to migrate",,"",,,,,,
"32-98-78-03",4,"No",,"No","No intention to migrate",,"",,,,,,
"32-98-78-03",5,"No",,"No","No intention to migrate",,"",,,,,,
"76-60-63-85",1,"No",,"No","Yes temporarily migrate","Village in region","",,,,,,
"76-60-63-85",2,"No",,"No","Don’t know",,"",,,,,,
"76-60-63-85",3,"No",,"No","Don’t know",,"",,,,,,
"76-60-63-85",4,"No",,"No","Yes permanently migrate","Capital city","",,,,,,
"56-53-87-19",1,"No",,"No","Yes permanently migrate","Village in region","",,,,,,
"17-45-76-38",1,"No",,"No","No intention to migrate",,"",,,,,,
"17-45-76-38",2,"Yes","No","No",,,"",2021,2021,,,,
"17-45-76-38",3,"Yes","No","No",,,"",2021,2021,,,,
"25-00-79-64",1,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"25-00-79-64",3,"No",,"No","Don’t know",,"",,,,,,
"49-47-26-23",1,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"66-81-51-91",1,"No",,"No","No intention to migrate",,"",,,,,,
"66-81-51-91",2,"No",,"No","No intention to migrate",,"",,,,,,
"02-25-80-90",1,"No",,"No","No intention to migrate",,"",,,,,,
"02-25-80-90",2,"No",,"No","Don’t know",,"",,,,,,
"02-25-80-90",3,"No",,"No","Don’t know",,"",,,,,,
"41-03-53-12",1,"No",,"No","No intention to migrate",,"",,,,,,
"41-03-53-12",2,"No",,"No","No intention to migrate",,"",,,,,,
"09-25-62-80",1,"No",,"No","No intention to migrate",,"",,,,,,
"09-25-62-80",2,"No",,"No","No intention to migrate",,"",,,,,,
"09-25-62-80",3,"No",,"No","No intention to migrate",,"",,,,,,
"09-25-62-80",4,"No",,"No","No intention to migrate",,"",,,,,,
"09-25-62-80",5,"No",,"No","No intention to migrate",,"",,,,,,
"12-68-96-23",1,"No",,"No","No intention to migrate",,"",,,,,,
"12-68-96-23",2,"No",,"No","No intention to migrate",,"",,,,,,
"46-89-61-94",1,"No",,"No","No intention to migrate",,"",,,,,,
"46-89-61-94",2,"Yes","No","Yes",,,"",2022,2022,,,,
"46-89-61-94",3,"No",,"No","No intention to migrate",,"",,,,,,
"36-57-98-87",1,"No",,"No","No intention to migrate",,"",,,,,,
"36-57-98-87",2,"No",,"No","No intention to migrate",,"",,,,,,
"93-61-95-87",1,"No",,"No","Yes permanently migrate","Village in region","",,,,,,
"93-61-95-87",3,"Yes","No","No",,,"",2022,2022,,,,
"93-61-95-87",4,"No",,"No","No intention to migrate",,"",,,,,,
"93-61-95-87",5,"No",,"Yes","Yes temporarily migrate","village outside region","",2010,2022,,,,
"72-10-49-63",1,"No",,"No","No intention to migrate",,"",,,,,,
"72-10-49-63",2,"No",,"No","No intention to migrate",,"",,,,,,
"72-10-49-63",3,"No",,"No","No intention to migrate",,"",,,,,,
"65-98-70-74",1,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"65-98-70-74",2,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"65-98-70-74",3,"No",,"No","Don’t know",,"",,,,,,
"65-98-70-74",4,"No",,"No","Yes permanently migrate","Village in region","",,,,,,
"65-98-70-74",5,"No",,"No","Yes temporarily migrate","village outside region","",,,,,,
"71-09-05-63",1,"No",,"No","No intention to migrate",,"",,,,,,
"71-09-05-63",2,"No",,"No","No intention to migrate",,"",,,,,,
"71-09-05-63",3,"Yes","No","Yes",,,"",2022,2022,,,,
"71-09-05-63",4,"No",,"No","Yes permanently migrate","Village in region","",,,,,,
"71-09-05-63",5,"No",,"No","No intention to migrate",,"",,,,,,
"71-09-05-63",6,"No",,"No","No intention to migrate",,"",,,,,,
"81-05-32-56",1,"Yes","Yes","No",,,"",2016,2016,2,8,400,"Son"
"81-05-32-56",2,"No",,"No","Don’t know",,"",,,,,,
"81-05-32-56",3,"Yes","Yes","Yes",,,"",2020,2020,1,11,0,
"30-09-94-93",1,"No",,"No","No intention to migrate",,"",,,,,,
"30-09-94-93",2,"No",,"No","No intention to migrate",,"",,,,,,
"30-09-94-93",3,"No",,"No","No intention to migrate",,"",,,,,,
"30-09-94-93",4,"No",,"No","No intention to migrate",,"",,,,,,
"30-09-94-93",5,"No",,"No","No intention to migrate",,"",,,,,,
"85-23-91-16",1,"No",,"No","Yes permanently migrate","Town outside region","",,,,,,
"53-06-23-41",1,"No",,"Yes","No intention to migrate",,"",2013,2013,,,,
"53-06-23-41",2,"No",,"Yes","No intention to migrate",,"",2018,2018,,,,
"93-66-25-28",1,"No",,"No","No intention to migrate",,"",,,,,,
"93-66-25-28",2,"No",,"No","No intention to migrate",,"",,,,,,
"43-14-97-16",1,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"43-14-97-16",2,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"43-14-97-16",3,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"43-14-97-16",4,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"49-90-63-33",1,"No",,"No","No intention to migrate",,"",,,,,,
"49-90-63-33",2,"No",,"No","No intention to migrate",,"",,,,,,
"49-90-63-33",3,"No",,"No","No intention to migrate",,"",,,,,,
"49-90-63-33",4,"No",,"No","No intention to migrate",,"",,,,,,
"49-90-63-33",5,"No",,"No","No intention to migrate",,"",,,,,,
