interview__key,r_members__id,lbr3_1,lbr3_1_oth,emp_form,bus_yr,bus_dry,bus_rain,bus_days_wk,bus_hrs,bus_sales,bus_main_use__1,bus_main_use__2,bus_main_use__3,bus_main_use__4,bus_main_use__5,bus_main_use__6,bus_main_use__7,bus_main_use__96,bus_main_use__n888,bus_main_use_others,bus_input,bus_labor,bus_capital,bus_reg,bus_loc,bus_employe,tourism_motivate__1,tourism_motivate__2,tourism_motivate__3,tourism_motivate__4,tourism_motivate__5,tourism_motivate__6,tourism_motivate__7,tourism_motivate__8,tourism_motivate__96,tourism_motivate_oth,years_exp_agri,business_obstacle__1,business_obstacle__2,business_obstacle__3,business_obstacle__4,business_obstacle__5,business_obstacle__6,business_obstacle__7,business_obstacle__8,business_obstacle__9,business_obstacle__10,business_obstacle__11,business_obstacle__96,business_obstacle__n888,business_obstacle__n999,business_obs_oth,business_financing__1,business_financing__2,business_financing__3,business_financing__4,business_financing__5,business_financing__6,business_financing__7,business_financing__8,business_financing__9,business_financing__10,business_financing__11,business_financing__12,business_financing__96,business_financing__n888,business_financing__n999,business_financing_oth,business_finance__1,business_finance__2,business_finance__3,business_finance__4,business_finance__5,business_finance__6,business_finance__7,business_finance__8,business_finance__96,business_finance__n888,business_finance__n999,business_finance_oth,business_legal__1,business_legal__2,business_legal__3,business_legal__4,business_legal__5,business_legal__96,business_legal__n888,business_legal__n999,business_legal_oth,support_local_gov,support_local_kind__1,support_local_kind__2,support_local_kind__3,support_local_kind__4,support_local_kind__5,support_local_kind__6,support_local_kind__7,support_local_kind__8,support_local_kind__96,support_local_kind__n888,support_local_kind__n999,support_local_gov_oth,lbr3_2,lbr3_3,lbr3_4,lbr3_5,lbr3_5_1__1,lbr3_5_1__2,lbr3_5_1__3,lbr3_5_1__4,lbr3_5_1__5,lbr3_5_1__6,lbr3_5_1__7,lbr3_5_1__96,lbr3_5_1__n888,lbr3_5_1__n999,lbr3_5_1_oth,lbr3_6,lbr3_7,lbr3_8,lbr3_9,lbr3_9_1__1,lbr3_9_1__2,lbr3_9_1__3,lbr3_9_1__4,lbr3_9_1__5,lbr3_9_1__6,lbr3_9_1__7,lbr3_9_1__96,lbr3_9_1__n888,lbr3_9_1__n999,lbr3_9_1_oth,lbr3_10,lbr3_11,lbr3_12,lbr3_13,Ibr3_14__1,Ibr3_14__2,Ibr3_14__3,Ibr3_15,Ibr3_16,Ibr3_17,Ibr3_18,Ibr3_19,leave,sick_leave,lbr10,lbr10_1,job_search,job_search_oth,lbr09,emp_years,lbr11
"30-84-56-78",1,"Travel and Tourism","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","CHOBE SAFARI LODGE","In this village","Seasonal",,,,,,,,,,,,"",,,"Per month",800,0,1,0,0,0,2,0,0,0,0,"",2,1,6,8,"No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Part-time contract","","Public employment/recruitment agency","","Yes",.2,"Neither"
"30-84-56-78",1,"Hospitality (e.g., Accommodation &amp; Lodging )","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","CHOBE SAFARI LODGE","In this village","Seasonal",,,,,,,,,,,,"",,,"Per month",800,0,1,0,0,0,2,0,0,0,0,"",2,1,6,8,"No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Part-time contract","","Public employment/recruitment agency","","Yes",.2,"Neither"
"30-84-56-78",2,"Security services","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","INCOURT SECURITY","In this village","Seasonal",,,,,,,,,,,,"",,,"Per month",2700,0,1,2,0,0,0,0,0,0,0,"",6,6,5,8,"No","No","Yes","No","No","Yes","No","No","Yes","Yes","Part-time contract","","Public employment/recruitment agency","","Yes",2,"Satisfied"
"25-36-49-99",5,"Transport","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Caltech filling station","Town or city within this district/region","Seasonal",,,,,,,,,,,,"",,,"Per month",1500,0,1,0,0,0,2,0,0,0,0,"",5,5,6,8,"No","No","No","Yes","No","No","No","Yes","No","Yes","Long term permanent contract","","Online postings","","No",2,"Satisfied"
"25-55-41-68",1,"Others, specify","Security Guard","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Sea wave Security","In this village","Permanent",2500,0,2,0,0,1,3,0,0,0,0,"",6,12,,,,,,,,,,,,,"",,,,,"No","No","No","Yes","No","Yes","No","No","Yes","Yes","Fixed term permanent contract","","Private employment/recruitment agency","","No",1,"Satisfied"
"25-55-41-68",2,"Others, specify","Piece Jobs At Department Of Labour","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Department of labour","In this village","Seasonal",,,,,,,,,,,,"",,,"Per week",700,0,0,0,0,0,0,0,1,0,0,"Toiletry",1,0,5,8,"No","No","Yes","No","No","Yes","No","No","No","Yes","Daily wage labourer","","Public employment/recruitment agency","","No",.1,"dissatisfied"
"76-60-63-85",3,"Others, specify","Petrol Attendant","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Puma Gas Station","In this village","Permanent",100,0,1,0,0,0,0,2,0,0,0,"",6,7,,,,,,,,,,,,,"",,,,,"No","No","No","Yes","No","No","No","Yes","No","No","Fixed term permanent contract","","Online postings","","No",2,"Satisfied"
"17-45-76-38",3,"Hospitality (e.g., Accommodation &amp; Lodging )","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","chobe river lodge","In this village","Seasonal",,,,,,,,,,,,"",,,"Per month",2000,0,1,0,0,0,2,0,0,0,0,"",5,5,4,8,"No","No","No","No","No","Yes","No","No","Yes","Yes","Fixed term permanent contract","","Online postings","","Yes",.5,"Satisfied"
"25-00-79-64",1,"Others, specify","Construction","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Zak Construction","In this village","Seasonal",,,,,,,,,,,,"",,,"Per month",850,0,1,0,0,0,0,0,0,0,0,"",1,1,5,8,"No","No","No","No","No","No","No","No","No","No","Part-time contract","","Public employment/recruitment agency","","No",.5,"Very satisfied"
"66-81-51-91",1,"Food industry","","Self-employed/own business",4,0,4,6,6,1100,2,1,0,0,3,4,0,0,0,"",400,0,0,"Yes","Village in region",0,"No","No","No","Yes","No","No","No","No","No",,"1","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No",,"No","No","Yes","No","No","No","No","No","No","No","No",,"No","No","Yes","No","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","Yes",1,"Neither"
