interview__key,r_members__id,lbr13,Ibr13_1,Ibr13_2,Ibr13_3,Ibr13_4,Ibr13_5,Ibr13_6,Ibr13_8,Ibr13_9,years_exp_crp,Ibr13_10,Ibr13_11,Ibr13_12,Ibr13_13,years_exp_liv,onfarm_main_use__1,onfarm_main_use__2,onfarm_main_use__3,onfarm_main_use__4,onfarm_main_use__5,onfarm_main_use__6,onfarm_main_use__7,onfarm_main_use__96,onfarm_main_use_oth
"30-84-56-78",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"30-84-56-78",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"25-36-49-99",5,"No",,,,,,,,,,,,,,,,,,,,,,,""
"25-55-41-68",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"25-55-41-68",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"76-60-63-85",1,"Yes",0,0,,,0,0,,,40,1,1,7,12,2,0,0,0,0,0,0,0,1,"They are just kept and not used for anything."
"76-60-63-85",3,"No",,,,,,,,,,,,,,,,,,,,,,,""
"17-45-76-38",3,"No",,,,,,,,,,,,,,,,,,,,,,,""
"25-00-79-64",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"66-81-51-91",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"66-81-51-91",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"02-25-80-90",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"02-25-80-90",3,"No",,,,,,,,,,,,,,,,,,,,,,,""
"12-68-96-23",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"12-68-96-23",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"46-89-61-94",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"36-57-98-87",1,"Yes",0,0,,,0,0,,,0,1,3,7,5,1,0,0,0,0,0,0,0,1,"The cow is only for domestic  use"
"93-61-95-87",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"93-61-95-87",4,"No",,,,,,,,,,,,,,,,,,,,,,,""
"72-10-49-63",1,"Yes",0,0,,,0,0,,,0,4,3,2,2,19,0,1,2,0,0,0,0,0,""
"65-98-70-74",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"65-98-70-74",3,"No",,,,,,,,,,,,,,,,,,,,,,,""
"71-09-05-63",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"71-09-05-63",3,"No",,,,,,,,,,,,,,,,,,,,,,,""
"71-09-05-63",4,"No",,,,,,,,,,,,,,,,,,,,,,,""
"71-09-05-63",5,"No",,,,,,,,,,,,,,,,,,,,,,,""
"71-09-05-63",6,"No",,,,,,,,,,,,,,,,,,,,,,,""
"81-05-32-56",1,"Yes",0,0,,,0,0,,,40,5,5,3,5,3,1,2,0,3,0,4,0,0,""
"81-05-32-56",3,"Yes",1,0,4,8,1,0,5,8,2,0,0,,,0,1,2,3,4,5,6,0,0,""
"30-09-94-93",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"30-09-94-93",2,"Yes",3,4,7,8,3,4,7,8,20,0,0,,,0,0,0,1,0,0,0,0,0,""
"30-09-94-93",3,"No",,,,,,,,,,,,,,,,,,,,,,,""
"30-09-94-93",4,"No",,,,,,,,,,,,,,,,,,,,,,,""
"85-23-91-16",1,"Yes",0,0,,,1,1,1,,15,0,0,,,10,0,1,0,0,0,0,0,0,""
"53-06-23-41",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"93-66-25-28",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"93-66-25-28",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"49-90-63-33",3,"No",,,,,,,,,,,,,,,,,,,,,,,""
"49-90-63-33",5,"No",,,,,,,,,,,,,,,,,,,,,,,""
"68-84-82-12",3,"No",,,,,,,,,,,,,,,,,,,,,,,""
"25-99-22-65",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"25-99-22-65",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"25-99-22-65",3,"No",,,,,,,,,,,,,,,,,,,,,,,""
"86-16-04-54",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"42-95-35-09",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"42-95-35-09",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"92-23-96-13",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"22-90-51-93",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"15-81-26-28",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"20-52-90-88",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"35-31-07-84",5,"No",,,,,,,,,,,,,,,,,,,,,,,""
"09-47-23-08",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"03-49-16-10",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"03-49-16-10",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"65-48-87-48",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"65-48-87-48",3,"No",,,,,,,,,,,,,,,,,,,,,,,""
"54-94-74-75",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"70-40-01-04",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
