interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"30-84-56-78","Yes","Yes","Yes","No","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"25-36-49-99","No","Yes","Yes","Yes","Yes",200,"Yes","No","No","No","No","No","Yes","No","No","No",,"Yes","No",,,,,,,,,,,,
"95-91-52-45","No","No","Yes","Yes","Yes",2000,"No","No","No","No","Yes","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"25-55-41-68","No","No","Yes","No","Yes",700,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"16-89-26-77","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"32-98-78-03","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"76-60-63-85","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"56-53-87-19","Yes","Yes","Yes","No","Yes",700,"Yes","No","Yes","No","No","No","No","No","Yes","No",,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes"
"17-45-76-38","No","No","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"25-00-79-64","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"49-47-26-23","No","Yes","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"66-81-51-91","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"02-25-80-90","Yes","No","Yes","Yes","Yes",200,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"41-03-53-12","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"09-25-62-80","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"12-68-96-23","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"46-89-61-94","No","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"36-57-98-87","No","Yes","No","Yes","Yes",800,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"93-61-95-87","No","Yes","No","Yes","Yes",200,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"72-10-49-63","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"65-98-70-74","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"71-09-05-63","Yes","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"81-05-32-56","No","No","Yes","No","Yes",300,"No","No","No","No","No","No","No","No","No","Yes",,"Yes","No",,,,,,,,,,,,
"30-09-94-93","Yes","Yes","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"85-23-91-16","No","No","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"53-06-23-41","No","No","Yes","No","Yes",300,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"93-66-25-28","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"43-14-97-16","Yes","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"49-90-63-33","Yes","Yes","Yes","No","Yes",2500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"68-84-82-12","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"25-99-22-65","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"86-16-04-54","No","No","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"42-95-35-09","No","No","Yes","No","Yes",300,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No"
"54-69-26-46","No","No","Yes","No","Yes",100,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"92-23-96-13","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"22-90-51-93","No","No","Yes","No","Yes",800,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"15-81-26-28","No","No","No","Yes","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"20-52-90-88","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"35-31-07-84","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"09-47-23-08","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"03-49-16-10","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"65-48-87-48","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"54-94-74-75","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"70-40-01-04","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"33-37-06-20","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
