interview__key,r_purpose_tr__id,road_4__1,road_4__2,road_4__3,road_4__4,road_4__5,road_4__6,road_4__7,road_4__8,road_4__96,road_5
"30-84-56-78","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"30-84-56-78","Got to workplace","No","No","Yes","No","No","No","No","No","No","Once a week or more often"
"30-84-56-78","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"25-36-49-99","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"25-36-49-99","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Almost every week"
"95-91-52-45","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"95-91-52-45","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"25-55-41-68","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"25-55-41-68","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"25-55-41-68","Got to workplace","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"25-55-41-68","Visit recreational places","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"16-89-26-77","Go to the market","Yes","No","Yes","No","No","No","No","No","No","Once a week or more often"
"16-89-26-77","Go to school","Yes","No","Yes","No","No","No","No","No","No","Once a week or more often"
"16-89-26-77","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"16-89-26-77","Got to workplace","No","No","Yes","No","No","No","No","No","No","Once a week or more often"
"16-89-26-77","Visit friends/ relatives","No","No","Yes","No","No","No","No","No","No","Almost every week"
"32-98-78-03","Go to the market","Yes","No","Yes","No","No","No","No","No","No","Once a week or more often"
"32-98-78-03","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"32-98-78-03","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Almost every week"
"32-98-78-03","Got to workplace","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"32-98-78-03","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"76-60-63-85","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"76-60-63-85","Got to workplace","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"56-53-87-19","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"56-53-87-19","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once or twice a month"
"56-53-87-19","Got to workplace","Yes","No","No","No","No","No","No","No","No","Almost every week"
"56-53-87-19","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once or twice a month"
"17-45-76-38","Go to the market","No","No","Yes","No","No","No","No","No","No","Once a week or more often"
"17-45-76-38","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"17-45-76-38","Access medical treatment","Yes","No","Yes","No","No","No","No","No","No","Once a week or more often"
"17-45-76-38","Got to workplace","Yes","No","Yes","No","No","No","No","No","No","Once a week or more often"
"17-45-76-38","Visit friends/ relatives","Yes","No","Yes","No","No","No","No","No","No","Once a week or more often"
"17-45-76-38","Visit recreational places","No","No","Yes","No","No","No","No","No","No","Once a week or more often"
"17-45-76-38","Go to the field","No","No","Yes","No","No","No","No","No","No","A few times a year"
