interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11__1,road_11__2,road_11__3,road_11__96,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"30-84-56-78","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","No","Yes","Yes","No","No","No",,1,"Yes","No",,"No",,,,,,"No","Yes","No","No","No","No","No","No",,"Yes","Yes","No","No","No","Yes","No",
"25-36-49-99","Tarmac road","Well passable","Yes","No","No","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"95-91-52-45","Tarmac road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","Yes","Yes","No","No","No",
"25-55-41-68","Murram/ gravel road","Well passable","Yes","Yes","No","Yes","No","Yes","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"16-89-26-77","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","Yes","No","No","No",,60,"Yes","No",,"No",,,,,,"Yes","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","No",
"32-98-78-03","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","Yes","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"76-60-63-85","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","No","Yes","No","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","Yes","Yes","No","No","No",
"56-53-87-19","Murram/ gravel road","Well passable","Yes","No","Yes","Yes","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","No","Yes",
"17-45-76-38","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",,2,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"25-00-79-64","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","No","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
