interview__key,r_shocks__id,r_shocks,sh_1,sh_2,sh_3__1,sh_3__2,sh_3__3,sh_3__4,sh_3__5,sh_3__6,sh_3__7,sh_3__8,sh_3__9,sh_3__10,sh_3__11,sh_3__12,sh_3__13,sh_3__14,sh_3__96,sh_3_oth,sh_4,sh_5,sh_6,sh_7
"30-84-56-78",1,"Chronicor Severe Illnessor Accident of a Household Member",1,"Very severe",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Extremely likely","Extremely likely","Extremely likely",0
"30-84-56-78",6,"Dwelling Damaged",2,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Extremely likely","Very  likely","Extremely likely",0
"30-84-56-78",13,"Loss of Employment",1,"Mild",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Very  likely","Extremely likely","Not very likely",1
"30-84-56-78",21,"Fallen Sick of COVID-19",2,"Mild",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Extremely likely","Very  likely","Not at all likely",1
"25-36-49-99",1,"Chronicor Severe Illnessor Accident of a Household Member",4,"Very severe",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Not very likely","Not very likely",0
"25-36-49-99",7,"Drought or Extended Period of No Rain",3,"Mild",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not very likely",1
"25-36-49-99",15,"Large Rise in Prices of Food",4,"Severe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not at all likely","Not very likely","Not very likely",1
"95-91-52-45",8,"Floods",2,"Mild",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Laid sand and concrete to mitigate","Very  likely","Not very likely","Not very likely",0
"95-91-52-45",10,"Livestock Disease/Death",3,"Very severe",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Very  likely","Very  likely","Very  likely",0
"25-55-41-68",15,"Large Rise in Prices of Food",3,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not at all likely","Not at all likely","Not very likely",0
"16-89-26-77",15,"Large Rise in Prices of Food",3,"Mild",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Not very likely","Very  likely",0
"16-89-26-77",19,"Ethnic or Clan Clashes",1,"Mild",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not very likely","Not very likely","Very  likely",0
"32-98-78-03",1,"Chronicor Severe Illnessor Accident of a Household Member",12,"Very severe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Not very likely",0
"32-98-78-03",4,"Fire on Property",1,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Not very likely",0
"32-98-78-03",6,"Dwelling Damaged",1,"Severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Not at all likely","Not very likely",0
"32-98-78-03",15,"Large Rise in Prices of Food",2,"Very severe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not at all likely","Not at all likely","Not at all likely",0
"76-60-63-85",6,"Dwelling Damaged",4,"Very severe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Extremely likely",0
"56-53-87-19",1,"Chronicor Severe Illnessor Accident of a Household Member",2,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Not at all likely","Not very likely",0
"56-53-87-19",2,"Death of a Household Member",1,"Severe",1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely",0
"17-45-76-38",2,"Death of a Household Member",1,"Very severe",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not at all likely","Not at all likely","Not at all likely",0
"17-45-76-38",10,"Livestock Disease/Death",6,"Very severe",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not at all likely","Not at all likely","Not at all likely",0
"17-45-76-38",15,"Large Rise in Prices of Food",10,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not at all likely","Not at all likely","Not at all likely",0
"66-81-51-91",15,"Large Rise in Prices of Food",3,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely",0
"66-81-51-91",21,"Fallen Sick of COVID-19",1,"Very severe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely",0
"02-25-80-90",6,"Dwelling Damaged",1,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Extremely likely","Very  likely","Not very likely",0
"02-25-80-90",8,"Floods",1,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Very  likely","Very  likely","Very  likely",0
"02-25-80-90",12,"Household Business Failure(Non-Agricultural)",1,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Closed the business","Not very likely","Not very likely","Not very likely",0
"02-25-80-90",15,"Large Rise in Prices of Food",3,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Looked for a Job","Very  likely","Very  likely","Very  likely",0
"46-89-61-94",1,"Chronicor Severe Illnessor Accident of a Household Member",1,"Severe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Not very likely","Very  likely",1
"46-89-61-94",5,"Robbery/Burglary",1,"Severe",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"","Very  likely","Not very likely","Very  likely",0
"46-89-61-94",12,"Household Business Failure(Non-Agricultural)",1,"Severe",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Very  likely",0
"46-89-61-94",15,"Large Rise in Prices of Food",1,"Severe",1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"","Not very likely","Not very likely","Not very likely",0
"46-89-61-94",21,"Fallen Sick of COVID-19",1,"Severe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Not very likely",1
"36-57-98-87",12,"Household Business Failure(Non-Agricultural)",12,"Severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Not very likely","Not very likely",0
"36-57-98-87",15,"Large Rise in Prices of Food",2,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not very likely","Not very likely","Not very likely",0
"36-57-98-87",16,"Large Rise in Prices of Agricultural Inputs(E.g.Agrochemicals,Machinery,HiredLabour)",2,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"93-61-95-87",15,"Large Rise in Prices of Food",12,"Very severe",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely",0
"72-10-49-63",13,"Loss of Employment",1,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not at all likely","Not at all likely","Extremely likely",1
"72-10-49-63",15,"Large Rise in Prices of Food",3,"Very severe",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"","Not at all likely","Not at all likely","Extremely likely",1
"65-98-70-74",13,"Loss of Employment",1,"Severe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Had to downsize on household expenses","Not at all likely","Not at all likely","Not very likely",0
"65-98-70-74",15,"Large Rise in Prices of Food",3,"Severe",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"","Not at all likely","Not at all likely","Not at all likely",0
"71-09-05-63",13,"Loss of Employment",1,"Very severe",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"","Very  likely","Extremely likely","Very  likely",0
"81-05-32-56",1,"Chronicor Severe Illnessor Accident of a Household Member",1,"Mild",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Not very likely",0
"81-05-32-56",6,"Dwelling Damaged",3,"Mild",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"In the process of finding money to resolve the issues","Not very likely","Not very likely","Not very likely",0
"81-05-32-56",8,"Floods",2,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not very likely","Not very likely","Not very likely",0
"81-05-32-56",9,"Crop Failure",1,"Mild",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Not at all likely","Not at all likely",0
"81-05-32-56",15,"Large Rise in Prices of Food",3,"Severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"81-05-32-56",19,"Ethnic or Clan Clashes",1,"Severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"30-09-94-93",1,"Chronicor Severe Illnessor Accident of a Household Member",12,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely",0
"30-09-94-93",5,"Robbery/Burglary",1,"Very severe",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely",0
"30-09-94-93",12,"Household Business Failure(Non-Agricultural)",3,"Mild",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely",0
"30-09-94-93",15,"Large Rise in Prices of Food",2,"Very severe",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely",0
"85-23-91-16",9,"Crop Failure",1,"Severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not very likely","Not very likely","Not very likely",0
"85-23-91-16",15,"Large Rise in Prices of Food",4,"Severe",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"85-23-91-16",17,"Loss of Land",1,"Severe",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"43-14-97-16",15,"Large Rise in Prices of Food",2,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not at all likely","Not at all likely","Not at all likely",0
"43-14-97-16",19,"Ethnic or Clan Clashes",3,"Mild",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely",0
"49-90-63-33",13,"Loss of Employment",1,"Severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"49-90-63-33",15,"Large Rise in Prices of Food",3,"Severe",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"","Not very likely","Not at all likely","Not very likely",0
"68-84-82-12",8,"Floods",1,"Very severe",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"","Very  likely","Not very likely","Not very likely",0
"68-84-82-12",9,"Crop Failure",1,"Severe",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"68-84-82-12",15,"Large Rise in Prices of Food",3,"Severe",1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"42-95-35-09",9,"Crop Failure",1,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not at all likely","Very  likely","Not very likely",1
"42-95-35-09",15,"Large Rise in Prices of Food",2,"Very severe",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not very likely",1
"54-69-26-46",13,"Loss of Employment",1,"Very severe",1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,"","Extremely likely","Very  likely","Extremely likely",1
"54-69-26-46",15,"Large Rise in Prices of Food",2,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely",0
"92-23-96-13",9,"Crop Failure",1,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not very likely","Not very likely","Not very likely",0
"92-23-96-13",11,"Livestock Theft(IncludingRaids)",1,"Severe",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Not very likely","Not very likely","Not very likely",0
"22-90-51-93",15,"Large Rise in Prices of Food",4,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely",1
"15-81-26-28",15,"Large Rise in Prices of Food",2,"Mild",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"20-52-90-88",2,"Death of a Household Member",1,"Very severe",0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,"","Not very likely","Not very likely","Not very likely",0
