interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"30-84-56-78","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Indifferent (neither nor)","trust","indifferent","indifferent","distrust","distrust","Extremely worried","Extremely worried","Very worried","Not at all worried","Extremely worried","Very worried","Slightly worried","Extremely worried","Slightly worried","Extremely worried"
"25-36-49-99","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Disagree","distrust","trust","distrust","distrust","distrust","Not at all worried","Worried","Worried","Slightly worried","Worried","Not at all worried","Worried","Extremely worried","Worried","Worried"
"95-91-52-45","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Indifferent (neither nor)","Strongly disagree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Disagree","Disagree","strongly trust","trust","indifferent","indifferent","strongly trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Worried","Very worried","Very worried","Very worried","Worried"
"25-55-41-68","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Slightly worried","Not at all worried","Not at all worried","Not at all worried","Worried","Slightly worried","Worried","Slightly worried","Slightly worried","Not at all worried"
"16-89-26-77","Strongly agree","Strongly agree","Agree","Indifferent (neither nor)","Strongly disagree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","strongly trust","indifferent","indifferent","indifferent","Slightly worried","Worried","Extremely worried","Extremely worried","Worried","Extremely worried","Not at all worried","Not at all worried","Slightly worried","Not at all worried"
"32-98-78-03","Indifferent (neither nor)","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Strongly disagree","Strongly disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","indifferent","strongly trust","distrust","trust","trust","Extremely worried","Not at all worried","Worried","Not at all worried","Worried","Extremely worried","Extremely worried","Not at all worried","Not at all worried","Extremely worried"
"76-60-63-85","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","strongly distrust","strongly distrust","strongly distrust","strongly distrust","distrust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Slightly worried","Extremely worried","Extremely worried","Slightly worried","Extremely worried"
"56-53-87-19","Agree","Strongly agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","trust","trust","trust","indifferent","indifferent","Very worried","Extremely worried","Very worried","Very worried","Extremely worried","Worried","Extremely worried","Very worried","Worried","Slightly worried"
"17-45-76-38","Agree","Strongly agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","Strongly disagree","Strongly disagree","Indifferent (neither nor)","Strongly agree","Agree","Agree","Disagree","Strongly disagree","Strongly disagree","indifferent","indifferent","indifferent","strongly distrust","strongly distrust","Extremely worried","Very worried","Extremely worried","Worried","Very worried","Slightly worried","Extremely worried","Not at all worried","Not at all worried","Very worried"
"25-00-79-64","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Very worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
