interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"30-84-56-78",3.68,33.78999999999999,1.479889502762431,4.948055555555555,.2,.53,15.33599999999999,3.212314049586777,37.748,5.971184573002755,1.348925619834711,14.83066666666667,1.819612188365651,2.739168975069252,3.89,131.5238171308438,"00.04:11:34",251.5666666666667,"2023-05-16","05:34:09"
"25-36-49-99",4.531999999999998,24.18,1.479889502762431,4.948055555555555,.37,.21,15.33599999999999,3.212314049586777,25.04304709141274,9.029999999999999,1.348925619834711,14.83066666666667,2.24,2.739168975069252,8.15,117.6500674608881,"00.03:04:58",184.9666666666667,"2023-05-16","06:17:41"
"95-91-52-45",3.33,18.27792817679558,1.63,3.9,1.267822580645161,.36,7.72,6.237999999999996,30.44,4.71,1.3,10.52,1.01,2.739168975069252,3.44,96.88291973250999,"00.01:59:53",119.8833333333333,"2023-05-16","08:53:28"
"25-55-41-68",2.519335180055402,33.78999999999999,1.479889502762431,5.95,.42,.18,7.72,4.86,35.11,5.971184573002755,.44,11.79,1.93,2.51,4.29,118.9604092558206,"00.02:33:32",153.5333333333333,"2023-05-16","07:11:32"
"16-89-26-77",3.36,8.44,2.21,8.036,.22,.19,6.67,6.237999999999996,30.95,8.98,1.09,14.48,1.819612188365651,4.8,2.89,100.3736121883656,"00.02:03:30",123.5,"2023-05-16","06:55:08"
"32-98-78-03",2.519335180055402,15.94,2.84,2.75,.17,.17,6.41,3.212314049586777,25.84,7.48,.67,27.17,3.04,5.361999999999998,2.9,106.4736492296422,"00.02:39:28",159.4666666666667,"2023-05-16","05:35:49"
"76-60-63-85",2.519335180055402,25.95,1.72,8.036,.21,2.039313186813187,8.039999999999999,4.77,27.62,5.971184573002755,1,11.96,1.71,4.01,5.28,110.8358329398713,"00.02:17:34",137.5666666666667,"2023-05-16","06:13:38"
"56-53-87-19",4.531999999999998,10.71,2.59,4.948055555555555,.66,.41,13.66,3.212314049586777,25.04304709141274,5.971184573002755,1.348925619834711,25.82,1.819612188365651,2.739168975069252,4.27,107.7343080528274,"00.03:32:14",212.2333333333333,"2023-05-16","06:25:30"
"17-45-76-38",1.61,18.4,2.18,6.73,.37,8.279999999999999,12.93,3.212314049586777,22.03,5.971184573002755,.59,11.81,2.15,.982,2.93,100.1754986225895,"00.01:48:54",108.9,"2023-05-16","12:31:21"
"25-00-79-64",4.531999999999998,18.27792817679558,1.46,4.61,.36,.17,6.37,1.35,27.9,8.6,1.81,12.29,1.22,2.739168975069252,5.91,97.59909715186483,"00.02:17:37",137.6166666666667,"2023-05-16","06:16:22"
"49-47-26-23",1.49,14.84,2.15,6.42,.21,.16,6.62,1.94,21.53,6.7,.55,8.77,1.66,2.52,2.45,78.01000000000001,"00.01:22:14",82.23333333333333,"2023-05-16","09:27:22"
"66-81-51-91",4.531999999999998,18.27792817679558,2.955999999999999,5.91,.46,2.039313186813187,15.33599999999999,3.212314049586777,25.04304709141274,8.68,2.21,11.34,1.819612188365651,1.9,12.95,116.6662146929739,"00.04:16:13",256.2166666666666,"2023-05-16","06:27:04"
"02-25-80-90",4.41,18.27792817679558,2.09,4.948055555555555,.65,.21,9.141722222222223,3.212314049586777,25.04304709141274,5.971184573002755,1.348925619834711,15.59,1.819612188365651,2.739168975069252,4.04,99.49195845184525,"00.05:23:17",323.2833333333334,"2023-05-17","07:27:36"
"41-03-53-12",2.519335180055402,21.42,2.46,2.734,.85,.97,7.76,1.71,25.04304709141274,6.1,2.17,27.882,1.819612188365651,2.739168975069252,2.208,108.385163434903,"00.02:59:14",179.2333333333333,"2023-05-17","08:44:18"
