interview__key,r_members__id,f_time__id,f_prim,f_prim_o,f_sec,f_seca
"30-84-56-78",1,"3:00 - 3:30am","Sleeping and resting","","No",
"30-84-56-78",1,"3:31 - 4:00am","Sleeping and resting","","No",
"30-84-56-78",1,"4:01 - 4:30am","Sleeping and resting","","No",
"30-84-56-78",1,"4:31 - 5:00am","Sleeping and resting","","No",
"30-84-56-78",1,"5:01 - 5:30am","Sleeping and resting","","No",
"30-84-56-78",1,"5:31 - 6:00am","Sleeping and resting","","No",
"30-84-56-78",1,"6:01 - 6:30am","Personal care","","Yes","Eating and drinking"
"30-84-56-78",1,"6:31 - 7:00am","Eating and drinking","","No",
"30-84-56-78",1,"7:01 - 7:30am","Travelling (not for work or school)","","No",
"30-84-56-78",1,"7:31 - 8:00am","Cooking","","No",
"30-84-56-78",1,"8:01 - 8:30am","Cooking","","No",
"30-84-56-78",1,"8:31 - 9:00am","Cooking","","No",
"30-84-56-78",1,"9:01 - 9:30am","Cooking","","No",
"30-84-56-78",1,"9:31 - 10:00am","Cooking","","No",
"30-84-56-78",1,"10:01 -10:30am","Commuting (to/from work or school)","","No",
"30-84-56-78",1,"10:31 - 11:00am","Commuting (to/from work or school)","","No",
"30-84-56-78",1,"11:01 - 11:30am","Work as employed","","No",
"30-84-56-78",1,"11:31 - 12:00pm","Domestic work (incl fetching wood and water)","","No",
"30-84-56-78",1,"12:01 - 12:30pm","Domestic work (incl fetching wood and water)","","No",
"30-84-56-78",1,"12:31 - 1:00pm","Cooking","","No",
"30-84-56-78",1,"1:01 - 1:30pm","Cooking","","No",
"30-84-56-78",1,"1:31 - 2:00pm","Cooking","","No",
"30-84-56-78",1,"2:01 - 2:30pm","Eating and drinking","","No",
"30-84-56-78",1,"2:31 - 3:00pm","Eating and drinking","","No",
"30-84-56-78",1,"3:00 - 3:30pm","Eating and drinking","","No",
"30-84-56-78",1,"3:31 - 4:00pm","Shopping/getting service (incl health services)","","No",
"30-84-56-78",1,"4:01 - 4:30pm","Shopping/getting service (incl health services)","","No",
"30-84-56-78",1,"4:31 - 5:00pm","Social activities and hobbies","","No",
"30-84-56-78",1,"5:01 - 5:30pm","Social activities and hobbies","","No",
"30-84-56-78",1,"5:31 - 6:00pm","Social activities and hobbies","","No",
"30-84-56-78",1,"6:01 - 6:30pm","Care for children","","No",
"30-84-56-78",1,"6:31 - 7:00pm","Care for children","","No",
"30-84-56-78",1,"7:01 - 7:30pm","Care for children","","No",
"30-84-56-78",1,"7:31 - 8:00pm","Care for children","","No",
"30-84-56-78",1,"8:01 - 8:30pm","Personal care","","No",
"30-84-56-78",1,"8:31 - 9:00pm","Sleeping and resting","","No",
"30-84-56-78",1,"9:01 - 9:30pm","Sleeping and resting","","No",
"30-84-56-78",1,"9:31 - 10:00pm","Sleeping and resting","","No",
"30-84-56-78",1,"10:01 - 10:30pm","Sleeping and resting","","No",
"30-84-56-78",1,"10:31 - 11:00pm","Sleeping and resting","","No",
"30-84-56-78",1,"11:01 - 11:30pm","Sleeping and resting","","No",
"30-84-56-78",1,"11:31 - 12:00am","Sleeping and resting","","No",
"30-84-56-78",1,"12:01 - 12:30pm","Sleeping and resting","","No",
"30-84-56-78",1,"12:31 - 1:00am","Sleeping and resting","","No",
"30-84-56-78",1,"1:01 - 1:30am","Sleeping and resting","","No",
"30-84-56-78",1,"1:31 - 2:00am","Sleeping and resting","","No",
