interview__key,r_members__id,r_child__id,ed03asp,asocp01,youth_child_tofarm
"31-67-19-52",1,5,"Post graduate university level","Teacher","Likely"
"31-67-19-52",1,6,"Post graduate university level","Teacher","Likely"
"31-67-19-52",2,5,"Post graduate university level","Teacher","Likely"
"31-67-19-52",2,6,"Post graduate university level","Teacher","Likely"
"38-04-18-34",1,4,"Primary 3","Doctor","Unlikely"
"38-04-18-34",1,6,"Primary 3","Nursing","Unlikely"
"38-04-18-34",2,4,"Primary 3","Teacher","Unlikely"
"38-04-18-34",2,6,"Primary 3","Nursing","Unlikely"
"34-73-96-50",1,5,"University level","Doctor","Unlikely"
"34-73-96-50",1,6,"University level","Teacher","Unlikely"
"34-73-96-50",1,7,"University level","Nursing","Unlikely"
"34-73-96-50",2,5,"Post graduate university level","Doctor","Unlikely"
"34-73-96-50",2,6,"Post graduate university level","Doctor","Unlikely"
"34-73-96-50",2,7,"University level","Teacher","Unlikely"
"93-29-80-09",1,3,"University level","Teacher","Likely"
"93-29-80-09",1,4,"University level","Doctor","Likely"
"93-29-80-09",1,5,"University level","Military-kenya defence force","Maybe, maybe not"
"93-29-80-09",1,6,"University level","Teacher","Very likely"
"93-29-80-09",2,3,"Post graduate university level","Doctor","Likely"
"93-29-80-09",2,4,"University level","Teacher","Likely"
"93-29-80-09",2,5,"University level","Teacher","Likely"
"93-29-80-09",2,6,"University level","Teacher","Likely"
"63-89-80-49",1,5,"University level","Teacher","Maybe, maybe not"
"63-89-80-49",1,6,"University level","Teacher","Likely"
"63-89-80-49",2,5,"University level","Teacher","Likely"
"63-89-80-49",2,6,"University level","Teacher","Likely"
"97-84-26-58",1,3,"Nursey/ Kindergarten/ECD","Engineering","Likely"
"97-84-26-58",1,4,"Nursey/ Kindergarten/ECD","Agriculture","Likely"
"97-84-26-58",1,5,"No formal education","Education","Likely"
"97-84-26-58",2,3,"Nursey/ Kindergarten/ECD","Teacher","Likely"
"97-84-26-58",2,4,"Nursey/ Kindergarten/ECD","Teacher","Likely"
"97-84-26-58",2,5,"No formal education","Teacher","Likely"
"01-78-65-09",1,3,"University level","Doctor","Very likely"
