interview__key,r_crop__id,crop_area,cp06,crop_harvest,crop_output,crop_unit,crop_unit_1,crop_sale,crop_saleamt,crop_slunits,crop_slunits_1,crop_price,crop_buyer__1,crop_buyer__2,crop_buyer__3,crop_buyer__4,crop_buyer__5,crop_buyer__6,crop_buyer__96,crop_buyer_oth,crop_buyer_where,crop_homecons,crop_clunits,crop_cunits_1,crop_inkind_pay,payment_unit,payment_unit_oth,crop_gifts,gift_unit,gift_unit_oth,cp_stor,crop_oth_uses,cpunits2_oth,ouses_unit,ouses_unit_oth,cpamt,cpunits2,crop_ouse_oth,crp_irrig,irrig,irrig_others,irrig_method__1,irrig_method__2,irrig_method__3,irrig_method__4,irrig_method__5,irrig_method__96,irrig_method__n888,irrig_method__n999,seed,var_trait_1__1,var_trait_1__2,var_trait_1__3,var_trait_1__4,var_trait_1__5,var_trait_1__6,var_trait_1__7,var_trait_1__8,var_trait_1__9,var_trait_1__10,var_trait_1__11,var_trait_1__12,var_trait_1__13,var_trait_1__14,var_trait_1__15,var_trait_1__16,var_trait_1__17,var_trait_1__18,var_trait_1__19,var_trait_1__20,var_trait_1__96,var_trait_1_other,reason_imp_seed__1,reason_imp_seed__2,reason_imp_seed__3,reason_imp_seed__4,reason_imp_seed__5,reason_imp_seed__6,reason_imp_seed__7,reason_imp_seed__96,reason_imp_seed_oth,seed_source_1,seed_source_oth_1,seed_amt_1,seed_amtunits,seed_amtunits_oth,seed_price_1,cp07,cp08,reason_fert__1,reason_fert__2,reason_fert__3,reason_fert__4,reason_fert__5,reason_fert__6,reason_fert__7,reason_fert__96,reason_fert_oth,cp09,cp11
"85-11-91-18","BEANS/COWPEA","0.5","Yes","No",,,"",,,,"",,,,,,,,,,,,,"",,,"",,,"","No",,"",,"",,,"","Yes","Dam","","No","No","No","No","No","Yes","No","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No",,"Yes",,"No","No","No","No","No","No",,,,"Yes",,,,"Yes","No","Yes","No","No","No","No","No","No","No",,"No","No"
"85-11-91-18","MAIZE","1","Yes","No",,,"",,,,"",,,,,,,,,,,,,"",,,"",,,"","No",,"",,"",,,"","Yes","Dam","","No","No","No","No","No","Yes","No","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No",,"Yes","No","No","No","No","No","No","No",,,,,,,,"Yes","No","Yes",,"No","No","No","No","No","No",,"No","No"
"38-04-18-34","MAIZE","1","No","No",,,"",,,,"",,,,,,,,,,,,,"",,,"",,,"","No",,"",,"",,,"","No",,"",,,,,,,,,,"No","No","Yes","No","No","No",,,"No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"No","No",,"Yes","No","No","No","No","No","No",,"No","No"
"34-73-96-50","BEANS/COWPEA","1","Yes","Yes",10,"Kilograms","","No",,,"",,,,,,,,,,,10,"Kilograms","","0",,"",0,,"","No","0","",,"",,,"","No",,"",,,,,,,,,,"No","No",,"No","No",,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",,"Yes","No","No","No","No","No","No","No",,,,,,,,"No","No","Yes",,"No","No","No","No","No","No",,"No","No"
"34-73-96-50","MAIZE","1","Yes","No",,,"",,,,"",,,,,,,,,,,,,"",,,"",,,"","No",,"",,"",,,"","No",,"",,,,,,,,,,"No","No","Yes","No","No",,"No",,"No","No","No","No","No","No","No","No","No","No","No","No","No",,,"Yes","No","No","No","No","No","No",,,,,,,,"No","No",,"Yes","No","No","No","No","No","No",,"No","No"
"44-14-26-56","BEANS/COWPEA","0.5","Yes","Yes",3,"Gorogoro","","No",,,"",,,,,,,,,,,3,"Gorogoro","","0",,"",1,"Kilograms","","No","1","","Kilograms","",,,"seeds","No",,"",,,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,"No","No",,"Yes",,"No","No","No","No","No","No",,,,,,,,"Yes","No","Yes",,"No","No","No","No","No","No",,"No","No"
"44-14-26-56","MAIZE","3","Yes","No",,,"",,,,"",,,,,,,,,,,,,"",,,"",,,"","No",,"",,"",,,"","No",,"",,,,,,,,,,"Yes","No",,"No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"No","No","Yes",,"No","No","No","No","No","No",,"No","Yes"
"44-14-26-56","MELON/EGUSI","1","Yes","No",,,"",,,,"",,,,,,,,,,,,,"",,,"",,,"","No",,"",,"",,,"","No",,"",,,,,,,,,,"No","No","Yes","No",,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,"Yes","No","No","No","No","No","No",,,,,,,,"Yes","No","Yes",,"No","No","No","No","No","No",,"No","No"
"46-96-59-64","MAIZE","1","No","No",,,"",,,,"",,,,,,,,,,,,,"",,,"",,,"","No",,"",,"",,,"","No",,"",,,,,,,,,,"No","No",,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"No","No",,"Yes","No","No","No","No","No","No",,"No","No"
"01-51-99-07","MAIZE","1","No","Yes",24,"90 kg bag","","No",,,"",,,,,,,,,,,4,"90 kg bag","","20","90 kg bag","",0,,"","No","0","",,"",,,"","Yes","River/ stream","","No","No","No","No","Yes","No","No","No",,"No","No","No","No","Yes","No","No","No","No","No",,"No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"No","Yes",,,,,,,,,,"Yes","Yes"
"01-51-99-07","PAWPAW","0.5","No","No",,,"",,,,"",,,,,,,,,,,,,"",,,"",,,"","No",,"",,"",,,"","Yes","River/ stream","","No","No","No","No","Yes","No","No","No",,"Yes","No","No","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","No","Yes",,"No","No"
"11-52-82-38","OTHER SPECIFY","1","No","Yes",8,"90 kg bag","","No",,,"",,,,,,,,,,,0,,"","0",,"",0,,"","No","0","",,"",,,"","Yes","River/ stream","","No","No","No","No","Yes","No","No","No",,"No","No","No",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","No","Yes",,"Yes","Yes"
"11-52-82-38","MAIZE","2","No","No",,,"",,,,"",,,,,,,,,,,,,"",,,"",,,"","No",,"",,"",,,"","Yes","River/ stream","","No","No","No","No","Yes","No","No","No",,"No","No",,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"No","Yes",,,,,,,,,,"Yes","Yes"
"11-52-82-38","MANGO","0.25","No","No",,,"",,,,"",,,,,,,,,,,,,"",,,"",,,"","No",,"",,"",,,"","Yes","River/ stream","","No","No","No","No","Yes","No","No","No",,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,"No","Yes",,"No","No","No","No","No",,,,,,,,"Yes","No","No","No","No","No","No","No","Yes","No",,"Yes","No"
"19-06-13-08","MAIZE","1.5","No","No",,,"",,,,"",,,,,,,,,,,,,"",,,"",,,"","No",,"",,"",,,"","Yes","River/ stream","","No","No","No","No","Yes","No","No","No",,"No","No","No","No","Yes","No","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","No","Yes",,"Yes","Yes"
"74-04-26-51","MAIZE","1","No","No",,,"",,,,"",,,,,,,,,,,,,"",,,"",,,"","No",,"",,"",,,"","Yes","River/ stream","","No","No","No","No","Yes","No","No","No",,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"Yes","Yes",,,,,,,,,,"Yes","Yes"
"37-83-74-10","BEANS/COWPEA","0.25","No","No",,,"",,,,"",,,,,,,,,,,,,"",,,"",,,"","No",,"",,"",,,"","Yes","River/ stream","","No","No","No","No","Yes","No","No","No",,"No","No","No","No","No","No","Yes","No","No","No",,"No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"No","No","Yes",,"No","No","No","No","No","No",,"Yes","Yes"
"37-83-74-10","MAIZE","0.5","No","No",,,"",,,,"",,,,,,,,,,,,,"",,,"",,,"","No",,"",,"",,,"","Yes","River/ stream","","No","No","No","No","Yes","No","No","No",,"No","No","Yes","No",,"No","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","No","Yes",,"Yes","Yes"
"37-83-74-10","OTHER(SPECIFY)","0.25","No","Yes",50,"Kilograms","","Yes",30,"Kilograms","",130,"No","Yes","No","No","No","No","No",,,20,"Kilograms","","0",,"",0,,"","No","0","",,"",,,"","Yes","River/ stream","","No","No","No","No","Yes","No","No","No",,"No","No",,"No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","Yes","No",,"No","Yes"
"86-00-55-84","MAIZE","1","No","No",,,"",,,,"",,,,,,,,,,,,,"",,,"",,,"","No",,"",,"",,,"","Yes","River/ stream","","No","No","No","No","Yes","No","No","No",,"Yes","No",,"No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","No","Yes",,"Yes","Yes"
"17-23-66-97","GREEN VEGETABLE","0.5","No","Yes",50,"50 kg bag","","Yes",49,"50 kg bag","",57600,"No","Yes","No","No","No","No","No",,,1,"50 kg bag","","0",,"",0,,"","No","0","",,"",,,"","Yes","River/ stream","","No","No","No","No","No","Yes","No","No",,"No","No","No","No","Yes",,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"Yes","Yes",,,,,,,,,,"Yes","Yes"
"71-45-81-79","MAIZE","2","No","No",,,"",,,,"",,,,,,,,,,,,,"",,,"",,,"","No",,"",,"",,,"","No",,"",,,,,,,,,,"No","No","Yes","No","No","No","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"No","No",,"Yes","No","No","No","No","No","No",,"No","No"
"70-80-16-39","BEANS/COWPEA","0.5","No","Yes",225,"Kilograms","","Yes",0,,"",,,,,,,,,,,45,"Kilograms","","180","Kilograms","",0,,"","No","0","",,"",,,"","Yes","River/ stream","","No","No","No","No","Yes","No","No","No",,"No","No","Yes","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No",,"Yes","Yes"
"70-80-16-39","MAIZE","1","No","Yes",36,"90 kg bag","","Yes",33,"90 kg bag","",7200,"No","No","Yes","No","No","No","No",,,3,"90 kg bag","","0",,"",0,,"","No","0","",,"",,,"","Yes","River/ stream","","No","No","No","No","Yes","No","No","No",,"No","No","No","No","Yes",,"No","No","No","No","No","No","No","No","No","No","No",,"No","No","No",,,,,,,,,,,,,,,,,"Yes","Yes",,,,,,,,,,"Yes","Yes"
