interview__key,r_members__id,food_special,food_groups__1,food_groups__2,food_groups__3,food_groups__4,food_groups__5,food_groups__6,food_groups__7,food_groups__8,food_groups__9,food_groups__10,food_groups__11,food_groups__12,food_groups__13,food_groups__14,food_groups__15,food_groups__16
"31-67-19-52",1,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
"31-67-19-52",2,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
"85-11-91-18",1,"Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes"
"85-11-91-18",2,"Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No"
"38-04-18-34",1,"No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No"
"38-04-18-34",2,"No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No"
"34-73-96-50",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No"
"34-73-96-50",2,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No"
"93-29-80-09",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"93-29-80-09",2,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"63-89-80-49",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"63-89-80-49",2,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
"97-84-26-58",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
"97-84-26-58",2,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
"44-14-26-56",1,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
"44-14-26-56",2,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
"01-78-65-09",1,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"77-02-48-37",1,"No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No"
"77-02-48-37",2,"No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No"
"46-96-59-64",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"01-51-99-07",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No"
"39-75-97-43",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"11-52-82-38",2,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes"
"11-52-82-38",8,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes"
"19-06-13-08",1,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"74-04-26-51",1,"Yes","Yes","No","Yes","No","Yes","No","No","No","No","Yes","No","No","Yes","Yes","Yes","No"
"37-83-74-10",1,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes"
"37-83-74-10",2,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes"
"39-40-38-02",1,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"39-40-38-02",2,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"14-71-87-39",2,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes"
"86-00-55-84",2,"No","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","Yes","Yes","No","Yes"
"76-73-19-09",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes"
"76-73-19-09",2,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes"
"17-23-66-97",1,"No","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes"
"17-23-66-97",5,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"71-45-81-79",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"53-00-83-03",1,"Yes","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","Yes"
"70-80-16-39",2,"No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"70-80-16-39",4,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"11-00-74-85",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"11-00-74-85",2,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes"
"16-44-32-23",1,"Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","Yes"
"16-44-32-23",2,"Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","Yes"
"49-09-04-04",2,"No","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No"
"33-01-13-01",1,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes"
"33-01-13-01",2,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes"
"79-39-40-36",1,"Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","Yes"
"65-53-51-27",1,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"64-11-62-56",1,"No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","No","Yes","Yes"
"64-11-62-56",3,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes"
"79-53-04-50",2,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes"
"14-13-86-20",2,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"19-99-67-92",1,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"65-80-65-49",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes"
"08-76-57-31",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"08-76-57-31",2,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"02-57-88-54",1,"No","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","Yes"
"02-57-88-54",2,"No","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No"
"36-87-83-91",1,"No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No"
"36-87-83-91",2,"No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No"
"99-46-97-26",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No"
"76-21-46-00",1,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No"
"76-21-46-00",2,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No"
"63-02-11-31",1,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No"
"63-02-11-31",2,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No"
"45-95-07-81",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"45-95-07-81",2,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"15-84-79-29",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"52-10-39-37",2,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"52-10-39-37",3,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"57-47-06-86",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"57-47-06-86",3,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes"
"70-03-65-67",5,"No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No"
"70-03-65-67",6,"No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No"
"48-58-26-00",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No"
"48-58-26-00",2,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"48-53-15-07",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes"
"48-53-15-07",2,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"44-97-24-07",1,"No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes"
"44-97-24-07",2,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes"
"63-58-57-56",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"50-43-62-27",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes"
"80-45-95-05",2,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes"
"63-29-07-40",1,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No"
"63-29-07-40",2,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
"54-48-29-18",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"54-48-29-18",2,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"50-16-00-20",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No"
"50-16-00-20",2,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No"
"45-36-57-50",2,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"49-75-44-53",2,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"35-67-10-08",1,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
"35-67-10-08",2,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
"12-79-91-83",1,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"19-90-00-01",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"19-90-00-01",2,"No","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No"
"29-86-40-08",1,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"29-86-40-08",2,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"10-69-61-22",1,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
"10-69-61-22",2,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
"73-57-30-20",2,"No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
"98-91-04-48",1,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes"
"98-91-04-48",2,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No"
"74-01-41-82",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
"74-01-41-82",2,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"30-00-59-90",2,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes"
"30-00-59-90",9,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes"
"66-77-39-39",2,"No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","Yes","Yes","Yes","No"
"35-78-11-70",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"75-25-98-04",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes"
"09-00-12-98",2,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes"
"13-38-59-03",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes"
"26-77-14-31",1,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
"04-52-21-75",1,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes"
