interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"31-67-19-52","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","competition for firewood"
"31-67-19-52","Wood for charcoal production",20,"Gorogoro","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","tree depletion"
"31-67-19-52","Honey",5,"Tins (eg milk tins)","","Yes",2,"Liters","","No",700,"No",,"Slight increase","Slight increase","people has realized there is economic importance in honey production",""
"85-11-91-18","Firewood",24,"Bunches","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Deforestation"
"85-11-91-18","Medicinal plants",12,"Liters","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Deforestation"
"38-04-18-34","Firewood",1,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"38-04-18-34","Wild fruits",1,"Debe","","No",,,"",,,"No",,"The same","The same","",""
"34-73-96-50","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","large population results to decrease of availability of trees"
"34-73-96-50","Honey",4,"Liters","","Yes",4,"Liters","","No",300,"No",,"Slight decrease","Slight decrease","","large population results to decrease in honey"
"93-29-80-09","Firewood",4,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","indiscriminate clearance"
"63-89-80-49","Firewood",3,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","charcoal production has reduced tree species that could be used as forewood"
"63-89-80-49","Wood for charcoal production",5,"90 kg bag","","Yes",4,"90 kg bag","","No",500,"No",,"Massive decrease","Massive decrease","","forest has intensively degraded"
"97-84-26-58","Firewood",262,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"44-14-26-56","Firewood",300,"Bunches","","Yes",10,"Bunches","","No",50,"No",,"The same","Slight decrease","",""
