interview__key,lvexp01_11,lvexp02_12,lvexp03_13,lvexp04_14,lvexp05_15,lvexp06_16
"31-67-19-52",0,0,0,0,0,"2000"
"85-11-91-18",0,0,1000,500,0,"0"
"38-04-18-34",,,,,,""
"34-73-96-50",0,0,8000,0,0,"2000"
"93-29-80-09",0,0,450,0,0,"600"
"63-89-80-49",,,,,,""
"97-84-26-58",0,0,38000,0,0,"0"
"44-14-26-56",0,0,9600,0,0,"0"
"01-78-65-09",0,0,1500,0,0,"0"
"77-02-48-37",0,0,1200,0,0,"1000"
"46-96-59-64",0,0,0,0,0,"0"
"01-51-99-07",0,0,0,2000,0,"1000"
"39-75-97-43",0,0,0,0,0,"0"
"11-52-82-38",0,0,3600,0,0,"400"
"19-06-13-08",0,0,0,0,0,"0"
"74-04-26-51",,,,,,""
"37-83-74-10",0,0,2400,0,0,"0"
"39-40-38-02",0,0,2000,0,0,"0"
"14-71-87-39",,,,,,""
"86-00-55-84",0,0,0,300,0,"0"
"76-73-19-09",,,,,,""
"17-23-66-97",600,0,3300,0,0,"180"
"71-45-81-79",,,,,,""
"53-00-83-03",0,0,0,0,0,"0"
"70-80-16-39",4500,0,6600,3000,36000,"0"
"11-00-74-85",0,0,3000,0,0,"200"
"16-44-32-23",2000,0,5000,0,2000,"0"
"49-09-04-04",0,0,1500,0,0,"0"
"33-01-13-01",0,0,5000,0,0,"0"
"79-39-40-36",,,,,,""
"65-53-51-27",0,0,2000,0,36000,"0"
"64-11-62-56",6000,1000,2000,500,2000,"2000"
"79-53-04-50",,,,,,""
"14-13-86-20",0,0,500,0,0,"0"
"19-99-67-92",16800,0,3000,3200,0,"0"
"65-80-65-49",0,0,600,0,0,"0"
"08-76-57-31",0,0,800,0,0,"0"
"02-57-88-54",0,0,1200,1000,0,"400"
"36-87-83-91",0,0,5000,0,0,"0"
"99-46-97-26",0,0,3000,0,0,"200"
"76-21-46-00",6000,0,1600,0,0,"2000"
"63-02-11-31",,,,,,""
"45-95-07-81",0,0,15000,0,0,"0"
"15-84-79-29",0,0,7000,0,0,"500"
"52-10-39-37",0,0,0,0,0,"0"
"57-47-06-86",,,,,,""
"70-03-65-67",0,0,12000,0,0,"3000"
"48-58-26-00",0,0,10000,0,0,"0"
"48-53-15-07",0,0,10000,0,0,"0"
"44-97-24-07",0,0,2000,0,0,"0"
"63-58-57-56",0,0,15000,0,0,"0"
"50-43-62-27",,,,,,""
"80-45-95-05",0,0,1200,0,0,"0"
"63-29-07-40",0,0,0,0,0,"300"
"54-48-29-18",0,0,2000,0,0,"0"
"50-16-00-20",8000,0,1500,0,0,"500"
"45-36-57-50",0,0,5000,0,0,"0"
"49-75-44-53",0,0,0,0,0,"0"
"35-67-10-08",,,,,,""
"12-79-91-83",,,,,,""
"19-90-00-01",0,0,3000,0,0,"0"
"29-86-40-08",0,0,10000,0,2000,"1800"
"10-69-61-22",0,0,16800,0,0,"5400"
"73-57-30-20",0,0,0,0,0,"0"
"98-91-04-48",0,0,2000,0,6000,"0"
"74-01-41-82",0,0,6200,0,0,"0"
"30-00-59-90",0,0,33000,0,0,"2000"
"66-77-39-39",,,,,,""
"35-78-11-70",,,,,,""
"75-25-98-04",0,0,850,0,0,"0"
"09-00-12-98",0,0,3000,0,0,"0"
"13-38-59-03",,,,,,""
"26-77-14-31",,,,,,""
"04-52-21-75",0,0,2000,0,0,"500"
"49-10-89-14",0,0,2000,0,0,"1000"
"15-13-85-83",4000,0,6000,0,0,"0"
"81-99-34-25",0,0,2000,0,0,"0"
"96-35-08-20",0,0,1000,0,0,"0"
"78-02-12-77",0,0,10000,0,0,"0"
"66-37-18-93",0,0,2000,0,0,"1000"
"77-89-79-33",15000,0,5000,0,0,"1000"
"09-97-47-73",57600,0,8,0,0,"1000"
"62-45-31-86",0,0,10000,0,0,"0"
"96-13-78-99",0,0,5000,0,0,"0"
"25-35-15-07",0,0,6000,0,0,"2000"
"10-80-25-79",0,0,2000,0,0,"0"
"46-89-14-96",0,0,2000,0,0,"0"
"80-24-04-77",0,0,7000,0,0,"1500"
"26-82-89-21",0,0,6000,0,0,"0"
"22-43-50-27",0,0,6000,0,0,"0"
"41-41-55-55",0,0,5000,0,0,"0"
"26-69-32-41",0,0,9600,0,0,"3000"
"68-81-12-32",0,0,12000,0,0,"0"
"46-49-14-82",0,0,10000,0,0,"0"
"92-16-89-27",,,,,,""
"01-28-41-84",,,,,,""
"23-46-40-42",0,0,2000,0,0,"0"
"93-71-36-41",0,0,0,0,0,"100"
"07-56-93-09",0,0,4800,0,0,"0"
"40-07-12-46",0,0,1500,0,0,"200"
"68-88-48-96",0,0,1200,0,0,"0"
"86-70-18-69",0,0,1800,0,0,"1300"
"82-09-53-31",0,0,3000,1000,0,"1200"
"10-84-11-85",0,0,12000,0,4000,"5000"
"93-36-47-93",0,0,8000,0,2000,"1500"
"40-02-31-47",0,0,6000,17000,0,"0"
"35-25-14-79",0,0,1200,0,0,"800"
"96-32-88-00",1000,0,30000,0,0,"0"
"30-07-79-13",0,0,9000,0,0,"500"
"05-61-96-62",0,0,1000,0,0,"0"
"37-32-16-74",0,0,14000,0,0,"0"
"06-96-64-70",,,,,,""
"74-21-41-84",0,0,6000,0,0,"0"
"82-96-41-85",0,0,3000,1200,0,"200"
"58-44-33-27",0,0,5000,0,0,"0"
"88-25-56-87",,,,,,""
"86-98-25-96",0,0,600,0,0,"0"
"09-54-26-75",0,0,0,0,0,"400"
"41-61-78-73",0,0,9000,0,0,"1200"
"90-86-53-30",0,0,2000,0,0,"400"
"16-75-57-30",0,0,0,0,0,"1000"
"60-19-22-98",,,,,,""
"97-29-58-98",0,0,5000,0,0,"0"
"51-48-94-50",30000,0,5000,0,0,"3000"
"97-20-59-08",0,0,1000,0,0,"500"
"21-43-02-41",,,,,,""
"82-77-24-98",60480,0,50000,0,0,"3000"
"68-99-96-16",0,0,1000,0,0,"0"
"47-95-59-62",0,0,12000,0,0,"0"
"86-57-96-89",0,0,0,0,0,"1000"
"68-47-81-44",,,,,,""
"36-96-75-03",0,0,1000,0,0,"500"
"08-94-02-07",0,0,4000,0,0,"1000"
"37-79-35-25",0,0,2000,0,0,"800"
"71-65-92-38",0,0,2000,0,0,"0"
"64-78-16-16",0,0,8000,0,0,"0"
"21-44-80-94",0,0,2000,0,0,"0"
"09-64-46-58",4000,0,2000,0,0,"1000"
"59-85-28-37",0,0,8000,0,0,"1000"
"59-86-17-42",0,0,1600,0,0,"600"
"19-38-28-96",,,,,,""
"15-65-55-76",0,0,5000,0,0,"0"
"06-65-59-46",,,,,,""
"31-55-25-17",0,0,5000,0,0,"600"
"46-83-77-72",0,0,15000,0,0,"0"
"13-16-83-24",,,,,,""
"55-65-07-83",0,0,15000,0,0,"0"
"19-58-06-14",0,0,0,0,0,"2000"
"07-67-77-44",0,0,6000,0,0,"0"
"30-73-95-73",,,,,,""
"81-01-27-26",,,,,,""
"29-63-05-43",0,0,8000,0,0,"0"
"69-97-70-98",,,,,,""
"15-06-78-78",0,0,5000,0,0,"0"
"09-89-86-48",,,,,,""
"66-77-69-23",0,0,0,0,0,"0"
"34-54-53-25",0,0,5000,0,0,"500"
"54-15-04-81",128000,0,6000,0,48000,"0"
"30-29-61-21",0,0,4000,0,0,"0"
"32-65-13-57",0,0,6000,0,0,"0"
"64-69-72-73",,,,,,""
"25-20-08-58",0,0,20000,0,0,"0"
"12-04-44-96",0,0,4500,0,0,"0"
