interview__key,crp_ip1_exp,crp_ip3_exp,crp_ip5_exp,crp_ip6_exp,crp_ip7_exp,crp_ip8_exp,crp_ip9_exp,crp_ip10_exp
"31-67-19-52",,,,,,,,
"85-11-91-18",1000,0,0,0,6,0,0,0
"38-04-18-34",2000,0,0,0,0,0,0,0
"34-73-96-50",3000,0,0,0,3000,0,0,0
"93-29-80-09",,,,,,,,
"63-89-80-49",,,,,,,,
"97-84-26-58",,,,,,,,
"44-14-26-56",4500,0,0,4000,8000,0,0,0
"01-78-65-09",,,,,,,,
"77-02-48-37",,,,,,,,
"46-96-59-64",1500,0,0,0,0,0,0,0
"01-51-99-07",100,0,0,0,0,0,0,0
"39-75-97-43",,,,,,,,
"11-52-82-38",8960,3500,22220,12600,5400,75000,600,7300
"19-06-13-08",2000,0,0,5000,0,15000,0,0
"74-04-26-51",1056,7000,1600,5000,20000,10000,3800,0
"37-83-74-10",3040,0,0,7500,0,0,0,0
"39-40-38-02",,,,,,,,
"14-71-87-39",,,,,,,,
"86-00-55-84",960,0,1800,4000,800,0,500,0
"76-73-19-09",,,,,,,,
"17-23-66-97",800,3500,1200,4400,0,0,400,0
"71-45-81-79",3500,0,0,0,2000,0,0,0
"53-00-83-03",,,,,,,,
"70-80-16-39",3840,14000,3800,9000,50000,12000,2520,0
"11-00-74-85",800,7000,800,4800,0,0,400,1000
"16-44-32-23",9100,24000,3000,6000,8000,10000,8000,0
"49-09-04-04",,,,,,,,
"33-01-13-01",,,,,,,,
"79-39-40-36",,,,,,,,
"65-53-51-27",1075,11600,250,2250,6500,5000,150,0
"64-11-62-56",2170,28000,2000,4800,20000,0,10000,1000
"79-53-04-50",1650,0,1700,4000,4500,10000,0,0
"14-13-86-20",,,,,,,,
"19-99-67-92",1500,12000,1500,4500,5000,0,1000,0
"65-80-65-49",775,0,1800,1250,6000,0,0,0
"08-76-57-31",6050,0,2400,12000,8000,0,0,0
"02-57-88-54",,,,,,,,
"36-87-83-91",2400,0,0,0,0,0,0,0
"99-46-97-26",1000,7000,3000,6200,14600,0,1300,2000
"76-21-46-00",,,,,,,,
"63-02-11-31",,,,,,,,
"45-95-07-81",4800,0,0,0,3000,0,0,0
"15-84-79-29",2400,0,0,0,0,0,0,0
"52-10-39-37",,,,,,,,
"57-47-06-86",,,,,,,,
"70-03-65-67",12000,0,0,0,3000,0,0,0
"48-58-26-00",5000,0,0,0,0,0,0,0
"48-53-15-07",3000,0,0,0,13000,0,100,0
"44-97-24-07",1440,0,2500,3000,0,10000,600,0
"63-58-57-56",4800,0,0,0,10000,0,0,0
"50-43-62-27",,,,,,,,
"80-45-95-05",1000,0,0,0,3000,0,0,0
"63-29-07-40",,,,,,,,
"54-48-29-18",1200,0,0,0,0,0,500,0
"50-16-00-20",,,,,,,,
"45-36-57-50",1000,0,0,0,0,0,0,0
"49-75-44-53",,,,,,,,
"35-67-10-08",,,,,,,,
"12-79-91-83",,,,,,,,
"19-90-00-01",,,,,,,,
"29-86-40-08",1400,0,0,0,12000,0,500,1000
"10-69-61-22",8175,0,0,0,7000,0,0,0
"73-57-30-20",,,,,,,,
"98-91-04-48",4500,12000,2000,18000,1800,0,3000,0
"74-01-41-82",,,,,,,,
"30-00-59-90",,,,,,,,
"66-77-39-39",,,,,,,,
"35-78-11-70",,,,,,,,
