interview__key,s9_respondent,food_security__1,food_security__2,food_security__3,food_security__4,food_security__5,food_security__6,food_security__7,food_security__8,food_sufficent,food_sufficent2,food_sufficent3,food_sufficent4__1,food_sufficent4__2,food_sufficent4__3,food_sufficent4__4,food_sufficent4__5,food_sufficent4__6,food_sufficent4__7,food_sufficent4__8,food_sufficent4__9,food_sufficent4__10,food_sufficent4__11,food_sufficent4__12
"31-67-19-52",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,1,8,1,2,3,4,5,6,8,0,0,0,0,7
"85-11-91-18",2,"No","Yes","Yes","Yes","Yes","No","Yes","Yes",4,3,5,1,2,3,0,0,0,4,5,0,0,0,0
"38-04-18-34",2,"Yes","No","No","Yes","No","Yes","No","No",0,0,12,1,2,3,4,5,6,7,8,9,10,12,11
"34-73-96-50",1,"No","No","No","Yes","Yes","Yes","No","No",3,2,5,1,2,3,0,0,0,0,0,0,0,4,5
"93-29-80-09",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,0,9,0,4,5,6,7,8,9,0,0,2,3,1
"63-89-80-49",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,0,12,1,2,3,4,5,6,7,8,9,10,11,12
"97-84-26-58",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,0,12,1,2,3,4,5,6,7,8,9,10,11,12
"44-14-26-56",2,"Yes","Yes","Yes","Yes","Yes","No","No","Yes",5,4,3,0,0,0,1,2,3,0,0,0,0,0,0
"01-78-65-09",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,2,10,5,6,7,8,9,10,0,0,1,2,3,4
"77-02-48-37",2,"No","No","Yes","Yes","Yes","Yes","Yes","Yes",2,10,6,1,2,3,4,5,6,0,0,0,0,0,0
"46-96-59-64",1,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes",0,0,5,1,2,3,4,0,0,0,0,0,0,0,5
"01-51-99-07",1,"Yes","Yes","No","Yes","Yes","Yes","Yes","No",6,10,2,0,0,0,0,2,1,0,0,0,0,0,0
"39-75-97-43",4,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,6,6,6,5,4,3,0,2,1,0,0,0,0,0
"11-52-82-38",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1,6,6,1,2,3,4,5,6,0,0,0,0,0,0
"19-06-13-08",1,"No","No","No","No","No","No","No","No",0,8,4,1,2,4,0,0,0,0,0,0,0,0,3
"74-04-26-51",2,"Yes","No","Yes","No","Yes","Yes","No","No",8,12,2,0,0,0,0,0,1,2,0,0,0,0,0
"37-83-74-10",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,2,10,1,2,3,4,5,6,7,0,0,8,9,10
"39-40-38-02",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,0,12,1,2,3,4,5,6,7,8,9,10,11,12
"14-71-87-39",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",0,0,8,4,6,5,8,0,0,0,0,7,3,2,1
"86-00-55-84",2,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",0,8,3,1,0,2,0,0,0,0,0,0,0,0,3
"76-73-19-09",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,0,12,1,2,3,4,5,6,7,8,9,11,10,12
"17-23-66-97",2,"No","No","Yes","Yes","No","No","No","No",5,8,4,1,2,3,4,0,0,0,0,0,0,0,0
"71-45-81-79",1,"Yes","No","No","No","Yes","Yes","No","Yes",0,0,12,1,2,3,4,5,7,6,8,10,9,11,12
"53-00-83-03",2,"No","Yes","Yes","Yes","Yes","No","No","No",0,10,2,1,0,0,0,0,0,0,0,0,0,0,2
"70-80-16-39",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",6,6,6,0,1,2,3,4,5,6,0,0,0,0,0
"11-00-74-85",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,7,5,1,2,3,5,4,0,0,0,0,0,0,0
"16-44-32-23",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",6,10,2,1,2,0,0,0,0,0,0,0,0,0,0
"49-09-04-04",2,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes",0,10,2,1,2,0,0,0,0,0,0,0,0,0,0
"33-01-13-01",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,0,12,1,2,3,4,5,6,8,7,9,10,11,12
"79-39-40-36",1,"No","No","No","No","No","No","No","No",0,12,0,,,,,,,,,,,,
"65-53-51-27",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,2,9,0,0,0,1,2,3,5,4,6,7,8,9
"64-11-62-56",3,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,0,12,1,4,3,2,5,7,6,8,9,12,11,10
"79-53-04-50",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,0,12,1,2,3,4,5,7,6,8,9,10,12,11
"14-13-86-20",1,"No","No","No","No","No","No","No","No",0,0,12,1,2,3,6,4,5,7,12,8,9,10,11
"19-99-67-92",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,3,9,1,2,3,4,5,6,7,8,9,0,0,0
"65-80-65-49",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,0,12,1,2,3,12,4,11,6,7,5,8,10,9
"08-76-57-31",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,0,12,1,2,3,4,5,6,7,8,11,10,9,12
"02-57-88-54",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,2,8,1,3,2,4,5,0,0,8,0,0,6,7
"36-87-83-91",1,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes",0,0,12,1,3,2,4,6,5,7,8,9,12,11,10
"99-46-97-26",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",4,8,4,0,1,4,2,3,0,0,0,0,0,0,0
"76-21-46-00",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,8,4,1,2,3,4,0,0,0,0,0,0,0,0
"63-02-11-31",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,4,8,1,2,4,3,5,6,7,8,0,0,0,0
"45-95-07-81",2,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes",0,0,12,1,2,3,4,5,6,7,8,9,10,12,11
"15-84-79-29",1,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes",0,0,0,,,,,,,,,,,,
"52-10-39-37",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1,2,9,1,2,3,4,5,6,7,0,0,0,9,8
"57-47-06-86",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,1,11,1,2,3,4,5,6,7,0,8,9,10,11
"70-03-65-67",6,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"48-58-26-00",1,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes",5,5,4,1,2,3,4,0,0,0,0,0,0,0,0
"48-53-15-07",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,3,9,1,2,3,4,5,6,7,8,9,0,0,0
"44-97-24-07",2,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes",4,6,6,6,1,2,3,4,5,0,0,0,0,0,0
"63-58-57-56",1,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes",0,0,12,1,2,3,4,5,6,7,8,10,9,12,11
"50-43-62-27",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,1,11,1,2,3,4,5,6,7,0,8,9,10,11
