interview__key,contact_ref_1_rel,contact_ref_2_rel
"31-67-19-52","Neighbor","Friend"
"85-11-91-18","Husband","Wife"
"38-04-18-34","Village Elder","Chief"
"34-73-96-50","Sister","In Law"
"93-29-80-09","Inlaw","Neighbor"
"63-89-80-49","Relative","Neighbor"
"97-84-26-58","Husband","Wife"
"44-14-26-56","Husband","Son"
"01-78-65-09","Neighbour","Relative"
"77-02-48-37","Relative","Neighbor"
"46-96-59-64","Neighbour","Relative"
"01-51-99-07","Village Elder","Friend"
"39-75-97-43","Village Elder","Neighbour"
"11-52-82-38","Neighbour","Neighbour"
"19-06-13-08","Daughter","Pastor"
"74-04-26-51","Chief","Brother"
"37-83-74-10","Daughter","Pastor"
"39-40-38-02","Village Elder","Brother"
"14-71-87-39","Neighbour","Neigbour"
"86-00-55-84","Village Elder","Neighbour"
"76-73-19-09","Daughter","Relative"
"17-23-66-97","Neighbour","Mama Mtaa"
"71-45-81-79","Neighbour","Church Member"
"53-00-83-03","Son","Son"
"70-80-16-39","Village Elder","Neighbour"
"11-00-74-85","Elder","Neighbour"
"16-44-32-23","Brother","Neighbour"
"49-09-04-04","Church Members","Church Member"
"33-01-13-01","Brother","Friend"
"79-39-40-36","Friend","Neighbour"
"65-53-51-27","Neighbour","Niece"
"64-11-62-56","Neighbour","Religious Leader"
"79-53-04-50","Neighbour","Mother To Hh."
"14-13-86-20","Neighbour","Neighbour"
"19-99-67-92","Neighbour","Neighbour"
"65-80-65-49","Son","Pastor"
"08-76-57-31","Neighbour","Neighbour"
"02-57-88-54","Friend","Neighbor"
"36-87-83-91","Neighbour","Neighbour"
"99-46-97-26","Chief","Pastor"
"76-21-46-00","Neighbour","Neighbour"
"63-02-11-31","Child","Child"
"45-95-07-81","Neighbour","Neighbour"
"15-84-79-29","Neighbour","Neighbour"
"52-10-39-37","Neighbour","Brother In Law"
"57-47-06-86","None","Neighbour"
"70-03-65-67","Village Elder","Elderly"
"48-58-26-00","Relative","Church Member"
"48-53-15-07","Friend","Neighbour"
"44-97-24-07","Village Head","Assistant Chief"
"63-58-57-56","Neighbour","Neighbour"
"50-43-62-27","No Relationship","Neighbour"
"80-45-95-05","Neighbour","None"
"63-29-07-40","Relative","Neighbor"
"54-48-29-18","Friend","Neighbor"
"50-16-00-20","Village Elder","Chief"
"45-36-57-50","Relative","Sister-In-Law"
"49-75-44-53","Relative","Relative"
"35-67-10-08","Neighbor","Relative"
"12-79-91-83","Daughter","Relative"
"19-90-00-01","Relative","Neighbour"
"29-86-40-08","Relative","None"
"10-69-61-22","Self Head","Wife"
"73-57-30-20","Cousin","Son"
"98-91-04-48","Village Elder","Daughter"
"74-01-41-82","Head","Wife"
"30-00-59-90","Self Head","Wife"
"66-77-39-39","Village Elder","Chief"
"35-78-11-70","Son","Village Elder"
"75-25-98-04","Village Elder","Son"
"09-00-12-98","Friend","Neighbour"
"13-38-59-03","Neighbour","Neighbour"
"26-77-14-31","Friend","Neighbour"
"04-52-21-75","Brother","Brother"
"49-10-89-14","Neighbour","Brother"
"15-13-85-83","Brother","Cousin"
"81-99-34-25","Neighbour","Son"
