interview__key,grazing_area__1,grazing_area__2,grazing_area__3,grazing_area__4,grazing_area__5,grazing_area__96,grazing_area_oth,grazing_dist,grazing_days,grazing_hour,grazing_ownership,grazing_sharing,grazing_permit,grazing_permit_price,grazing_years,grazing_area_before__1,grazing_area_before__2,grazing_area_before__3,grazing_area_before__4,grazing_area_before__5,grazing_area_before__96,grazing_dist_before,grazing_cng_reason__1,grazing_cng_reason__2,grazing_cng_reason__3,grazing_cng_reason__4,grazing_cng_reason__5,grazing_cng_reason__6,grazing_cng_reason__7,grazing_cng_reason__8,grazing_cng_reason__9,grazing_cng_reason__10,grazing_cng_reason__11,grazing_cng_reason__96,grazing_change_reason_oth,grazing_challenges__1,grazing_challenges__2,grazing_challenges__3,grazing_challenges__4,grazing_challenges__5,grazing_challenges__6,grazing_challenges__7,grazing_challenges__8,grazing_challenges__9,grazing_challenges__10,grazing_challenges__11,grazing_challenges__96,grazing_challenge_oth
"31-67-19-52","No","Yes","No","No","No","No",,20,300,5,"Communally owned",40,"No",,10,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No",,"No",,"No","No","No","No",""
"85-11-91-18","Yes","No","No","No","No","No",,,,8,,,,,,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No",,"No","No","No","No",""
"38-04-18-34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"34-73-96-50","No","Yes","No","No","No","No",,30,300,5,"Communally owned",100,"No",,15,,,,,,,,,,,,,,,,,,,,"","Yes",,"No","No","No","No","No","No","No","No","No","No",""
"93-29-80-09","No","Yes","No","No","No","No",,30,480,8,"Private owned with no land title",70,"No",,5,"No","No","No","Yes","No","No",480,"No","No","No","No","Yes","No",,"No","No","No","No","No","","Yes","No","No","No",,"No","No","No","No","No","No","No",""
"63-89-80-49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"97-84-26-58","No","Yes","No","No","No","No",,15,360,8,"Communally owned",10,"No",,2,"No","No","Yes","No","No","No",10,"No","No","No","No","No","No","No","Yes","No","No","No","No","","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"44-14-26-56","No","Yes","No","No","No","No",,10,20,8,"Communally owned",6,"No",,30,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","Yes","wild animals attack and Diseases attack"
"01-78-65-09","No","Yes","No","No","No","No",,5,540,10,"Communally owned",50,"No",,14,,,,,,,,,,,,,,,,,,,,"","No","Yes","No","No","No","No","No","No","No","No","No",,"invasion of cactus"
"77-02-48-37","No","No","Yes","No","No","No",,120,240,4,"Private owned with land title",60,"No",,6,"No","No","Yes","No","No","No",120,"No","No","No","No","No","No","No","No","No","No","Yes","No","","Yes","No",,"No","No",,"No","No","No","No","No","No",""
"46-96-59-64","No","No","Yes","No","No","No",,120,360,6,"Communally owned",20,"No",,11,,,,,,,,,,,,,,,,,,,,"","Yes","No",,"No","No","No","No","No","No","No","No","No",""
"01-51-99-07","No","Yes","No","No","No","No",,10,10,9,"Communally owned",20,"No",,25,,,,,,,,,,,,,,,,,,,,"","Yes","No",,"No","No","No","No",,"No","No","No","No",""
"39-75-97-43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"11-52-82-38","Yes","No","No","No","No","No",,,,8,,,,,,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No",,"No","No","No","No",""
"19-06-13-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"74-04-26-51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"37-83-74-10","No","No","Yes","No","No","No",,60,480,8,"Communally owned",30,"No",,4,"No","No","No","No","No","Yes",60,"No","No","No","No","No","No","No","No","No","No","No","Yes","have not changed the grazing land","Yes",,"No","No","No","No","No","No","No","No","No","No",""
"39-40-38-02","No","Yes","No","No","No","No",,60,120,7,"Communally owned",10,"No",,3,"Yes","No","No","No","No","No",,"Yes",,"No","No","No","No","No","No","No","No","No","No","","Yes",,"No","No","No","No","No","No","No","No","No",,"attacks from wildlife animals"
"14-71-87-39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"86-00-55-84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"76-73-19-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"17-23-66-97","Yes","Yes","No","No","No","No",,,,9,,,,,,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No",,"No","No","No","No","No","No","No",""
"71-45-81-79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"53-00-83-03","No","No","Yes","No","No","No",,30,480,8,"Communally owned",100,"No",,50,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","Yes","attacks by wild animals."
"70-80-16-39","No","Yes","No","No","No","No",,30,480,8,"Communally owned",100,"No",,8,"No","Yes","No","No","No","No",30,"Yes","No","No","No","No","No","No","No","No","No","No","No","","Yes","No",,"No","No","No","No","No","No","No","No","No",""
"11-00-74-85","Yes","No","No","No","No","No",,,,8,,,,,,,,,,,,,,,,,,,,,,,,,"",,"Yes",,"No","No","No","No","No","No","No","No","No",""
"16-44-32-23","No","Yes","No","No","No","No",,120,420,7,"Communally owned",20,"No",,13,,,,,,,,,,,,,,,,,,,,"","Yes",,"No","No","No","No","No","No","No","No","No","No",""
"49-09-04-04","Yes","Yes","No","No","No","No",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,"","Yes",,,"No","No","No","No","No","No","No","No","No",""
"33-01-13-01","No","Yes","No","No","No","No",,60,120,8,"Communally owned",30,"No",,15,,,,,,,,,,,,,,,,,,,,"",,,"No","No","No","Yes","No","No","No","No","No","No",""
"79-39-40-36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"65-53-51-27","No","Yes","Yes","No","No","No",,60,560,8,"Communally owned",10,"No",,11,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No","No","No","No","No",,"agricultural activities"
"64-11-62-56","Yes","Yes","No","No","No","No",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,"","Yes",,"No","No","No","No","No",,"No","No","No","No",""
"79-53-04-50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"14-13-86-20","Yes","Yes","No","No","No","No",,,,8,,,,,,,,,,,,,,,,,,,,,,,,,"","Yes",,,"No","No","No","No","No","No","No","No","No",""
"19-99-67-92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"65-80-65-49","No","Yes","Yes","No","No","No",,60,240,4,"Communally owned",50,"No",,13,,,,,,,,,,,,,,,,,,,,"","Yes",,"No","No","No","No","No","No","No","No","No",,"Attack by wild animals (crocodiles)"
"08-76-57-31","No","Yes","No","No","No","No",,60,560,8,"Communally owned",80,"No",,3,"No","Yes","No","No","No","No",60,"No","No","No","No","No","No","No","No","No","No","Yes","No","","No","Yes","No","No","No","No","No","No","No","No","No",,"Ticks"
"02-57-88-54","No","Yes","Yes","No","No","No",,80,240,4,"Private owned with no land title",8,"No",,5,"No","Yes","No","No","No","No",180,"Yes",,"No","No","No","No",,"No","No","No","No","No","","No","No","Yes","No","No","No","No",,"No","No","No","No",""
"36-87-83-91","No","Yes","Yes","No","No","No",,60,540,9,"Communally owned",100,"No",,20,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"99-46-97-26","No","Yes","No","No","No","No",,5,380,6,"Communally owned",20,"No",,5,"No","No","Yes","No","No","No",30,"Yes","No","No","No",,"No","No","No","No","No","No","No","","Yes",,"No","No","No",,"No","No","No","No","No","No",""
"76-21-46-00","No","Yes","No","No","No","No",,20,460,7,"Communally owned",50,"No",,3,"Yes","No","No","No","No","No",,"Yes","No","No","No","No","No","No","No","No","No","No","No","","Yes",,"No","No","No",,"No","No","No","No","No","No",""
"63-02-11-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
