interview__key,r_members__id,memeber_isphone
"31-67-19-52",1,"Yes"
"31-67-19-52",2,"Yes"
"85-11-91-18",1,"Yes"
"85-11-91-18",2,"Yes"
"38-04-18-34",1,"Yes"
"34-73-96-50",1,"Yes"
"34-73-96-50",2,"Yes"
"93-29-80-09",1,"Yes"
"63-89-80-49",1,"Yes"
"63-89-80-49",2,"Yes"
"97-84-26-58",1,"Yes"
"97-84-26-58",2,"Yes"
"44-14-26-56",1,"Yes"
"44-14-26-56",3,"Yes"
"77-02-48-37",1,"Yes"
"46-96-59-64",1,"Yes"
"46-96-59-64",2,"Yes"
"01-51-99-07",1,"Yes"
"01-51-99-07",2,"Yes"
"39-75-97-43",1,"Yes"
"11-52-82-38",1,"Yes"
"11-52-82-38",2,"Yes"
"11-52-82-38",3,"Yes"
"11-52-82-38",4,"Yes"
"74-04-26-51",1,"Yes"
"74-04-26-51",2,"Yes"
"37-83-74-10",1,"Yes"
"39-40-38-02",1,"Yes"
"39-40-38-02",2,"Yes"
"14-71-87-39",1,"Yes"
"14-71-87-39",2,"Yes"
"86-00-55-84",1,"Yes"
"86-00-55-84",2,"Yes"
"86-00-55-84",3,"Yes"
"76-73-19-09",2,"Yes"
"76-73-19-09",4,"Yes"
"17-23-66-97",1,"Yes"
"17-23-66-97",2,"Yes"
"17-23-66-97",3,"Yes"
"17-23-66-97",4,"Yes"
"71-45-81-79",1,"Yes"
"70-80-16-39",1,"Yes"
"70-80-16-39",2,"Yes"
"70-80-16-39",3,"Yes"
"70-80-16-39",4,"Yes"
"11-00-74-85",1,"Yes"
"16-44-32-23",1,"Yes"
"16-44-32-23",2,"Yes"
"49-09-04-04",1,"Yes"
"49-09-04-04",2,"Yes"
"49-09-04-04",3,"Yes"
"33-01-13-01",1,"Yes"
"33-01-13-01",2,"Yes"
"79-39-40-36",1,"Yes"
"65-53-51-27",1,"Yes"
"64-11-62-56",1,"Yes"
"64-11-62-56",3,"Yes"
"79-53-04-50",1,"Yes"
"79-53-04-50",2,"Yes"
"14-13-86-20",1,"Yes"
"19-99-67-92",1,"Yes"
"65-80-65-49",1,"Yes"
"65-80-65-49",2,"Yes"
"08-76-57-31",2,"Yes"
"02-57-88-54",1,"Yes"
"02-57-88-54",2,"Yes"
"36-87-83-91",1,"Yes"
"99-46-97-26",1,"Yes"
"99-46-97-26",2,"Yes"
"99-46-97-26",3,"Yes"
"99-46-97-26",4,"Yes"
"99-46-97-26",6,"Yes"
"76-21-46-00",1,"Yes"
"63-02-11-31",1,"Yes"
"63-02-11-31",2,"Yes"
"63-02-11-31",3,"Yes"
"63-02-11-31",4,"Yes"
"45-95-07-81",1,"Yes"
"45-95-07-81",2,"Yes"
"15-84-79-29",1,"Yes"
"52-10-39-37",1,"Yes"
"52-10-39-37",2,"Yes"
"70-03-65-67",6,"Yes"
"48-58-26-00",1,"Yes"
"48-58-26-00",2,"Yes"
"48-53-15-07",1,"Yes"
"48-53-15-07",2,"Yes"
"44-97-24-07",1,"Yes"
"44-97-24-07",2,"Yes"
"63-58-57-56",1,"Yes"
"50-43-62-27",1,"Yes"
"80-45-95-05",2,"Yes"
"63-29-07-40",1,"Yes"
"54-48-29-18",1,"Yes"
"54-48-29-18",2,"Yes"
"50-16-00-20",1,"Yes"
"50-16-00-20",2,"Yes"
"45-36-57-50",1,"Yes"
"49-75-44-53",2,"Yes"
"35-67-10-08",1,"Yes"
"35-67-10-08",2,"Yes"
"12-79-91-83",1,"Yes"
"29-86-40-08",1,"Yes"
"29-86-40-08",2,"Yes"
"10-69-61-22",1,"Yes"
"10-69-61-22",2,"Yes"
"73-57-30-20",2,"Yes"
"98-91-04-48",1,"Yes"
"74-01-41-82",1,"Yes"
"74-01-41-82",2,"Yes"
"30-00-59-90",1,"Yes"
"30-00-59-90",2,"Yes"
"66-77-39-39",1,"Yes"
"66-77-39-39",2,"Yes"
"35-78-11-70",1,"Yes"
"09-00-12-98",2,"Yes"
"09-00-12-98",4,"Yes"
"13-38-59-03",1,"Yes"
"26-77-14-31",1,"Yes"
"26-77-14-31",2,"Yes"
"26-77-14-31",8,"Yes"
"04-52-21-75",1,"Yes"
"04-52-21-75",2,"Yes"
"49-10-89-14",1,"Yes"
"49-10-89-14",2,"Yes"
"15-13-85-83",1,"Yes"
"15-13-85-83",2,"Yes"
"96-35-08-20",1,"Yes"
"96-35-08-20",2,"Yes"
"78-02-12-77",1,"Yes"
"78-02-12-77",2,"Yes"
"78-02-12-77",3,"Yes"
"78-02-12-77",4,"Yes"
"66-37-18-93",1,"Yes"
"66-37-18-93",2,"Yes"
"77-89-79-33",1,"Yes"
"77-89-79-33",2,"Yes"
"09-97-47-73",1,"Yes"
"09-97-47-73",2,"Yes"
"62-45-31-86",1,"Yes"
"96-13-78-99",1,"Yes"
"96-13-78-99",2,"Yes"
"25-35-15-07",1,"Yes"
"10-80-25-79",1,"Yes"
"46-89-14-96",1,"Yes"
"80-24-04-77",1,"Yes"
"80-24-04-77",2,"Yes"
"26-82-89-21",1,"Yes"
"26-82-89-21",2,"Yes"
"22-43-50-27",2,"Yes"
"41-41-55-55",1,"Yes"
"41-41-55-55",2,"Yes"
"26-69-32-41",1,"Yes"
"68-81-12-32",1,"Yes"
"68-81-12-32",2,"Yes"
"46-49-14-82",1,"Yes"
"46-49-14-82",2,"Yes"
"92-16-89-27",1,"Yes"
"01-28-41-84",1,"Yes"
"01-28-41-84",2,"Yes"
"23-46-40-42",1,"Yes"
"23-46-40-42",2,"Yes"
"23-46-40-42",3,"Yes"
"23-46-40-42",6,"Yes"
"93-71-36-41",1,"Yes"
"93-71-36-41",2,"Yes"
"07-56-93-09",1,"Yes"
"40-07-12-46",1,"Yes"
"68-88-48-96",1,"Yes"
"68-88-48-96",2,"Yes"
"86-70-18-69",1,"Yes"
"86-70-18-69",2,"Yes"
"82-09-53-31",1,"Yes"
"10-84-11-85",1,"Yes"
"40-02-31-47",1,"Yes"
"35-25-14-79",1,"Yes"
"35-25-14-79",2,"Yes"
"96-32-88-00",1,"Yes"
"96-32-88-00",2,"Yes"
"05-61-96-62",1,"Yes"
"05-61-96-62",2,"Yes"
"05-61-96-62",3,"Yes"
"37-32-16-74",1,"Yes"
"06-96-64-70",1,"Yes"
"74-21-41-84",1,"Yes"
"82-96-41-85",1,"Yes"
"82-96-41-85",2,"Yes"
"58-44-33-27",1,"Yes"
"88-25-56-87",1,"Yes"
"86-98-25-96",1,"Yes"
"86-98-25-96",2,"Yes"
"09-54-26-75",1,"Yes"
"09-54-26-75",2,"Yes"
"90-86-53-30",1,"Yes"
"90-86-53-30",2,"Yes"
"16-75-57-30",1,"Yes"
"60-19-22-98",1,"Yes"
"60-19-22-98",2,"Yes"
"97-29-58-98",1,"Yes"
"51-48-94-50",1,"Yes"
"51-48-94-50",2,"Yes"
"97-20-59-08",1,"Yes"
"97-20-59-08",2,"Yes"
"82-77-24-98",1,"Yes"
"82-77-24-98",2,"Yes"
"82-77-24-98",3,"Yes"
"68-99-96-16",1,"Yes"
"68-99-96-16",2,"Yes"
"68-99-96-16",6,"Yes"
"68-99-96-16",9,"Yes"
"47-95-59-62",1,"Yes"
"86-57-96-89",1,"Yes"
"68-47-81-44",1,"Yes"
"36-96-75-03",2,"Yes"
"08-94-02-07",1,"Yes"
"08-94-02-07",2,"Yes"
"08-94-02-07",3,"Yes"
"37-79-35-25",1,"Yes"
"71-65-92-38",1,"Yes"
"71-65-92-38",2,"Yes"
"71-65-92-38",3,"Yes"
"71-65-92-38",4,"Yes"
"64-78-16-16",1,"Yes"
"64-78-16-16",2,"Yes"
"21-44-80-94",1,"Yes"
"21-44-80-94",2,"Yes"
"09-64-46-58",1,"Yes"
"09-64-46-58",2,"Yes"
"09-64-46-58",4,"Yes"
"09-64-46-58",6,"Yes"
"59-85-28-37",2,"Yes"
"59-86-17-42",1,"Yes"
"59-86-17-42",2,"Yes"
"59-86-17-42",3,"Yes"
"19-38-28-96",1,"Yes"
"19-38-28-96",2,"Yes"
"19-38-28-96",4,"Yes"
"15-65-55-76",1,"Yes"
"06-65-59-46",1,"Yes"
"06-65-59-46",2,"Yes"
"46-83-77-72",1,"Yes"
"46-83-77-72",2,"Yes"
"13-16-83-24",1,"Yes"
"13-16-83-24",2,"Yes"
"55-65-07-83",1,"Yes"
"55-65-07-83",2,"Yes"
"19-58-06-14",1,"Yes"
"19-58-06-14",2,"Yes"
"07-67-77-44",1,"Yes"
"30-73-95-73",1,"Yes"
"30-73-95-73",2,"Yes"
"30-73-95-73",3,"Yes"
"81-01-27-26",1,"Yes"
"29-63-05-43",1,"Yes"
"15-06-78-78",1,"Yes"
"66-77-69-23",1,"Yes"
"66-77-69-23",2,"Yes"
"54-15-04-81",1,"Yes"
"54-15-04-81",2,"Yes"
"54-15-04-81",3,"Yes"
"30-29-61-21",1,"Yes"
"32-65-13-57",1,"Yes"
"25-20-08-58",1,"Yes"
"25-20-08-58",2,"Yes"
"12-04-44-96",1,"Yes"
"12-04-44-96",2,"Yes"
"97-37-09-60",1,"Yes"
"26-04-59-05",1,"Yes"
"98-27-33-85",1,"Yes"
"98-27-33-85",2,"Yes"
"88-58-36-62",1,"Yes"
"68-07-50-59",1,"Yes"
"68-07-50-59",2,"Yes"
"69-15-02-37",1,"Yes"
"69-15-02-37",2,"Yes"
"02-78-83-36",1,"Yes"
"97-59-33-64",1,"Yes"
"97-59-33-64",2,"Yes"
"97-59-33-64",3,"Yes"
"62-96-19-75",1,"Yes"
"62-96-19-75",2,"Yes"
"73-91-22-23",1,"Yes"
"53-00-97-20",1,"Yes"
"53-00-97-20",2,"Yes"
"33-41-86-29",1,"Yes"
"33-41-86-29",2,"Yes"
"32-86-73-25",1,"Yes"
"15-89-37-89",1,"Yes"
"12-79-12-74",1,"Yes"
"84-49-36-60",1,"Yes"
"84-49-36-60",2,"Yes"
"50-30-24-70",1,"Yes"
"73-01-79-27",2,"Yes"
"73-01-79-27",3,"Yes"
"73-01-79-27",5,"Yes"
"61-70-56-76",1,"Yes"
"61-70-56-76",3,"Yes"
"02-74-92-32",1,"Yes"
"69-39-88-08",1,"Yes"
"69-39-88-08",2,"Yes"
"97-74-84-66",1,"Yes"
"46-71-69-87",1,"Yes"
"05-64-42-77",1,"Yes"
"05-64-42-77",2,"Yes"
"65-63-71-66",1,"Yes"
"15-51-80-47",1,"Yes"
"15-51-80-47",2,"Yes"
"32-74-61-81",1,"Yes"
"36-59-31-86",5,"Yes"
"73-83-46-14",1,"Yes"
"73-83-46-14",2,"Yes"
"07-04-05-10",1,"Yes"
"99-97-90-90",1,"Yes"
"53-39-03-44",2,"Yes"
"85-50-39-09",1,"Yes"
"85-50-39-09",2,"Yes"
"46-32-17-36",1,"Yes"
"46-32-17-36",2,"Yes"
"85-98-37-69",3,"Yes"
"65-26-91-15",1,"Yes"
"65-45-62-39",1,"Yes"
"47-59-10-25",1,"Yes"
"47-59-10-25",2,"Yes"
"03-90-73-99",1,"Yes"
"43-25-90-61",1,"Yes"
"43-25-90-61",2,"Yes"
"49-70-00-09",1,"Yes"
"49-70-00-09",4,"Yes"
"06-94-49-47",1,"Yes"
"06-94-49-47",2,"Yes"
"19-04-54-37",1,"Yes"
"19-04-54-37",2,"Yes"
"59-57-12-16",1,"Yes"
"59-57-12-16",2,"Yes"
"49-28-72-36",1,"Yes"
"49-28-72-36",2,"Yes"
"93-14-44-32",1,"Yes"
"93-14-44-32",2,"Yes"
"51-90-88-91",1,"Yes"
"51-90-88-91",4,"Yes"
"12-47-74-84",1,"Yes"
"12-47-74-84",2,"Yes"
"66-45-27-28",2,"Yes"
"66-45-27-28",3,"Yes"
"61-66-59-51",1,"Yes"
"61-66-59-51",2,"Yes"
"78-64-43-02",1,"Yes"
"78-64-43-02",2,"Yes"
"78-64-43-02",3,"Yes"
"09-79-38-80",1,"Yes"
"09-79-38-80",2,"Yes"
"03-23-67-97",1,"Yes"
"03-23-67-97",2,"Yes"
"84-81-25-13",1,"Yes"
"01-19-86-40",1,"Yes"
"69-16-25-63",1,"Yes"
"58-95-91-31",1,"Yes"
"11-58-78-70",2,"Yes"
"11-58-78-70",4,"Yes"
"41-24-59-26",1,"Yes"
"98-97-38-21",1,"Yes"
"92-08-97-62",1,"Yes"
"59-21-82-77",1,"Yes"
"80-20-31-51",1,"Yes"
"33-11-85-60",1,"Yes"
"33-11-85-60",2,"Yes"
"06-48-61-69",1,"Yes"
"12-93-60-92",1,"Yes"
"12-93-60-92",2,"Yes"
"11-11-55-95",1,"Yes"
"82-15-11-19",1,"Yes"
"82-15-11-19",2,"Yes"
"95-73-95-89",2,"Yes"
"02-47-29-85",1,"Yes"
"02-47-29-85",2,"Yes"
"91-34-05-43",3,"Yes"
"54-07-56-18",1,"Yes"
"02-67-98-73",1,"Yes"
"02-67-98-73",2,"Yes"
"89-44-00-22",1,"Yes"
"92-95-45-69",1,"Yes"
"92-95-45-69",2,"Yes"
"25-17-75-96",2,"Yes"
"25-17-75-96",3,"Yes"
"25-17-75-96",4,"Yes"
"25-17-75-96",5,"Yes"
"08-10-28-09",1,"Yes"
"63-11-66-98",1,"Yes"
"90-89-89-25",1,"Yes"
"01-16-33-75",1,"Yes"
"37-73-98-41",1,"Yes"
"48-88-82-47",1,"Yes"
"44-96-14-86",1,"Yes"
"44-96-14-86",2,"Yes"
"47-83-83-86",1,"Yes"
"47-83-83-86",2,"Yes"
"79-40-96-41",1,"Yes"
"79-40-96-41",2,"Yes"
"79-90-62-68",1,"Yes"
