interview__key,ctry,region,dist,ward,ea,hhid,res_ident,attempt_1,reason_not_interviewed,reason_not_interviewed_other,replacement,is_replacement,interviewed_consent,res_head,res_rel,interview_possible
"31-67-19-52","Kenya","Baringo","Tiaty East","Mondi","Kaitunga","100021243011","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"85-11-91-18","Kenya","Baringo","Tiaty East","Mondi","Kaitunga","100021243008","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"38-04-18-34","Kenya","Baringo","Tiaty East","Mondi","Mosoin","100021243401","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"34-73-96-50","Kenya","Baringo","Tiaty East","Mondi","Kaitunga","100021243003","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"93-29-80-09","Kenya","Baringo","Tiaty East","Mondi","Mosoin","100021243407","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"63-89-80-49","Kenya","Baringo","Tiaty East","Mondi","Mosoin","100021243402","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"97-84-26-58","Kenya","Baringo","Tiaty East","Mondi","Mosoin","100021243408","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"44-14-26-56","Kenya","Baringo","Tiaty East","Mondi","Mosoin","100021243415","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"01-78-65-09","Kenya","Baringo","Tiaty East","Mondi","Mosoin","100021243404","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"77-02-48-37","Kenya","Baringo","Tiaty East","Mondi","Mosoin","100021243413","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"46-96-59-64","Kenya","Baringo","Tiaty East","Mondi","Mosoin","100021243406","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"01-51-99-07","Kenya","Baringo","Baringo South","Marigat","Kaptich","100011110403","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"39-75-97-43","Kenya","Baringo","Baringo South","Marigat","Kaptich","100011110401","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"11-52-82-38","Kenya","Baringo","Baringo South","Marigat","Kaptich","100011110412","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"19-06-13-08","Kenya","Baringo","Baringo South","Marigat","Nailiapu","100011121404","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"74-04-26-51","Kenya","Baringo","Baringo South","Marigat","Kaptich","100011110415","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"37-83-74-10","Kenya","Baringo","Baringo South","Marigat","Nailiapu","100011121414","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"39-40-38-02","Kenya","Baringo","Baringo South","Marigat","Nailiapu","100011121403","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"14-71-87-39","Kenya","Baringo","Baringo South","Marigat","Nailiapu","100011121415","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"86-00-55-84","Kenya","Baringo","Baringo South","Marigat","Nailiapu","100011121402","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"76-73-19-09","Kenya","Baringo","Baringo South","Marigat","Kaptich","100011110409","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"17-23-66-97","Kenya","Baringo","Baringo South","Marigat","Kaptich","100011110413","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"71-45-81-79","Kenya","Baringo","Tiaty East","Mondi","Kaitunga","100021243001","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"53-00-83-03","Kenya","Baringo","Baringo South","Marigat","Nailiapu","100011121413","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"70-80-16-39","Kenya","Baringo","Baringo South","Marigat","Kaptich","100011110407","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"11-00-74-85","Kenya","Baringo","Baringo South","Marigat","Nailiapu","100011121405","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"16-44-32-23","Kenya","Baringo","Baringo South","Marigat","Kaptich","100011110406","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"49-09-04-04","Kenya","Baringo","Baringo South","Marigat","Nailiapu","100011121401","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"33-01-13-01","Kenya","Baringo","Baringo South","Marigat","Nailiapu","100011121412","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"79-39-40-36","Kenya","Baringo","Baringo South","Marigat","Kaptich","100011110402","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"65-53-51-27","Kenya","Baringo","Baringo South","Marigat","Kaptich","100011110408","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"64-11-62-56","Kenya","Baringo","Baringo South","Marigat","Kaptich","100011110410","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"79-53-04-50","Kenya","Baringo","Baringo South","Marigat","Nailiapu","100011121408","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"14-13-86-20","Kenya","Baringo","Baringo South","Marigat","Nailiapu","100011121407","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"19-99-67-92","Kenya","Baringo","Baringo South","Marigat","Kaptich","100011110405","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"65-80-65-49","Kenya","Baringo","Baringo South","Marigat","Nailiapu","100011121406","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"08-76-57-31","Kenya","Baringo","Baringo South","Marigat","Nailiapu","100011121411","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"02-57-88-54","Kenya","Baringo","Tiaty East","Mondi","Kaitunga","100021243004","Yes",,,"",,"No",1,"Head of the household",,"Yes"
