interview__key,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"31-67-19-52","No",,,,,,,,,,,"",,3,,"No"
"85-11-91-18","Yes","No","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Directly at the homestead",10,1000,"No"
"38-04-18-34",,,,,,,,,,,,"",,,,
"34-73-96-50","No",,,,,,,,,,,"",,5,,"No"
"93-29-80-09","No",,,,,,,,,,,"",,3,,"No"
"63-89-80-49",,,,,,,,,,,,"",,,,
"97-84-26-58","No",,,,,,,,,,,"",,10,,"No"
"44-14-26-56","No",,,,,,,,,,,"",,20,,"No"
"01-78-65-09","No",,,,,,,,,,,"",,15,,"No"
"77-02-48-37","No",,,,,,,,,,,"",,4,,"No"
"46-96-59-64","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",10,3000,"No"
"01-51-99-07","Yes","No","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Directly at the homestead",5,1000,"No"
"39-75-97-43","Yes","No","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Directly at the homestead",5,200,"No"
"11-52-82-38","No",,,,,,,,,,,"",,5,,"No"
"19-06-13-08","Yes","No","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Market in this village",15,1200,"No"
"74-04-26-51",,,,,,,,,,,,"",,,,
"37-83-74-10","No",,,,,,,,,,,"",,15,,"No"
"39-40-38-02","No",,,,,,,,,,,"",,12,,"No"
"14-71-87-39",,,,,,,,,,,,"",,,,
"86-00-55-84","Yes","No","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Market in this village",.5,4500,"No"
"76-73-19-09",,,,,,,,,,,,"",,,,
"17-23-66-97","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Directly at the farm",5,3300,"No"
"71-45-81-79",,,,,,,,,,,,"",,,,
"53-00-83-03","No",,,,,,,,,,,"",,15,,"No"
"70-80-16-39","No",,,,,,,,,,,"",,4,,"No"
"11-00-74-85","No",,,,,,,,,,,"",,12,,"No"
"16-44-32-23","No",,,,,,,,,,,"",,7,,"No"
"49-09-04-04","Yes","No","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Directly at the homestead",25,300,"No"
"33-01-13-01","No",,,,,,,,,,,"",,20,,"No"
"79-39-40-36",,,,,,,,,,,,"",,,,
"65-53-51-27","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Directly at the farm",4,25200,"No"
"64-11-62-56","No",,,,,,,,,,,"",,4,,"No"
"79-53-04-50",,,,,,,,,,,,"",,,,
"14-13-86-20","No",,,,,,,,,,,"",,13,,"No"
"19-99-67-92","Yes","No","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Market in this village",4,500,"No"
"65-80-65-49","No",,,,,,,,,,,"",,1,,"No"
"08-76-57-31","No",,,,,,,,,,,"",,12,,"No"
"02-57-88-54","No",,,,,,,,,,,"",,2,,"No"
"36-87-83-91","No",,,,,,,,,,,"",,16,,"No"
"99-46-97-26","No",,,,,,,,,,,"",,12,,"No"
"76-21-46-00","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",4,2520,"No"
"63-02-11-31",,,,,,,,,,,,"",,,,
"45-95-07-81","No",,,,,,,,,,,"",,5,,"No"
"15-84-79-29","No",,,,,,,,,,,"",,10,,"No"
"52-10-39-37","No",,,,,,,,,,,"",,7,,"No"
"57-47-06-86",,,,,,,,,,,,"",,,,
"70-03-65-67","Yes","No","No","No","No","No","No","Yes","No",,"Brokers, middlemen, traders","","Market in this village",5,1800,"No"
"48-58-26-00","No",,,,,,,,,,,"",,10,,"No"
"48-53-15-07","No",,,,,,,,,,,"",,15,,"No"
"44-97-24-07","No",,,,,,,,,,,"",,18,,"No"
"63-58-57-56","No",,,,,,,,,,,"",,15,,"No"
"50-43-62-27",,,,,,,,,,,,"",,,,
"80-45-95-05","No",,,,,,,,,,,"",,7,,"No"
"63-29-07-40","No",,,,,,,,,,,"",,3,,"No"
"54-48-29-18","No",,,,,,,,,,,"",,4,,"No"
"50-16-00-20","Yes","No","No","No","No","No","Yes","No","No",,"Direct buyers, open-air market","","Market in this village",5,8000,"No"
"45-36-57-50","No",,,,,,,,,,,"",,10,,"No"
