interview__key,r_infu__id,as07__1,as07__2,as07__3,as07__4,as07__5,as07__6,as07__7,as07__8,as07__9,as07__96,as07__n88,as07__n99,as07_oth,network_mostinf_gender,network_mostinf_eth,network_eth_oth,network_mostinf_agegrp,as08,as09
"31-67-19-52",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Pokot","","In their 30s",3,0
"31-67-19-52",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",3,0
"31-67-19-52",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Pokot","","In their 20s",2,1
"85-11-91-18",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 60s",4,3
"85-11-91-18",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 60s",7,4
"85-11-91-18",3,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Women","Pokot","","In their 50s",8,3
"38-04-18-34",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Pokot","","In their 50s",10,4
"38-04-18-34",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",5,4
"38-04-18-34",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 40s",15,0
"34-73-96-50",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Pokot","","In their 30s",20,3
"34-73-96-50",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 40s",10,0
"34-73-96-50",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Pokot","","In their 40s",10,3
"93-29-80-09",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 30s",2,0
"93-29-80-09",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 30s",1,0
"93-29-80-09",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Pokot","","In their 30s",1,0
"63-89-80-49",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Pokot","","In their 50s",2,0
"63-89-80-49",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",1,1
"63-89-80-49",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Pokot","","In their 30s",0,0
"97-84-26-58",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 60s",0,3
"97-84-26-58",2,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Women","Pokot","","In their 50s",2,0
"97-84-26-58",3,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 30s",2,4
"44-14-26-56",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","Pokot","","In their 50s",8,3
"44-14-26-56",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","&gt;70",26,10
"44-14-26-56",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 50s",26,10
"01-78-65-09",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Pokot","","In their 50s",5,3
"01-78-65-09",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 60s",10,5
"01-78-65-09",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Pokot","","In their 30s",12,2
"77-02-48-37",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 40s",2,0
