interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"31-67-19-52","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"85-11-91-18","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"38-04-18-34","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"34-73-96-50","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-29-80-09","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"63-89-80-49","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-84-26-58","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"44-14-26-56","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"01-78-65-09","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"77-02-48-37","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-96-59-64","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"01-51-99-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-75-97-43","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,1000,,,,,,,,,,
"11-52-82-38","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,1000,,,,,,,,,,
"19-06-13-08","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"74-04-26-51","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","No","No",,1000,"No","No","No","No","No","Yes","No","No","No",
"37-83-74-10","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-40-38-02","Yes","Yes",,"Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No",,1800,,,,,,,,,,
"14-71-87-39","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"86-00-55-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"76-73-19-09","Yes","Yes",,"Yes","No","Yes","Yes","No","No","No","No","Yes","No","No","No","No",,560,,,,,,,,,,
"17-23-66-97","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No",,500,,,,,,,,,,
"71-45-81-79","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-00-83-03","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"70-80-16-39","Yes","Yes",,"Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No",,1500,,,,,,,,,,
"11-00-74-85","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-44-32-23","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"49-09-04-04","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"33-01-13-01","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"79-39-40-36","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"65-53-51-27","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-11-62-56","Yes","Yes",,"Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No",,1000,,,,,,,,,,
"79-53-04-50","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,1500,,,,,,,,,,
"14-13-86-20","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"19-99-67-92","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,4500,,,,,,,,,,
"65-80-65-49","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"08-76-57-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-57-88-54","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"36-87-83-91","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"99-46-97-26","Yes","Yes",,"Yes","No","No","No","No","Yes","No","No","No","No","No","No","No",,200,,,,,,,,,,
"76-21-46-00","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"63-02-11-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"45-95-07-81","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"15-84-79-29","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"52-10-39-37","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"57-47-06-86","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"70-03-65-67","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-58-26-00","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-53-15-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"44-97-24-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"63-58-57-56","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"50-43-62-27","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"80-45-95-05","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"63-29-07-40","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"54-48-29-18","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"50-16-00-20","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"45-36-57-50","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"49-75-44-53","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"35-67-10-08","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-79-91-83","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"19-90-00-01","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"29-86-40-08","Yes","Yes",,"Yes","No","No","No","No","Yes","No","No","Yes","No","No","No","No",,1500,,,,,,,,,,
"10-69-61-22","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"73-57-30-20","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"98-91-04-48","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"74-01-41-82","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"30-00-59-90","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
