interview__key,r_invasive_spices__id,pest_severe,pest_rate,most_effective__1,most_effective__2,most_effective__3,most_effective__4,most_effective__5,most_effective__6,most_effective__7,most_effective__8,most_effective__9,most_effective__10,most_effective__11,most_effective__12,most_effective__13,most_effective__14,most_effective__15,most_effective__96,most_effective_oth,why_not_control__1,why_not_control__2,why_not_control__3,why_not_control__4,why_not_control__5,why_not_control__6,why_not_control__7,why_not_control__8,why_not_control__96,why_not_control_oth,who_control,days_control_pest,prp_problem__1,prp_problem__2,prp_problem__3,prp_problem__4,prp_problem__5,prp_problem__6,prp_problem__7,prp_problem__8,prp_problem__9,prp_problem__10,prp_problem__11,prp_problem__12,prp_problem__13,prp_problem__14,prp_problem__96,prp_problem_oth
"31-67-19-52","Fall army worm","Moderate infestation - moderate number of pests present","High (50-75% plants damaged)","No",,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No",,1,2,0,0,0,0,0,0,0,"",,"Only few days at the beginning of cropping season (less than a month)","Yes",,"No","No","No","No","No","No","No","No","No","No","No","No","No",
"31-67-19-52","Pathenium","Moderate infestation - moderate number of pests present","High (50-75% plants damaged)","No","Yes","No",,"No","No","No","No","No","No","No","No","No","No","No","No",,1,2,3,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","Yes",,"No","No","No","No","No","No","No","No","No","No","No","No","No",
"31-67-19-52","Others ➡️ Specify","Moderate infestation - moderate number of pests present","High (50-75% plants damaged)","No","No","Yes",,"No","No","No","No","No","No","No","No","No","No","No","No",,1,2,0,0,0,0,0,0,0,"",,"Only few days at the beginning of cropping season (less than a month)","Yes",,"No","No","No","No","No","No","No","No","No","No","No","No","No",
"85-11-91-18","Fall army worm","Severe infestation - large number of pests present","High (50-75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"Every month of the cropping season","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",
"85-11-91-18","Others ➡️ Specify","Severe infestation - large number of pests present","High (50-75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"Every month of the cropping season",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",
"38-04-18-34","Pathenium","Moderate infestation - moderate number of pests present","Average (25-50% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,2,1,0,0,0,0,0,0,0,"",,"Only few days at the beginning of cropping season (less than a month)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No",
"34-73-96-50","Fall army worm","Moderate infestation - moderate number of pests present","Average (25-50% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"Only few days at the beginning of cropping season (less than a month)","No","Yes","No","No","No","No","No","No","No","No","No","No",,"No","No",
"34-73-96-50","Pathenium","Moderate infestation - moderate number of pests present","High (50-75% plants damaged)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",,1,2,0,0,0,0,0,0,0,"",,"Others, specify",,"No","No","No","No","No","No","No","Yes","No","No","No","No","No","No",
"93-29-80-09","Others ➡️ Specify","Not severe infestation - a small number of pests present","Low (&lt;25% plants damaged)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",,0,0,0,0,0,0,0,0,1,"has not experienced any",,"Others, specify","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes",
"63-89-80-49","Fall army worm","Extremely infestation - overwhelming number of pests present","High (50-75% plants damaged)","Yes","No","No",,"No","No","No","No","No","No","No","No","No","No","No","No",,1,0,0,0,2,0,0,0,0,"",,"Only few days at the beginning of cropping season (less than a month)","Yes",,"No","No","No","No","No","No","No","No","No","No","No","No","No",
