interview__key,r_invasive_spices__id,eco_mgmt,eco_mgmt_rank,cost_management,how_effective
"31-67-19-52",1,"Crop Rotation",2,1000,"Slightly effective"
"31-67-19-52",1,"Use of Pesticides or Chemical Agents",1,2000,"Slightly effective"
"31-67-19-52",2,"Intercropping",2,2000,"Moderately effective"
"31-67-19-52",2,"Crop Rotation",1,500,"Moderately effective"
"31-67-19-52",4,"Early Planting, Resistant Varieties",1,,
"31-67-19-52",4,"Use of Pesticides or Chemical Agents",2,,
"85-11-91-18",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Slightly effective"
"85-11-91-18",4,"Weeding",1,,
"38-04-18-34",2,"Do Nothing",1,0,"Slightly effective"
"34-73-96-50",1,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Moderately effective"
"34-73-96-50",1,"Handpicking and Crushing Egg Masses/ Catterpillars",2,0,"Moderately effective"
"34-73-96-50",2,"Do Nothing",1,0,"Not at all effective"
"93-29-80-09",4,"Do Nothing",1,,
"63-89-80-49",1,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Slightly effective"
"63-89-80-49",1,"Use of Pesticides or Chemical Agents",2,200,"Slightly effective"
"63-89-80-49",4,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,,
"63-89-80-49",4,"Sand and Ash",2,,
"97-84-26-58",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Slightly effective"
"97-84-26-58",2,"Weeding",1,0,"Moderately effective"
"44-14-26-56",1,"Use of Pesticides or Chemical Agents",1,300,"Highly effective"
"44-14-26-56",2,"Weeding",1,4000,"Highly effective"
"01-78-65-09",2,"Early Planting, Resistant Varieties",1,0,"Slightly effective"
"01-78-65-09",2,"Weeding",2,0,"Moderately effective"
"77-02-48-37",1,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Slightly effective"
"77-02-48-37",4,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,,
"46-96-59-64",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Slightly effective"
"46-96-59-64",2,"Weeding",1,0,"Moderately effective"
"46-96-59-64",2,"Cutting the Trees",3,0,"Moderately effective"
"46-96-59-64",2,"Burning",2,0,"Moderately effective"
"01-51-99-07",1,"Use of Pesticides or Chemical Agents",1,2000,"Slightly effective"
"01-51-99-07",3,"Sand and Ash",1,3000,"Slightly effective"
"01-51-99-07",3,"Cutting the Trees",2,0,"Moderately effective"
"01-51-99-07",3,"Burning",3,0,"Moderately effective"
"01-51-99-07",3,"Uprooting Seedlings and Trees",4,0,"Slightly effective"
"39-75-97-43",2,"Weeding",1,0,"Moderately effective"
"39-75-97-43",2,"Burning",2,0,"Moderately effective"
"39-75-97-43",3,"Burning",1,0,"Moderately effective"
"11-52-82-38",1,"Use of Pesticides or Chemical Agents",1,12000,"Moderately effective"
"11-52-82-38",3,"Uprooting Seedlings and Trees",1,0,"Slightly effective"
"19-06-13-08",3,"Sand and Ash",1,0,"Moderately effective"
"19-06-13-08",3,"Burning",2,0,"Moderately effective"
"74-04-26-51",1,"Use of Pesticides or Chemical Agents",1,5000,"Highly effective"
"74-04-26-51",3,"Burning",1,10000,"Highly effective"
"37-83-74-10",2,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,50,"Moderately effective"
"37-83-74-10",2,"Weeding",2,0,"Slightly effective"
"37-83-74-10",2,"Burning",3,0,"Slightly effective"
"37-83-74-10",3,"Sand and Ash",2,0,"Slightly effective"
"37-83-74-10",3,"Uprooting Seedlings and Trees",1,0,"Slightly effective"
"39-40-38-02",3,"Sand and Ash",1,0,"Slightly effective"
"39-40-38-02",3,"Burning",2,0,"Moderately effective"
"14-71-87-39",3,"Sand and Ash",1,0,"Highly effective"
"14-71-87-39",3,"Burning",2,0,"Moderately effective"
"14-71-87-39",3,"Uprooting Seedlings and Trees",3,0,"Moderately effective"
"14-71-87-39",4,"Sand and Ash",1,,
"14-71-87-39",4,"Cutting the Trees",2,,
"86-00-55-84",1,"Use of Pesticides or Chemical Agents",1,1800,"Highly effective"
"86-00-55-84",2,"Burning",1,0,"Slightly effective"
"86-00-55-84",3,"Crop Diversification",2,0,"Not at all effective"
"86-00-55-84",3,"Sand and Ash",1,1000,"Not at all effective"
"86-00-55-84",3,"Burning",3,0,"Slightly effective"
"86-00-55-84",3,"Uprooting Seedlings and Trees",4,500,"Slightly effective"
"76-73-19-09",3,"Burning",2,0,"Moderately effective"
"76-73-19-09",3,"Uprooting Seedlings and Trees",1,0,"Moderately effective"
"17-23-66-97",2,"Burning",1,0,"Highly effective"
"71-45-81-79",1,"Intensive Cultivation",1,3000,"Moderately effective"
"71-45-81-79",2,"Weeding",1,0,"Moderately effective"
"71-45-81-79",2,"Burning",2,0,"Moderately effective"
"53-00-83-03",3,"Sand and Ash",1,0,"Moderately effective"
"53-00-83-03",3,"Uprooting Seedlings and Trees",2,0,"Moderately effective"
"70-80-16-39",1,"Use of Pesticides or Chemical Agents",1,2000,"Slightly effective"
"70-80-16-39",2,"Burning",1,0,"Slightly effective"
"70-80-16-39",3,"Sand and Ash",1,10000,"Slightly effective"
"11-00-74-85",1,"Use of Pesticides or Chemical Agents",1,800,"Highly effective"
"11-00-74-85",2,"Sand and Ash",1,0,"Moderately effective"
"11-00-74-85",3,"Burning",1,0,"Slightly effective"
"16-44-32-23",2,"Do Nothing",1,0,"Not at all effective"
"16-44-32-23",3,"Sand and Ash",1,10000,"Moderately effective"
"49-09-04-04",3,"Sand and Ash",1,0,"Slightly effective"
"49-09-04-04",3,"Burning",2,0,"Moderately effective"
"49-09-04-04",3,"Uprooting Seedlings and Trees",3,0,"Moderately effective"
"49-09-04-04",4,"Crop Rotation",3,,
"49-09-04-04",4,"Sand and Ash",2,,
"49-09-04-04",4,"Uprooting Seedlings and Trees",1,,
"33-01-13-01",3,"Burning",1,0,"Slightly effective"
"33-01-13-01",3,"Uprooting Seedlings and Trees",2,0,"Slightly effective"
"79-39-40-36",2,"Use of Pesticides or Chemical Agents",1,2000,"Slightly effective"
"79-39-40-36",3,"Sand and Ash",2,0,"Slightly effective"
"79-39-40-36",3,"Uprooting Seedlings and Trees",1,0,"Slightly effective"
"65-53-51-27",1,"Use of Pesticides or Chemical Agents",1,1500,"Moderately effective"
"65-53-51-27",2,"Burning",1,0,"Slightly effective"
"65-53-51-27",3,"Crop Diversification",2,0,"Slightly effective"
