interview__key,lnd_mes,lnd_mes_1,lnd01,lnd02,lnd03,lnd04,lnd08,lnd09,lnd06,lnd_ten01,lnd_ten02,lnd_ten03,lnd_ten04,lnd_ten08,lnd_ten09,lnd_ten06,lnd_07,lnd_08,lnd_08_1,lnd_09,lnd_09_1,lnd_10,lnd_11,lnd_12,lnd_13__1,lnd_13__2,lnd_13__3,lnd_13__4,lnd_13__5,lnd_13__6,lnd_13__7,lnd_13__8,lnd_13__9,lnd_13__10,lnd_13__96,lnd_13_oth,f01,f03,f04__1,f04__2,f04__3,f04__96,f04_1,f05,lnd_14,lnd_15,lnd_16,lnd_17,lnd_18,lnd_18_oth,num_plots,more_plot,more_plot_explain
"31-67-19-52","Acres","",0,3,0,0,0,0,1,,"Private owned with no land title",,,,,"Private owned with no land title","No",,"",,"",,"unlikely","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","No",,"Yes",3,"Yes","No","No","No",,1,"Slight decrease","Slight decrease","No",,,"",1,"Yes","for my land use purposes"
"85-11-91-18","Acres","",2,2,1,0,0,0,5,"Communally owned","Communally owned","Communally owned",,,,"Communally owned","No",,"",,"",,"unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"Yes",1,"Yes","No","No","No",,0,"Slight decrease","Massive decrease","No",,,"",3,"Yes","For future use"
"38-04-18-34","Acres","",3,2,0,0,1,0,0,"Communally owned","Communally owned",,,"Communally owned",,,"No",,"",,"",,"unlikely","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No",,"Yes",2,"Yes","No","No","No",,0,"The same","The same","No",,,"",0,"Yes","for my children"
"34-73-96-50","Acres","",5,3,0,0,4,0,0,"Communally owned","Communally owned",,,"Communally owned",,,"No",,"",,"",,"Very unlikely","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",0,"Yes","for investment"
"93-29-80-09","Acres","",0,0,0,0,2,0,0,,,,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","Massive decrease","No",,,"",1,"Yes","to do farming"
"63-89-80-49","Acres","",0,0,0,0,0,0,0,,,,,,,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",1,"No","there is still a lot of free land"
"97-84-26-58","Acres","",3,4,0,0,0,0,0,"Communally owned","Communally owned",,,,,,"Yes","Other individuals","","Village headman / chairperson","","Yes","Likely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"Yes",4,"Yes","No","No","No",,0,"Slight decrease","Massive decrease","No",,,"",8,"Yes","For future use"
"44-14-26-56","Acres","",4,4,4,0,0,0,1,"Communally owned","Communally owned","Communally owned",,,,"Communally owned","No",,"",,"",,"Very unlikely","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"Yes",3,"Yes","No","No","No",,0,"Massive increase","Slight decrease","No",,,"",5,"Yes","Availability of land"
"01-78-65-09","Acres","",0,0,0,0,4,0,0,,,,,"Communally owned",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",0,"No","no resources"
"77-02-48-37","Acres","",0,0,0,0,1,0,0,,,,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"The same","The same","No",,,"",1,"No","enough and does not require anymore"
"46-96-59-64","Acres","",1,2,0,0,0,0,0,"Communally owned","Communally owned",,,,,,"No",,"",,"",,"Very unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",1,"Yes","because my kids are many"
"01-51-99-07","Acres","",.5,0,0,3,.1,0,0,"Co-share/ co-farming",,,"Leased/rented","Co-share/ co-farming",,,"Yes","Other individuals","","Other (please specify)","perkerra scheme board","Yes","unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,5,"Slight decrease","Massive decrease","No",,,"",1,"No","money is not available"
"39-75-97-43","Acres","",2,.15,0,0,.1,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,5,"Slight decrease","Massive decrease","No",,,"",1,"No","money is not available"
"11-52-82-38","Acres","",2,0,0,0,.5,0,0,"Leased/rented",,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,8,"Slight decrease","Massive decrease","No",,,"",1,"Yes","current one isn't enough for the growing family needs"
"19-06-13-08","Acres","",1.5,0,0,0,2,0,0,"Leased/rented",,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",2,"No","the ones that I have are enough to me"
"74-04-26-51","Acres","",1,0,0,0,.25,0,0,"Leased/rented",,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",1,"Yes","development"
"37-83-74-10","Acres","",1,0,0,.5,.5,0,0,"Private owned with no land title",,,"Private owned with no land title","Private owned with no land title",,,"No",,"",,"",,"Very unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",0,"No","am satisfied with the ones that I have"
"39-40-38-02","Acres","",1,0,0,50,2,0,0,"Private owned with no land title",,,"Communally owned","Private owned with no land title",,,"Yes","Other individuals","","Village headman / chairperson","","No","Very likely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"Yes",2,"No","No","Yes","No",,0,"Slight decrease","Slight increase","No",,,"",2,"Yes","get a place I can practice crop farming"
"14-71-87-39","Acres","",1,2.5,0,0,.5,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"Yes","Other➡️ Please specify","neighbour","Village headman / chairperson","","Yes","Likely","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"The same","Slight decrease","No",,,"",1,"Yes","The area is not productive for now hence need to buy elsewhere"
"86-00-55-84","Acres","",1,.5,0,0,.5,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No",,"Yes",.5,"No","No","Yes","No",,0,"Slight decrease","Massive decrease","No",,,"",1,"No","no intention so far"
"76-73-19-09","Acres","",0,0,0,0,0,0,0,,,,,,,,"Yes","Within family","","Magistrate","","No","Very likely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",0,"Yes","currently living on a neighbour's small piece of land, want to acquire one of my own"
