interview__key,r_livestock__id,lv01,lv02,lv03,lv04,lv_inkind_pay,lv05,lv06,lv07,lv08
"31-67-19-52","Goats - He/She/Kids",30,10,2,0,6,3,6,3,2000
"85-11-91-18","Goats - He/She/Kids",4,1,2,0,0,0,2,0,3000
"85-11-91-18","Chicken - Cocks/Broilers",20,5,10,5,0,0,0,5,500
"34-73-96-50","Goats - He/She/Kids",8,22,4,1,0,0,3,0,3000
"34-73-96-50","Insects (Bees/Crickets/Etc.)",15,10,0,0,0,0,0,0,
"93-29-80-09","Goats - He/She/Kids",13,18,6,0,0,5,10,2,3500
"97-84-26-58","Goats - He/She/Kids",47,13,0,0,0,0,37,0,
"44-14-26-56","Goats - He/She/Kids",25,3,4,0,0,0,12,6,4000
"01-78-65-09","Goats - He/She/Kids",10,5,4,0,1,0,2,1,1500
"77-02-48-37","Goats - He/She/Kids",13,40,2,4,0,20,0,0,3000
"77-02-48-37","Sheep - Rams/Ewes/Lambs",0,8,0,0,0,1,3,0,
"46-96-59-64","Cows/Heifers",5,2,3,0,0,0,0,0,15000
"46-96-59-64","Goats - He/She/Kids",35,11,4,0,0,0,6,0,3000
"46-96-59-64","Camel",2,2,1,0,0,0,0,0,30000
"01-51-99-07","Goats - He/She/Kids",7,10,2,0,0,0,1,0,3500
"01-51-99-07","Sheep - Rams/Ewes/Lambs",4,6,1,0,0,0,2,0,2000
"01-51-99-07","Chicken - Hens/Layers",15,3,3,2,0,0,0,5,400
"39-75-97-43","Chicken - Hens/Layers",14,3,5,1,0,1,0,4,500
"11-52-82-38","Bulls/Oxen/Steers",1,1,0,0,0,0,0,0,
"11-52-82-38","Cows/Heifers",2,1,2,0,0,0,0,0,22000
"11-52-82-38","Sheep - Rams/Ewes/Lambs",1,1,0,0,0,0,0,0,
"19-06-13-08","Chicken - Hens/Layers",3,12,1,1,0,0,0,0,500
"37-83-74-10","Goats - He/She/Kids",4,9,3,0,0,0,0,1,3000
"37-83-74-10","Chicken - Hens/Layers",20,9,10,5,0,2,3,0,600
"39-40-38-02","Cows/Heifers",1,2,0,0,0,0,0,0,
"39-40-38-02","Calves - Males/Females",0,1,0,0,0,0,0,0,
"39-40-38-02","Goats - He/She/Kids",13,11,2,1,0,0,0,0,3000
"39-40-38-02","Sheep - Rams/Ewes/Lambs",2,3,0,0,0,0,0,0,
"39-40-38-02","Chicken - Hens/Layers",4,3,1,0,0,0,0,0,250
"86-00-55-84","Chicken - Hens/Layers",50,8,15,3,3,4,15,10,500
"17-23-66-97","Cows/Heifers",1,1,0,0,0,0,0,0,
"17-23-66-97","Calves - Males/Females",1,1,0,0,0,0,0,0,
"53-00-83-03","Goats - He/She/Kids",3,8,3,0,0,0,0,2,3000
"53-00-83-03","Sheep - Rams/Ewes/Lambs",5,3,2,0,0,0,0,2,2000
"70-80-16-39","Cows/Heifers",8,6,2,0,0,0,0,0,13000
"70-80-16-39","Sheep - Rams/Ewes/Lambs",15,12,0,0,0,1,2,0,
"70-80-16-39","Chicken - Cocks/Broilers",30,18,8,3,0,0,2,0,500
"11-00-74-85","Goats - He/She/Kids",15,20,3,0,0,0,0,0,4000
"16-44-32-23","Cows/Heifers",2,3,0,0,0,0,0,0,
"16-44-32-23","Goats - He/She/Kids",3,5,0,0,0,0,0,0,
"16-44-32-23","Sheep - Rams/Ewes/Lambs",30,15,3,2,3,3,4,0,4000
"49-09-04-04","Goats - He/She/Kids",19,8,6,0,2,1,1,1,3500
"49-09-04-04","Sheep - Rams/Ewes/Lambs",0,2,0,0,0,0,0,0,
"49-09-04-04","Chicken - Hens/Layers",32,3,14,2,0,3,5,5,400
"33-01-13-01","Goats - He/She/Kids",6,2,4,0,0,0,0,0,4000
"33-01-13-01","Sheep - Rams/Ewes/Lambs",0,1,0,0,0,0,0,0,
"65-53-51-27","Cows/Heifers",10,8,2,0,0,0,0,0,15000
"65-53-51-27","Goats - He/She/Kids",17,12,2,1,0,0,0,2,3000
"65-53-51-27","Sheep - Rams/Ewes/Lambs",17,11,2,0,0,2,0,2,2500
"65-53-51-27","Chicken - Cocks/Broilers",19,4,6,5,0,0,2,2,400
"64-11-62-56","Cows/Heifers",16,2,8,0,1,1,4,0,30000
"64-11-62-56","Calves - Males/Females",1,1,0,0,0,0,0,0,
"64-11-62-56","Chicken - Cocks/Broilers",10,1,1,0,0,0,0,8,1500
"64-11-62-56","Chicken - Hens/Layers",50,5,20,2,3,0,0,20,400
"64-11-62-56","Ducks",12,3,0,0,0,0,0,9,
"14-13-86-20","Goats - He/She/Kids",8,2,6,0,0,0,0,0,3000
"19-99-67-92","Chicken - Hens/Layers",54,30,20,0,0,6,15,8,600
"65-80-65-49","Goats - He/She/Kids",8,3,0,0,0,0,5,0,
"08-76-57-31","Goats - He/She/Kids",12,6,2,1,0,0,3,0,3500
"02-57-88-54","Goats - He/She/Kids",30,25,0,4,5,0,13,4,
"02-57-88-54","Sheep - Rams/Ewes/Lambs",50,14,0,0,0,2,10,6,
"36-87-83-91","Goats - He/She/Kids",27,5,12,0,0,0,0,0,3000
"36-87-83-91","Sheep - Rams/Ewes/Lambs",8,1,0,0,0,0,0,0,
"99-46-97-26","Goats - He/She/Kids",20,15,6,0,0,0,3,0,4000
"99-46-97-26","Sheep - Rams/Ewes/Lambs",50,30,10,2,1,0,4,7,3000
"76-21-46-00","Goats - He/She/Kids",2,11,3,0,0,0,1,0,3500
"45-95-07-81","Goats - He/She/Kids",100,50,20,0,0,0,30,6,3000
"15-84-79-29","Goats - He/She/Kids",5,10,0,0,0,0,20,0,
"52-10-39-37","Goats - He/She/Kids",10,6,0,1,0,0,5,0,
"52-10-39-37","Sheep - Rams/Ewes/Lambs",2,3,0,0,0,0,0,0,
"52-10-39-37","Chicken - Hens/Layers",1,6,1,1,0,0,0,6,350
"70-03-65-67","Goats - He/She/Kids",80,25,20,4,2,1,5,4,3000
"70-03-65-67","Chicken - Hens/Layers",0,15,5,3,1,1,5,4,400
"48-58-26-00","Goats - He/She/Kids",20,15,25,0,0,10,9,1,5000
