interview__key,markt_output_dist,markt_input_dist,markt_buyer,markt_buyer_oth,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3,subsidy_supplier__96,subsidy_supplier__n888,subsidy_supplier__n999,subsidy_supplier_oth
"31-67-19-52",,,,"",,"",,,,,,,,,,,,
"85-11-91-18",10,5,"Market in this village","","No","","No",,,,,,,,,,,
"38-04-18-34",1,3,"Market in this village","","No","","No",,,,,,,,,,,
"34-73-96-50",5,5,"Market in this village","","No","","No",,,,,,,,,,,
"93-29-80-09",,,,"",,"",,,,,,,,,,,,
"63-89-80-49",,,,"",,"",,,,,,,,,,,,
"97-84-26-58",,,,"",,"",,,,,,,,,,,,
"44-14-26-56",13,3,"Market in this village","","No","","No",,,,,,,,,,,
"01-78-65-09",,,,"",,"",,,,,,,,,,,,
"77-02-48-37",,,,"",,"",,,,,,,,,,,,
"46-96-59-64",10,10,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"01-51-99-07",5,4,"Urban market (town) in this region","","Yes","MAIZE","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No",
"39-75-97-43",,,,"",,"",,,,,,,,,,,,
"11-52-82-38",5,5,"Direct individuals not in a market","","Yes","MAIZE","No",,,,,,,,,,,
"19-06-13-08",15,15,"Urban market (town) in this region","","Yes","MAIZE","Yes","Yes","No","No","No","No","No","Yes","No","No","No",
"74-04-26-51",3,3,"Urban market (town) in this region","","Yes","MAIZE","Yes","No","Yes","No","No","Yes","No","No","No","No","No",
"37-83-74-10",.5,15,"Direct individuals not in a market","","Yes","MAIZE","No",,,,,,,,,,,
"39-40-38-02",,,,"",,"",,,,,,,,,,,,
"14-71-87-39",,,,"",,"",,,,,,,,,,,,
"86-00-55-84",19,19,"Urban market (town) in this region","","Yes","MAIZE","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No",
"76-73-19-09",,,,"",,"",,,,,,,,,,,,
"17-23-66-97",4,4,"Direct individuals not in a market","","No","","Yes","No","Yes","No","No","Yes","No","No","No","No","No",
"71-45-81-79",4,4,"Market in this village","","No","","No",,,,,,,,,,,
"53-00-83-03",,,,"",,"",,,,,,,,,,,,
"70-80-16-39",4,4,"Urban market (town) in this region","","Yes","MAIZE","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No",
"11-00-74-85",12,12,"Urban market (town) in this region","","Yes","MAIZE","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No",
"16-44-32-23",7,7,"Urban market (town) in this region","","Yes","MAIZE","Yes","No","No","No","Yes","No","No","Yes","No","No","No",
"49-09-04-04",,,,"",,"",,,,,,,,,,,,
"33-01-13-01",,,,"",,"",,,,,,,,,,,,
"79-39-40-36",,,,"",,"",,,,,,,,,,,,
