interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"31-67-19-52",1,"No",,"No","No intention to migrate",,"",,,,,,
"31-67-19-52",2,"No",,"No","No intention to migrate",,"",,,,,,
"31-67-19-52",3,"No",,"No","No intention to migrate",,"",,,,,,
"85-11-91-18",1,"No",,"No","No intention to migrate",,"",,,,,,
"85-11-91-18",2,"No",,"No","No intention to migrate",,"",,,,,,
"38-04-18-34",1,"No",,"No","No intention to migrate",,"",,,,,,
"38-04-18-34",2,"No",,"No","No intention to migrate",,"",,,,,,
"38-04-18-34",3,"No",,"No","No intention to migrate",,"",,,,,,
"34-73-96-50",1,"No",,"No","No intention to migrate",,"",,,,,,
"34-73-96-50",2,"No",,"No","No intention to migrate",,"",,,,,,
"34-73-96-50",3,"No",,"No","No intention to migrate",,"",,,,,,
"34-73-96-50",4,"No",,"No","No intention to migrate",,"",,,,,,
"93-29-80-09",1,"Yes","Yes","No",,,"",2022,2022,3,5,0,
"93-29-80-09",2,"Yes","No","No",,,"",2022,2022,,,,
"63-89-80-49",1,"No",,"No","Don’t know",,"",,,,,,
"63-89-80-49",2,"No",,"No","No intention to migrate",,"",,,,,,
"63-89-80-49",3,"No",,"No","No intention to migrate",,"",,,,,,
"63-89-80-49",4,"No",,"No","No intention to migrate",,"",,,,,,
"97-84-26-58",1,"No",,"No","No intention to migrate",,"",,,,,,
"97-84-26-58",2,"No",,"No","No intention to migrate",,"",,,,,,
"97-84-26-58",6,"No",,"No","No intention to migrate",,"",,,,,,
"44-14-26-56",1,"No",,"No","No intention to migrate",,"",,,,,,
"44-14-26-56",2,"No",,"No","No intention to migrate",,"",,,,,,
"44-14-26-56",3,"No",,"No","No intention to migrate",,"",,,,,,
"44-14-26-56",4,"No",,"No","No intention to migrate",,"",,,,,,
"44-14-26-56",5,"No",,"No","No intention to migrate",,"",,,,,,
"01-78-65-09",1,"No",,"No","No intention to migrate",,"",,,,,,
"77-02-48-37",1,"Yes","No","Yes",,,"",2021,2021,,,,
"77-02-48-37",2,"Yes","No","No",,,"",2021,2021,,,,
"77-02-48-37",3,"No",,"No","No intention to migrate",,"",,,,,,
"46-96-59-64",1,"No",,"No","No intention to migrate",,"",,,,,,
"46-96-59-64",2,"No",,"No","No intention to migrate",,"",,,,,,
"46-96-59-64",3,"No",,"No","No intention to migrate",,"",,,,,,
"46-96-59-64",4,"No",,"No","No intention to migrate",,"",,,,,,
"46-96-59-64",5,"No",,"No","No intention to migrate",,"",,,,,,
"46-96-59-64",6,"No",,"No","No intention to migrate",,"",,,,,,
"46-96-59-64",10,"No",,"No","No intention to migrate",,"",,,,,,
"01-51-99-07",1,"No",,"No","No intention to migrate",,"",,,,,,
"01-51-99-07",2,"No",,"No","No intention to migrate",,"",,,,,,
"39-75-97-43",1,"No",,"No","No intention to migrate",,"",,,,,,
"39-75-97-43",2,"No",,"No","Yes temporarily migrate","Other, Specify","anywhere he finds good hustle",,,,,,
"39-75-97-43",3,"Yes","Yes","Yes",,,"",2022,2022,6,8,0,
"39-75-97-43",4,"No",,"No","Yes temporarily migrate","Other, Specify","anywhere fit for her",,,,,,
"39-75-97-43",5,"No",,"No","No intention to migrate",,"",,,,,,
"11-52-82-38",1,"No",,"No","No intention to migrate",,"",,,,,,
"11-52-82-38",2,"No",,"No","No intention to migrate",,"",,,,,,
"11-52-82-38",3,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"11-52-82-38",4,"No",,"No","No intention to migrate",,"",,,,,,
"11-52-82-38",5,"No",,"No","No intention to migrate",,"",,,,,,
"11-52-82-38",6,"No",,"No","No intention to migrate",,"",,,,,,
"11-52-82-38",8,"No",,"No","No intention to migrate",,"",,,,,,
"19-06-13-08",1,"No",,"No","No intention to migrate",,"",,,,,,
"74-04-26-51",1,"No",,"Yes","Don’t know",,"",2019,2019,,,,
"74-04-26-51",2,"No",,"Yes","Don’t know",,"",2019,2019,,,,
"74-04-26-51",3,"No",,"No","Don’t know",,"",,,,,,
"37-83-74-10",1,"No",,"No","No intention to migrate",,"",,,,,,
"37-83-74-10",2,"No",,"No","No intention to migrate",,"",,,,,,
"39-40-38-02",1,"No",,"No","No intention to migrate",,"",,,,,,
"39-40-38-02",2,"No",,"No","No intention to migrate",,"",,,,,,
"14-71-87-39",1,"Yes","Yes","Yes",,,"",2022,2022,6,6,15000,"Spouse"
"14-71-87-39",2,"No",,"Yes","Don’t know",,"",2022,2022,,,,
"86-00-55-84",1,"Yes","No","Yes",,,"",2022,2022,,,,
