interview__key,r_members__id,lbr3_1,lbr3_1_oth,emp_form,bus_yr,bus_dry,bus_rain,bus_days_wk,bus_hrs,bus_sales,bus_main_use__1,bus_main_use__2,bus_main_use__3,bus_main_use__4,bus_main_use__5,bus_main_use__6,bus_main_use__7,bus_main_use__96,bus_main_use__n888,bus_main_use_others,bus_input,bus_labor,bus_capital,bus_reg,bus_loc,bus_employe,tourism_motivate__1,tourism_motivate__2,tourism_motivate__3,tourism_motivate__4,tourism_motivate__5,tourism_motivate__6,tourism_motivate__7,tourism_motivate__8,tourism_motivate__96,tourism_motivate_oth,years_exp_agri,business_obstacle__1,business_obstacle__2,business_obstacle__3,business_obstacle__4,business_obstacle__5,business_obstacle__6,business_obstacle__7,business_obstacle__8,business_obstacle__9,business_obstacle__10,business_obstacle__11,business_obstacle__96,business_obstacle__n888,business_obstacle__n999,business_obs_oth,business_financing__1,business_financing__2,business_financing__3,business_financing__4,business_financing__5,business_financing__6,business_financing__7,business_financing__8,business_financing__9,business_financing__10,business_financing__11,business_financing__12,business_financing__96,business_financing__n888,business_financing__n999,business_financing_oth,business_finance__1,business_finance__2,business_finance__3,business_finance__4,business_finance__5,business_finance__6,business_finance__7,business_finance__8,business_finance__96,business_finance__n888,business_finance__n999,business_finance_oth,business_legal__1,business_legal__2,business_legal__3,business_legal__4,business_legal__5,business_legal__96,business_legal__n888,business_legal__n999,business_legal_oth,support_local_gov,support_local_kind__1,support_local_kind__2,support_local_kind__3,support_local_kind__4,support_local_kind__5,support_local_kind__6,support_local_kind__7,support_local_kind__8,support_local_kind__96,support_local_kind__n888,support_local_kind__n999,support_local_gov_oth,lbr3_2,lbr3_3,lbr3_4,lbr3_5,lbr3_5_1__1,lbr3_5_1__2,lbr3_5_1__3,lbr3_5_1__4,lbr3_5_1__5,lbr3_5_1__6,lbr3_5_1__7,lbr3_5_1__96,lbr3_5_1__n888,lbr3_5_1__n999,lbr3_5_1_oth,lbr3_6,lbr3_7,lbr3_8,lbr3_9,lbr3_9_1__1,lbr3_9_1__2,lbr3_9_1__3,lbr3_9_1__4,lbr3_9_1__5,lbr3_9_1__6,lbr3_9_1__7,lbr3_9_1__96,lbr3_9_1__n888,lbr3_9_1__n999,lbr3_9_1_oth,lbr3_10,lbr3_11,lbr3_12,lbr3_13,Ibr3_14__1,Ibr3_14__2,Ibr3_14__3,Ibr3_15,Ibr3_16,Ibr3_17,Ibr3_18,Ibr3_19,leave,sick_leave,lbr10,lbr10_1,job_search,job_search_oth,lbr09,emp_years,lbr11
"38-04-18-34",1,"Small-scale farm","","Self-employed/own business",12,0,2,3,3,5000,0,1,0,0,0,0,0,0,0,"",700,300,0,"No","Village in region",0,"No","No","No","Yes","No","No","No","No","No",,"3","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","illegal business",,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No",,"Yes","No","No","No","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",5,"dissatisfied"
"34-73-96-50",2,"Domestic/household helper","","Self-employed/own business",2,3,3,3,4,5000,0,1,0,0,0,0,0,0,0,"",1200,0,0,"No","Village in region",0,"No","Yes","No","No","No","No","No","No","No",,"2","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",,"No","No","Yes","No","No","No","No","No","No","No","No",,"No","No","Yes","No","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",0,"dissatisfied"
"01-51-99-07",2,"Small-scale farm","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","other farms","In this village","Seasonal",,,,,,,,,,,,"",,,"Per day",500,0,1,0,2,0,0,3,0,0,0,"",3,1,3,6,"No","No","No","No","Yes","No","No","Yes","No","No","Daily wage labourer","","Farmer or producer organizations or cooperatives","","No",10,"Neither"
"39-75-97-43",1,"Small-scale farm","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","farmers","In this village","Seasonal",,,,,,,,,,,,"",,,"Per day",300,0,1,0,0,0,0,0,0,0,0,"",2,0,3,7,"No","No","No","No","Yes","No","No","Yes","No","No","Daily wage labourer","","Farmer or producer organizations or cooperatives","","No",10,"dissatisfied"
"39-75-97-43",2,"Small-scale farm","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","farmers","In this village","Seasonal",,,,,,,,,,,,"",,,"Per day",300,0,1,0,2,0,3,0,4,0,0,"personal care",5,1,4,7,"No","No","No","No","No","No","No","Yes","No","No","Daily wage labourer","","Farmer or producer organizations or cooperatives","","No",5,"dissatisfied"
"74-04-26-51",1,"Education (teacher etc)","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","TSC","In this village","Permanent",28000,0,2,1,4,0,3,0,0,0,0,"",5,8,,,,,,,,,,,,,"",,,,,"No","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Long term permanent contract","","Public employment/recruitment agency","","Yes",5,"Very dissatisfied"
"39-40-38-02",1,"Transport","","Self-employed/own business",12,3,9,2,1,3200,1,3,2,0,0,0,0,0,0,"",2400,0,1500,"No","Village in region",0,"No","No","No","Yes","No","No","No","No","No",,"2","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","",,,,,,,,,,,,,,,,,"No","No","No","No","No","No","No","No","Yes","No","No",,"No","No","No","Yes","No","No","No","No",,"No",,,,,,,,,,,,"","",,,,,,,,,,,,,,"",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,"","No",2,"Satisfied"
"14-71-87-39",1,"Domestic/household helper","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","home of a farmer","Town or city in another district/region","Seasonal",,,,,,,,,,,,"",,,"Per month",3500,0,1,2,3,4,0,0,0,0,0,"",4,3,7,6,"Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No contract (informal)","","From neighbors or friends","","No",.5,"dissatisfied"
"76-73-19-09",4,"Large-scale farm","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","neighbours farms","In this village","Seasonal",,,,,,,,,,,,"",,,"Per day",300,0,1,0,0,0,0,0,0,0,0,"",5,1,3,5,"No","No","No","No","No","No","No","Yes","No","No","Daily wage labourer","","From neighbors or friends","","No",1,"Very dissatisfied"
"76-73-19-09",4,"Small-scale farm","","Employee",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","neighbouring farms","In this village","Seasonal",,,,,,,,,,,,"",,,"Per day",300,0,1,0,0,0,0,0,0,0,0,"",6,0,3,5,"No","No","No","No","No","No","No","Yes","No","No","Daily wage labourer","","From neighbors or friends","","No",1,"Very dissatisfied"
