interview__key,r_members__id,lbr13,Ibr13_1,Ibr13_2,Ibr13_3,Ibr13_4,Ibr13_5,Ibr13_6,Ibr13_8,Ibr13_9,years_exp_crp,Ibr13_10,Ibr13_11,Ibr13_12,Ibr13_13,years_exp_liv,onfarm_main_use__1,onfarm_main_use__2,onfarm_main_use__3,onfarm_main_use__4,onfarm_main_use__5,onfarm_main_use__6,onfarm_main_use__7,onfarm_main_use__96,onfarm_main_use_oth
"85-11-91-18",1,"Yes",0,0,,,4,3,4,3,6,0,0,,,10,0,2,1,3,0,0,0,0,""
"85-11-91-18",2,"Yes",0,0,,,4,3,4,3,5,0,0,,,7,0,1,2,3,0,0,0,0,""
"38-04-18-34",1,"Yes",2,0,0,,2,0,4,3,1,0,0,,,2,0,1,0,0,0,0,0,0,""
"34-73-96-50",1,"Yes",0,0,,,3,0,4,4,5,5,3,7,24,15,0,1,0,2,0,0,0,0,""
"34-73-96-50",2,"Yes",0,0,,,3,1,4,4,5,4,2,5,4,10,0,1,0,0,0,0,0,0,""
"97-84-26-58",1,"Yes",0,0,,,0,0,,,3,4,3,7,8,20,0,1,0,2,0,0,0,0,""
"44-14-26-56",1,"Yes",0,0,,,4,0,7,7,8,4,3,7,6,20,0,1,3,2,0,0,0,0,""
"44-14-26-56",2,"Yes",0,0,,,3,1,6,3,40,4,3,7,2,20,0,1,3,2,0,0,0,0,""
"44-14-26-56",3,"Yes",0,0,,,4,2,7,2,10,4,3,7,6,13,0,1,0,2,0,0,0,0,""
"44-14-26-56",4,"Yes",0,0,,,2,1,1,2,4,0,0,,,4,0,1,0,2,0,0,0,0,""
"01-51-99-07",1,"Yes",0,0,,,2,0,3,4,20,0,0,,,20,0,3,1,2,0,0,0,0,""
"01-51-99-07",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"39-75-97-43",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"39-75-97-43",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"11-52-82-38",1,"Yes",9,0,6,9,9,0,6,9,26,0,0,,,3,0,2,1,0,0,0,0,0,""
"11-52-82-38",2,"Yes",9,0,2,11,9,0,2,11,30,7,3,5,6,7,0,1,2,0,3,0,0,0,""
"74-04-26-51",1,"Yes",4,0,1,8,4,0,1,8,2,0,0,,,0,0,0,1,0,2,0,3,0,""
"37-83-74-10",1,"Yes",3,0,7,8,0,0,,,10,6,3,5,8,4,0,2,1,0,3,0,0,0,""
"39-40-38-02",1,"Yes",0,0,,,0,0,,,3,9,3,7,3,5,3,1,2,0,0,0,0,0,""
"39-40-38-02",2,"Yes",0,0,,,0,0,,,0,9,3,7,1,1,0,1,2,0,0,0,0,0,""
"14-71-87-39",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"86-00-55-84",1,"Yes",3,0,5,5,3,0,5,5,10,5,1,2,1,10,0,1,2,3,4,5,0,0,""
"86-00-55-84",2,"Yes",8,0,5,6,8,0,5,6,20,9,3,7,1,20,0,3,1,2,4,5,0,0,""
"76-73-19-09",2,"Yes",6,0,2,3,0,0,,,1,0,0,,,0,0,1,0,0,0,0,0,0,""
"76-73-19-09",4,"No",,,,,,,,,,,,,,,,,,,,,,,""
