interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"31-67-19-52","Yes","Yes","No","Yes","Yes",1000,"Yes","Yes","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"85-11-91-18","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"38-04-18-34","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"34-73-96-50","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"93-29-80-09","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"63-89-80-49","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"97-84-26-58","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"44-14-26-56","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"01-78-65-09","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"77-02-48-37","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"46-96-59-64","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"01-51-99-07","No","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"39-75-97-43","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"11-52-82-38","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"19-06-13-08","No","No","No","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"74-04-26-51","Yes","Yes","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"37-83-74-10","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"39-40-38-02","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"14-71-87-39","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"86-00-55-84","No","No","No","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","Yes","No","No","Yes","No","No","No","No","No"
"76-73-19-09","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"17-23-66-97","Yes","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"71-45-81-79","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"53-00-83-03","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"70-80-16-39","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"11-00-74-85","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"16-44-32-23","Yes","Yes","Yes","Yes","Yes",5000,"No","No","No","No","No","No","No","Yes","No","No",,"No","No",,,,,,,,,,,,
"49-09-04-04","No","Yes","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"33-01-13-01","No","No","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"79-39-40-36","No","No","Yes","Yes","Yes",5000,"Yes","No","No","No","No","No","No","Yes","No","No",,"Yes","No",,,,,,,,,,,,
"65-53-51-27","No","Yes","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"64-11-62-56","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"79-53-04-50","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"14-13-86-20","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"19-99-67-92","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"65-80-65-49","No","No","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"08-76-57-31","No","No","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"02-57-88-54","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"36-87-83-91","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"99-46-97-26","Yes","Yes","Yes","Yes","Yes",1000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"76-21-46-00","Yes","Yes","Yes","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"63-02-11-31","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"45-95-07-81","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"15-84-79-29","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"52-10-39-37","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"57-47-06-86","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"70-03-65-67","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"48-58-26-00","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"48-53-15-07","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"44-97-24-07","Yes","Yes","No","Yes","Yes",500,"Yes","No","No","No","No","No","Yes","No","No","No",,"Yes","No",,,,,,,,,,,,
"63-58-57-56","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"50-43-62-27","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"80-45-95-05","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"63-29-07-40","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"54-48-29-18","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"50-16-00-20","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"45-36-57-50","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"49-75-44-53","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"35-67-10-08","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"12-79-91-83","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"19-90-00-01","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"29-86-40-08","No","No","Yes","Yes","Yes",2500,"No","No","No","No","No","No","No","Yes","No","No",,"Yes","No",,,,,,,,,,,,
"10-69-61-22","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"73-57-30-20","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"98-91-04-48","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"74-01-41-82","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"30-00-59-90","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"66-77-39-39","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"35-78-11-70","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"75-25-98-04","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"09-00-12-98","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"13-38-59-03","No","Yes","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"26-77-14-31","Yes","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
