interview__key,r_otherincome__id,inc_oth_amt,int_oth_income,who_other_income__0,who_other_income__1,othinc_pr,othinc_pr_oth,othinc_provider,othinc_provider_oth,benefits,oth_benefits,oth_income_use__1,oth_income_use__2,oth_income_use__3,oth_income_use__4,oth_income_use__5,oth_income_use__6,oth_income_use__7,oth_income_use__96,otherinc_use_others
"31-67-19-52","Savings, interest or other investment income",2000,"Monthly",1,.a,,"",,"",,"",1,0,2,0,0,0,0,0,""
"85-11-91-18","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",5000,"Monthly",2,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"97-84-26-58","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",5000,"Every 6 months",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"01-51-99-07","Savings, interest or other investment income",3500,"Every 6 months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"19-06-13-08","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"74-04-26-51","Savings, interest or other investment income",50000,"Every three months",1,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"14-71-87-39","Other➡️specify:",1500,"Every three months",2,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"86-00-55-84","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",6500,"Every 6 months",1,2,"Poverty reduction program","","NGO","","Cash","",0,1,2,0,0,0,0,0,""
"17-23-66-97","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",7000,"Every year",5,.a,,"",,"",,"",0,0,1,0,0,0,0,0,""
"08-76-57-31","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",2000,"Monthly",2,.a,"Others ➡️ Specify","Orphans and Vulnerable children Cash transfer program","National government","","Cash","",0,1,0,0,0,0,0,0,""
"15-84-79-29","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",1,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"80-45-95-05","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",888,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"49-75-44-53","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"19-90-00-01","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"10-69-61-22","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1200,"Every 6 months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"73-57-30-20","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",7000,"Every three months",2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"13-38-59-03","Other➡️specify:",2000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"26-77-14-31","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1500,"Monthly",7,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"04-52-21-75","Other➡️specify:",5000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,2,0,0,3,0,0,""
"49-10-89-14","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"68-81-12-32","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",1500,"Lump sum (single payment)",2,.a,"Others ➡️ Specify","Sitting allowance","NGO","","Cash","",0,1,0,0,0,0,0,0,""
"92-16-89-27","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,0,1,0,0,0,0,0,""
"01-28-41-84","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Lump sum (single payment)",8,.a,,"",,"",,"",0,2,0,1,0,0,0,0,""
"93-71-36-41","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",4000,"Monthly",1,.a,,"",,"",,"",0,1,0,2,0,3,0,0,""
"40-07-12-46","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",35000,"Every 6 months",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"88-25-56-87","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",3000,"Monthly",1,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"09-54-26-75","Savings, interest or other investment income",2000,"Monthly",1,.a,,"",,"",,"",1,2,3,0,0,0,0,0,""
"97-20-59-08","Savings, interest or other investment income",10000,"Every year",2,.a,,"",,"",,"",0,2,1,0,0,0,0,0,""
"21-43-02-41","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",8000,"Every three months",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"82-77-24-98","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",5000,"Monthly",2,.a,,"",,"",,"",0,0,1,0,0,0,0,0,""
"68-99-96-16","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1000,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"68-47-81-44","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",8000,"Lump sum (single payment)",1,.a,"Poverty reduction program","","National government","","Cash","",0,1,2,3,0,0,0,0,""
"36-96-75-03","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"08-94-02-07","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"08-94-02-07","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Lump sum (single payment)",2,.a,"Poverty reduction program","","NGO","","Cash","",0,2,1,0,0,0,0,0,""
"09-64-46-58","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",25000,"Every 6 months",2,.a,,"",,"",,"",0,1,2,3,4,0,0,0,""
"59-85-28-37","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"81-01-27-26","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Every three months",1,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"09-89-86-48","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",5000,"Monthly",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"54-15-04-81","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",11000,"Lump sum (single payment)",2,.a,"Poverty reduction program","","NGO","","Cash","",0,2,1,3,0,0,4,0,""
"12-04-44-96","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Every three months",1,2,"Poverty reduction program","","NGO","","Cash","",4,1,0,0,2,0,0,3,"Water tank"
"98-27-33-85","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Every three months",1,.a,"Poverty reduction program","","NGO","","Cash","",0,2,3,0,1,4,0,0,""
"68-07-50-59","Rental income, residential property (apartment, house)",8000,"Monthly",2,.a,,"",,"",,"",0,2,1,3,4,0,0,0,""
"02-78-83-36","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",2000,"Monthly",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"69-31-43-37","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",2000,"Monthly",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"72-97-03-54","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",8000,"Every three months",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"50-30-24-70","Other➡️specify:",9000,"Monthly",1,.a,,"",,"",,"",0,1,2,3,4,0,0,0,""
"61-70-56-76","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",40000,"Monthly",1,.a,"Education subsidy","","National government","","Cash","",1,2,0,0,0,0,0,0,""
"65-63-71-66","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",7000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"32-74-61-81","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",2000,"Monthly",1,.a,"Others ➡️ Specify","Orphans and Vulnerable children Cash transfer program","National government","","Cash","",0,1,2,0,0,0,0,0,""
"36-59-31-86","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",2000,"Monthly",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"85-50-39-09","Savings, interest or other investment income",20000,"Monthly",1,.a,,"",,"",,"",1,2,3,0,0,0,0,0,""
"59-21-82-77","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"59-21-82-77","Other➡️specify:",15000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"33-11-85-60","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Monthly",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"95-73-95-89","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"91-34-05-43","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"54-07-56-18","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",3000,"Monthly",1,.a,,"",,"",,"",0,1,3,2,0,0,0,0,""
"02-67-98-73","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Monthly",1,.a,,"",,"",,"",1,0,0,0,0,0,0,0,""
"25-47-42-18","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",8000,"Every three months",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,3,2,0,0,0,0,""
"90-89-89-25","Other➡️specify:",10000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"48-88-82-47","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",4500,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"79-40-96-41","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",2000,"Every three months",2,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"67-12-09-24","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",500,"Monthly",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"63-23-35-27","Other➡️specify:",60000,"Every year",1,10,,"",,"",,"",0,1,2,0,0,0,0,0,""
"65-31-14-31","Rental income, residential property (apartment, house)",12000,"Every 6 months",1,.a,,"",,"",,"",1,0,0,2,0,0,0,0,""
"71-04-48-02","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"24-04-95-50","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",5000,"Monthly",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,2,3,0,0,0,0,""
"24-04-95-50","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",2000,"Monthly",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,2,0,0,0,0,0,""
"11-10-12-08","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",5000,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"59-89-68-30","Savings, interest or other investment income",12000,"Every 6 months",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"22-38-73-99","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",2000,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"22-88-97-60","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",6000,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"47-75-71-27","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",6000,"Monthly",1,2,,"",,"",,"",0,1,3,2,0,0,0,0,""
"85-71-09-15","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",5000,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"86-63-74-80","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,2,1,3,0,0,0,0,""
"67-27-36-61","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",3000,"Monthly",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"41-71-16-88","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1000,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"68-60-50-68","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"46-89-69-47","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Every three months",1,.a,,"",,"",,"",1,0,0,0,0,0,0,0,""
"46-89-69-47","Savings, interest or other investment income",20000,"Every 6 months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"21-95-76-65","Savings, interest or other investment income",2000,"Monthly",1,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"10-18-23-80","Payments for environmental/ecological services or nature conservation for instance, payments by the conservancies",5000,"Every year",4,.a,,"",,"",,"",0,0,1,0,0,0,0,0,""
"31-09-36-85","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",2000,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"64-46-73-61","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",35000,"Monthly",1,.a,"Poverty reduction program","","NGO","","Cash","",0,0,0,0,1,0,0,0,""
"13-37-47-48","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Every three months",1,.a,,"",,"",,"",0,1,0,3,2,0,0,4,"water pipes"
"22-02-49-30","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1000,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"04-02-73-28","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",110000,"Lump sum (single payment)",2,.a,,"",,"",,"",0,1,2,4,3,0,0,0,""
"57-09-51-71","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1000,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"45-10-68-85","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",35000,"Monthly",2,.a,"Poverty reduction program","","NGO","","Cash","",0,0,0,0,1,0,0,0,""
"61-58-42-30","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Monthly",1,.a,,"",,"",,"",0,2,1,3,0,0,0,0,""
"46-76-02-18","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",2000,"Monthly",2,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"51-19-72-02","Other➡️specify:",20000,"Lump sum (single payment)",1,2,,"",,"",,"",0,1,2,3,4,0,0,0,""
"49-20-15-79","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"49-20-15-79","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110,"Every three months",1,.a,"Poverty reduction program","","NGO","","Cash","",0,0,0,0,1,0,0,0,""
"35-77-55-36","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",2,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"17-30-57-13","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",5000,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"10-78-86-05","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Every three months",1,.a,"Poverty reduction program","","NGO","","Cash","",0,2,1,0,0,0,0,0,""
"86-94-71-57","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",500,"Monthly",2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"13-52-61-75","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Lump sum (single payment)",1,.a,"Poverty reduction program","","NGO","","Cash","",1,0,0,0,0,0,3,2,"fencing of the land"
"91-09-88-25","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Lump sum (single payment)",1,.a,"Poverty reduction program","","NGO","","Cash","",1,0,2,0,3,0,0,0,""
"56-78-97-61","Payments for environmental/ecological services or nature conservation for instance, payments by the conservancies",5000,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"50-93-16-91","Savings, interest or other investment income",12000,"Every year",1,.a,,"",,"",,"",0,1,2,3,4,0,0,0,""
"37-58-34-11","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",6000,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"33-93-90-01","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Lump sum (single payment)",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,2,3,4,0,0,5,"buy goats"
"55-74-55-01","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Lump sum (single payment)",2,.a,"Poverty reduction program","","NGO","","Cash","",1,0,0,0,0,0,0,0,""
"59-04-53-64","Savings, interest or other investment income",5000,"Lump sum (single payment)",5,.a,"Others ➡️ Specify","Individual savings","Other➡️specify","Sacco","Cash","",0,1,3,0,2,0,0,0,""
"59-04-53-64","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",20000,"Every three months",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,3,2,4,0,0,0,""
"82-68-38-51","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",3,"Every three months",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"82-68-38-51","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Lump sum (single payment)",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,3,0,0,2,"fencing"
"36-02-93-74","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",10000,"Monthly",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"36-02-93-74","Rental income, residential property (apartment, house)",5000,"Monthly",1,.a,,"",,"",,"",0,0,1,0,0,0,0,0,""
"64-62-65-29","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",1,.a,,"",,"",,"",0,2,1,3,0,0,0,0,""
"57-81-30-05","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,0,0,0,0,0,0,1,"crop cultivation"
"50-74-95-60","Rental income, residential property (apartment, house)",500,"Monthly",2,.a,,"",,"",,"",0,1,2,0,3,0,0,0,""
"36-65-12-21","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",5000,"Monthly",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"97-41-99-18","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",5000,"Monthly",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,0,0,0,0,""
"80-92-01-63","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"80-92-01-63","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",35000,"Monthly",1,.a,"Poverty reduction program","","NGO","","Cash","",0,2,0,1,0,0,0,0,""
"39-04-13-87","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",6000,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"07-91-23-12","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"48-70-52-60","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",15000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"03-69-84-05","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1500,"Monthly",2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"55-07-48-89","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",110000,"Lump sum (single payment)",2,.a,,"",,"",,"",0,2,1,3,5,0,0,4,"crop farming and  purchase of livestock"
"86-61-90-88","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",500,"Monthly",3,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"38-25-54-65","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",5067,"Monthly",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,0,0,0,0,""
"54-34-58-95","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",110000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,2,1,4,3,0,0,0,""
"27-87-86-78","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Lump sum (single payment)",2,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"48-20-93-40","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Lump sum (single payment)",2,.a,"Poverty reduction program","","NGO","","Cash","",0,2,1,0,0,0,0,0,""
"60-02-55-31","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",45,"Every three months",1,.a,"Poverty reduction program","","NGO","","Cash","",0,0,0,0,1,0,0,0,""
"72-15-05-10","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Lump sum (single payment)",2,.a,"Poverty reduction program","","NGO","","Cash","",0,0,1,0,0,0,0,0,""
"93-25-93-51","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",5000,"Monthly",2,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,0,0,0,0,""
"95-71-10-81","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"12-15-65-08","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",5067,"Every three months",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,0,0,0,0,""
"21-46-83-44","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",6000,"Monthly",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,0,0,0,0,""
"92-47-39-90","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",12,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"76-33-66-65","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"20-69-31-32","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Lump sum (single payment)",1,2,,"",,"",,"",0,1,0,2,0,0,0,0,""
"20-69-31-32","Other➡️specify:",20000,"Every year",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"32-73-67-08","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",9000,"Monthly",1,.a,"Education subsidy","","Local county government","","Cash","",0,1,0,0,0,0,0,0,""
