interview__key,r_members__id,prosopis_use,prosopis_use_rank,income_use_1,who
"01-51-99-07",1,"As a shade against the sun",1,,1
"01-51-99-07",1,"For firewood and charcoal production",2,5000,1
"01-51-99-07",1,"Wind protection (prevent whirl winds)",3,,1
"39-75-97-43",1,"As a shade against the sun",1,,1
"39-75-97-43",1,"For firewood and charcoal production",3,2000,1
"39-75-97-43",1,"Fencing and building materials",2,0,1
"11-52-82-38",2,"For firewood and charcoal production",1,1000,1
"11-52-82-38",2,"Fencing and building materials",2,0,1
"11-52-82-38",8,"For firewood and charcoal production",1,0,1
"19-06-13-08",1,"As a shade against the sun",1,,1
"74-04-26-51",1,"For firewood and charcoal production",1,0,2
"37-83-74-10",1,"As a shade against the sun",1,,1
"37-83-74-10",1,"For firewood and charcoal production",2,0,1
"37-83-74-10",2,"As a shade against the sun",1,,1
"39-40-38-02",1,"For firewood and charcoal production",2,2500,1
"39-40-38-02",1,"Fencing and building materials",1,0,1
"39-40-38-02",1,"Soil and water conservation",3,,1
"39-40-38-02",2,"For firewood and charcoal production",1,0,2
"14-71-87-39",2,"As a shade against the sun",1,,2
"14-71-87-39",2,"For firewood and charcoal production",3,20000,2
"14-71-87-39",2,"Wind protection (prevent whirl winds)",2,,1
"86-00-55-84",2,"As a shade against the sun",1,,1
"86-00-55-84",2,"For firewood and charcoal production",2,15000,1
"86-00-55-84",2,"Fencing and building materials",3,0,1
"76-73-19-09",1,"For firewood and charcoal production",1,0,1
"76-73-19-09",2,"For firewood and charcoal production",1,0,1
"53-00-83-03",1,"For firewood and charcoal production",1,0,2
"70-80-16-39",2,"For firewood and charcoal production",1,0,2
"70-80-16-39",2,"Fencing and building materials",2,0,1
"70-80-16-39",4,"As a shade against the sun",1,,2
"70-80-16-39",4,"For firewood and charcoal production",2,0,2
"70-80-16-39",4,"Fencing and building materials",3,0,1
"11-00-74-85",1,"For firewood and charcoal production",1,0,2
"11-00-74-85",1,"Fencing and building materials",2,0,1
"11-00-74-85",2,"As a shade against the sun",3,,1
"11-00-74-85",2,"For firewood and charcoal production",2,0,4
"11-00-74-85",2,"Fencing and building materials",1,0,1
"16-44-32-23",1,"As a shade against the sun",1,,1
"16-44-32-23",1,"For firewood and charcoal production",2,0,2
"16-44-32-23",2,"For firewood and charcoal production",1,0,2
"49-09-04-04",2,"As a shade against the sun",1,,1
"49-09-04-04",2,"For firewood and charcoal production",2,500,1
"49-09-04-04",2,"Wind protection (prevent whirl winds)",3,,1
"33-01-13-01",1,"For firewood and charcoal production",1,16000,1
"33-01-13-01",2,"For firewood and charcoal production",2,6000,1
"33-01-13-01",2,"Fencing and building materials",1,0,1
"79-39-40-36",1,"As a shade against the sun",1,,1
"65-53-51-27",1,"For firewood and charcoal production",1,0,1
"65-53-51-27",1,"Fencing and building materials",2,0,1
"64-11-62-56",1,"For firewood and charcoal production",1,0,3
"64-11-62-56",1,"Fencing and building materials",2,0,1
"64-11-62-56",3,"As a shade against the sun",1,,1
"64-11-62-56",3,"For firewood and charcoal production",2,0,3
"64-11-62-56",3,"Fencing and building materials",3,0,1
"79-53-04-50",2,"As a shade against the sun",2,,2
"79-53-04-50",2,"For firewood and charcoal production",1,20000,2
"79-53-04-50",2,"Fencing and building materials",3,0,1
"14-13-86-20",2,"As a shade against the sun",1,,1
"14-13-86-20",2,"For firewood and charcoal production",2,14000,1
"14-13-86-20",2,"Fencing and building materials",3,0,1
"19-99-67-92",1,"As a shade against the sun",1,,1
"19-99-67-92",1,"For firewood and charcoal production",2,0,1
"19-99-67-92",1,"As animal fodder",3,0,1
"65-80-65-49",1,"For firewood and charcoal production",1,72000,1
"65-80-65-49",1,"Fencing and building materials",2,0,1
"08-76-57-31",1,"As a shade against the sun",2,,2
"08-76-57-31",1,"For firewood and charcoal production",1,48000,1
"08-76-57-31",1,"Fencing and building materials",3,0,1
"08-76-57-31",2,"As a shade against the sun",1,,2
"08-76-57-31",2,"For firewood and charcoal production",2,20000,1
"08-76-57-31",2,"Fencing and building materials",3,0,1
"99-46-97-26",1,"For firewood and charcoal production",2,0,2
"99-46-97-26",1,"Fencing and building materials",1,0,1
"76-21-46-00",1,"For firewood and charcoal production",2,0,1
"76-21-46-00",1,"Fencing and building materials",1,0,2
"76-21-46-00",2,"As a shade against the sun",1,,2
"76-21-46-00",2,"For firewood and charcoal production",2,0,1
"76-21-46-00",2,"Fencing and building materials",3,0,2
"63-02-11-31",1,"For firewood and charcoal production",2,0,2
"63-02-11-31",1,"Fencing and building materials",1,0,1
"63-02-11-31",2,"For firewood and charcoal production",2,0,2
"63-02-11-31",2,"Fencing and building materials",1,0,1
"52-10-39-37",2,"Nothing, no use for me",1,,1
"52-10-39-37",3,"Nothing, no use for me",1,,1
"57-47-06-86",1,"Nothing, no use for me",1,,1
"57-47-06-86",3,"Nothing, no use for me",1,,1
"48-53-15-07",1,"Nothing, no use for me",1,,1
"48-53-15-07",2,"Nothing, no use for me",1,,1
"44-97-24-07",1,"As a shade against the sun",2,,1
"44-97-24-07",1,"For firewood and charcoal production",3,12000,2
"44-97-24-07",1,"Fencing and building materials",1,0,1
"44-97-24-07",2,"As a shade against the sun",3,,1
"44-97-24-07",2,"For firewood and charcoal production",1,0,2
"44-97-24-07",2,"Fencing and building materials",2,0,1
"98-91-04-48",1,"As a shade against the sun",1,,1
"98-91-04-48",1,"For firewood and charcoal production",2,0,1
"98-91-04-48",2,"As a shade against the sun",1,,1
"35-78-11-70",1,"As a shade against the sun",1,,1
"35-78-11-70",1,"For firewood and charcoal production",2,0,1
"35-78-11-70",1,"Fencing and building materials",3,0,1
"75-25-98-04",1,"As a shade against the sun",1,,1
"75-25-98-04",1,"For firewood and charcoal production",2,0,1
"75-25-98-04",1,"Fencing and building materials",3,0,1
"09-00-12-98",2,"For firewood and charcoal production",1,5000,2
"09-00-12-98",2,"Fencing and building materials",2,0,2
"09-00-12-98",2,"As animal fodder",3,0,2
"13-38-59-03",1,"For firewood and charcoal production",1,0,1
"13-38-59-03",1,"Fencing and building materials",2,0,1
"13-38-59-03",1,"Soil and water conservation",3,,1
"26-77-14-31",1,"As a shade against the sun",3,,1
"26-77-14-31",1,"For firewood and charcoal production",1,36000,1
"26-77-14-31",1,"Fencing and building materials",2,0,1
