interview__key,r_purpose_tr__id,road_4__1,road_4__2,road_4__3,road_4__4,road_4__5,road_4__6,road_4__7,road_4__8,road_4__96,road_5
"31-67-19-52","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"85-11-91-18","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"85-11-91-18","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"85-11-91-18","Access medical treatment","Yes","No","No","No","Yes","No","No","No","No","A few times a year"
"38-04-18-34","Go to the market","Yes","No","No","No","No","No","Yes","No","No","Once a week or more often"
"38-04-18-34","Go to school","Yes","No","No","No","No","No","Yes","No","No","Once a week or more often"
"34-73-96-50","Go to the market","Yes","Yes","No","No","Yes","No","No","No","No","Almost every week"
"93-29-80-09","Go to the market","Yes","No","No","No","No","No","No","No","No","Less often"
"93-29-80-09","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"63-89-80-49","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"97-84-26-58","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"97-84-26-58","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"97-84-26-58","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Almost every week"
"44-14-26-56","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"44-14-26-56","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"44-14-26-56","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Almost every week"
"01-78-65-09","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"77-02-48-37","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"77-02-48-37","Visit friends/ relatives","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"46-96-59-64","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"46-96-59-64","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"01-51-99-07","Go to the market","Yes","No","No","No","Yes","No","No","No","No","Once or twice a month"
"01-51-99-07","Go to school","Yes","No","No","No","Yes","No","No","No","No","A few times a year"
"01-51-99-07","Got to workplace","Yes","No","No","No","No","No","No","No","No","Almost every week"
"39-75-97-43","Go to the market","Yes","No","No","No","Yes","No","No","No","No","Almost every week"
"39-75-97-43","Go to school","Yes","No","No","No","Yes","No","No","No","No","Varies/don’t know"
"39-75-97-43","Access medical treatment","Yes","No","No","No","Yes","No","No","No","No","Varies/don’t know"
"39-75-97-43","Go to the field","Yes","No","No","No","Yes","No","No","No","No","Almost every week"
"11-52-82-38","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"11-52-82-38","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"11-52-82-38","Go to the field","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"19-06-13-08","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"19-06-13-08","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"74-04-26-51","Go to the market","No","No","No","No","Yes","No","No","No","No","Once a week or more often"
"74-04-26-51","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"74-04-26-51","Access medical treatment","No","No","No","No","Yes","No","No","No","No","Once or twice a month"
"37-83-74-10","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"37-83-74-10","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"39-40-38-02","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"39-40-38-02","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"39-40-38-02","Got to workplace","Yes","No","No","No","No","No","No","No","No","Almost every week"
"39-40-38-02","Visit recreational places","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"39-40-38-02","Go to the field","Yes","No","No","No","No","No","No","No","No","Almost every week"
"14-71-87-39","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"14-71-87-39","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
