interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11__1,road_11__2,road_11__3,road_11__96,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"31-67-19-52","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,120,"No",,,,,,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"85-11-91-18","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","No","No","No","No",,45,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"38-04-18-34","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","No","No","No","No","No",,20,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"34-73-96-50","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,30,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"93-29-80-09","Murram/ gravel road","Well passable","Yes","Yes","No","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"63-89-80-49","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"97-84-26-58","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"44-14-26-56","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","No","No","No","No",,5,"Yes","No",,"Yes","Yes","No","No","No",,"No","Yes","Yes","Yes","Yes","No","No","No",,"Yes","No","No","No","No","Yes","No",
"01-78-65-09","Tarmac road","Well passable","Yes","No","No","No","No","No","No","No",,120,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"77-02-48-37","Murram/ gravel road","Well passable","Yes","No","No","No","Yes","No","No","No",,20,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"46-96-59-64","Murram/ gravel road","Well passable","Yes","Yes","No","No","No","No","No","No",,15,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"01-51-99-07","Murram/ gravel road","Almost not passable","Yes","Yes","No","Yes","No","No","No","No",,5,"Yes","No",,"No",,,,,,"Yes","Yes","No","No","No","No","No","No",,"Yes","No","No","No","Yes","No","No",
"39-75-97-43","Murram/ gravel road","Almost not passable","Yes","Yes","Yes","No","No","No","Yes","No",,10,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","Yes","No",
"11-52-82-38","Murram/ gravel road","Well passable","Yes","Yes","No","No","No","No","Yes","No",,4,"Yes","No",,"No",,,,,,"No","Yes","Yes","No","Yes","No","No","No",,"No","No","No","No","No","Yes","No",
"19-06-13-08","Murram/ gravel road","Well passable","Yes","Yes","No","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
