interview__key,r_shocks__id,r_shocks,sh_1,sh_2,sh_3__1,sh_3__2,sh_3__3,sh_3__4,sh_3__5,sh_3__6,sh_3__7,sh_3__8,sh_3__9,sh_3__10,sh_3__11,sh_3__12,sh_3__13,sh_3__14,sh_3__96,sh_3_oth,sh_4,sh_5,sh_6,sh_7
"31-67-19-52",7,"Drought or Extended Period of No Rain",1,"Very severe",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"31-67-19-52",10,"Livestock Disease/Death",2,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"injection and use of medicinal plants to treat the disease","Very  likely","Not very likely","Not very likely",0
"85-11-91-18",5,"Robbery/Burglary",1,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not very likely","Not very likely","Very  likely",0
"85-11-91-18",7,"Drought or Extended Period of No Rain",10,"Very severe",0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"85-11-91-18",9,"Crop Failure",1,"Very severe",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"","Not very likely","Not very likely","Very  likely",0
"85-11-91-18",10,"Livestock Disease/Death",2,"Very severe",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"","Not very likely","Not very likely","Very  likely",0
"85-11-91-18",15,"Large Rise in Prices of Food",12,"Very severe",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"","Not very likely","Not very likely","Very  likely",0
"85-11-91-18",16,"Large Rise in Prices of Agricultural Inputs(E.g.Agrochemicals,Machinery,HiredLabour)",1,"Mild",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Extremely likely","Extremely likely","Not very likely",0
"85-11-91-18",19,"Ethnic or Clan Clashes",2,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not very likely","Not very likely","Very  likely",0
"34-73-96-50",7,"Drought or Extended Period of No Rain",1,"Severe",0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,"","Not very likely","Not very likely","Not very likely",0
"34-73-96-50",9,"Crop Failure",2,"Severe",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"34-73-96-50",14,"Large Fall in Sale Prices for Cropsand or Livestock",1,"Mild",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not very likely","Not very likely","Not very likely",0
"34-73-96-50",15,"Large Rise in Prices of Food",1,"Severe",0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,"","Not very likely","Not very likely","Not very likely",0
"93-29-80-09",7,"Drought or Extended Period of No Rain",6,"Very severe",0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,"","Very  likely","Not very likely","Not very likely",0
"93-29-80-09",10,"Livestock Disease/Death",3,"Very severe",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"","Very  likely","Not very likely","Not at all likely",0
"63-89-80-49",7,"Drought or Extended Period of No Rain",3,"Very severe",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Not very likely","Not very likely",0
"63-89-80-49",10,"Livestock Disease/Death",2,"Severe",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not at all likely",0
"97-84-26-58",7,"Drought or Extended Period of No Rain",9,"Very severe",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"97-84-26-58",9,"Crop Failure",1,"Very severe",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"97-84-26-58",10,"Livestock Disease/Death",34,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not very likely","Not very likely","Not very likely",0
"97-84-26-58",12,"Household Business Failure(Non-Agricultural)",2,"Severe",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"97-84-26-58",15,"Large Rise in Prices of Food",10,"Very severe",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"","Not very likely","Not very likely","Not very likely",0
"97-84-26-58",19,"Ethnic or Clan Clashes",2,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Not very likely","Not very likely","Not at all likely",0
"44-14-26-56",5,"Robbery/Burglary",1,"Severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Very  likely","Not very likely","Not very likely",0
"44-14-26-56",7,"Drought or Extended Period of No Rain",8,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"charcoal","Not very likely","Not very likely","Not very likely",0
"44-14-26-56",9,"Crop Failure",3,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not very likely","Not very likely","Not very likely",0
"44-14-26-56",10,"Livestock Disease/Death",20,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,"selling of charcoal","Not very likely","Not very likely","Not very likely",0
"44-14-26-56",15,"Large Rise in Prices of Food",12,"Very severe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"selling charcoal","Not at all likely","Not at all likely","Not very likely",0
