interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"31-67-19-52","Agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
"85-11-91-18","Agree","Agree","Agree","Agree","Disagree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","distrust","trust","trust","Worried","Worried","Worried","Very worried","Worried","Worried","Not at all worried","Worried","Very worried","Worried"
"38-04-18-34","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","trust","trust","distrust","distrust","trust","Not at all worried","Not at all worried","Very worried","Very worried","Very worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"34-73-96-50","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Indifferent (neither nor)","Disagree","Disagree","trust","trust","distrust","trust","trust","Not at all worried","Worried","Worried","Worried","Worried","Slightly worried","Slightly worried","Not at all worried","Worried","Not at all worried"
"93-29-80-09","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","trust","trust","trust","trust","trust","Worried","Very worried","Worried","Worried","Worried","Worried","Very worried","Worried","Worried","Slightly worried"
"63-89-80-49","Strongly agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Worried","Worried","Slightly worried","Worried","Worried","Worried","Worried","Worried","Worried"
"97-84-26-58","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","distrust","distrust","strongly trust","Worried","Very worried","Very worried","Worried","Slightly worried","Slightly worried","Not at all worried","Not at all worried","Extremely worried","Not at all worried"
"44-14-26-56","Strongly agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","distrust","trust","trust","Very worried","Worried","Very worried","Worried","Slightly worried","Very worried","Slightly worried","Not at all worried","Very worried","Not at all worried"
"01-78-65-09","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","Agree","Agree","Disagree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","distrust","indifferent","trust","Worried","Worried","Very worried","Very worried","Extremely worried","Worried","Slightly worried","Slightly worried","Very worried","Slightly worried"
"77-02-48-37","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Not at all worried","Worried","Worried","Worried","Worried","Worried","Worried","Not at all worried","Worried","Worried"
