interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s14_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"31-67-19-52",5.38,12.1,1.12,3.918877005347594,.2,6.7,4.95,5.79,31.04,5.95,1.25,25.738,1.22,5.47,2.19,6,119.0168770053476,"00.02:43:14",163.2333333333333,"2023-07-14","07:53:24"
"85-11-91-18",3.65,26,2.87,3.918877005347594,4.434168126094571,10.69,7.62,5.061836007130124,23.83916221033868,6.207379679144385,.8519434628975265,17.17390374331551,2.71,3.68,5.3,2.25,126.2572702342684,"00.04:17:28",257.4666666666666,"2023-07-14","07:33:10"
"38-04-18-34",4.09,29.118,1.31,6.16,5.6,.26,2.74,7.38,23.95,7.83,.38,17.17390374331551,2.01,2.2,3.526886120996441,3.8,117.5287898643119,"00.02:15:28",135.4666666666667,"2023-07-15","10:38:39"
"34-73-96-50",5.22,18.18393939393939,3.502999999999998,6.29,4.434168126094571,6.248379790940766,8.539999999999999,5.061836007130124,23.83916221033868,6.207379679144385,1.38,17.17390374331551,2.07,5.94,3.526886120996441,3.532326820603908,121.1509818925038,"00.04:56:36",296.6,"2023-07-14","08:08:54"
"93-29-80-09",1.98,14.16,2.71,2.31,.21,6.48,3.06,3.4,23.78,4.46,.36,20.3,.85,1.93,1.47,3.51,90.97,"00.01:37:46",97.76666666666667,"2023-07-15","13:11:40"
"63-89-80-49",3.610871886120997,10.05,1.44,2.57,.15,.26,5.030604982206405,5.061836007130124,27.45,5.04,.31,25.738,.77,3.87,3.526886120996441,3.6,98.47819899645397,"00.01:48:59",108.9833333333333,"2023-07-15","10:40:32"
"97-84-26-58",2.55,18.44,1.56,6.29,.23,9.51,4.08,5.061836007130124,23.83916221033868,6.207379679144385,1.47,25.738,1.568812056737589,1.78,3.38,2.09,113.7951899533508,"00.02:26:27",146.45,"2023-07-15","11:49:44"
"44-14-26-56",3.4,18.18393939393939,3.502999999999998,3.918877005347594,4.434168126094571,12.168,5.32,5.061836007130124,23.83916221033868,7.11,.5600000000000001,17.17390374331551,1.34,5.958,6.02,3.59,121.5808864861659,"00.04:15:13",255.2166666666667,"2023-07-15","07:02:39"
"01-78-65-09",2.18,16.12,1.466543209876543,3.44,.29,6.04,5.030604982206405,5.59,22.48,7.9,.65,12.58,.92,2.13,1.78,2.43,91.02714819208295,"00.01:31:26",91.43333333333334,"2023-07-15","13:55:36"
"77-02-48-37",2.16,12.62,2.56,2.97,.25,7.97,4.11,3.15,35.23,6.207379679144385,.33,17.17390374331551,.87,1.82,3.48,3.532326820603908,104.4336102430638,"00.02:05:15",125.25,"2023-07-15","07:17:19"
"46-96-59-64",3.610871886120997,22.3,1.49,3.46,5.32,10.95,7.18,5.061836007130124,23.2,5.65,.39,10.87,1.65,3.26,3.19,5.13,112.7127078932511,"00.01:56:23",116.3833333333333,"2023-07-15","12:47:37"
