interview__key,h09,h09_oth,h09_1__1,h09_1__2,h09_1__3,h09_1__4,h09_1__5,h09_1__6,h09_1__96,h09_6__1,h09_6__2,h09_6__3,h09_6__4,h09_6__96,h10,h10_1,h11,h11_1
"77-20-39-35","household is connected to the electrical grid","","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Yes","No","Firewood","","Electricity",""
"71-78-53-70","household is connected to the electrical grid","","Yes","No","No","No","Yes","Yes","No","No","Yes","Yes","No","No","Firewood","","Electricity",""
"46-91-82-56","household is connected to the electrical grid","","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","No","Firewood","","Electricity",""
"20-85-85-47","NONE","",,,,,,,,,,,,,"Firewood","","Torch",""
"34-53-75-33","household is connected to the electrical grid","","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No","Electric cookers","","Electricity",""
"56-13-50-35","household is connected to the electrical grid","","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes","No","Charcoal","","Electricity",""
"58-38-99-88","household is connected to the electrical grid","","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","Firewood","","Electricity",""
"81-26-40-75","household is connected to the electrical grid","","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Firewood","","Electricity",""
"39-76-70-00","NONE","",,,,,,,,,,,,,"Firewood","","Torch",""
"84-11-99-46","household is connected to the electrical grid","","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","Firewood","","Electricity",""
"07-72-86-35","household is connected to the electrical grid","","Yes","No","No","Yes","Yes","No","No","Yes","Yes","No","No","No","Firewood","","Electricity",""
"76-67-31-58","household is connected to the electrical grid","","Yes","No","No","No","No","No","No","No","No","Yes","No","No","Firewood","","Electricity",""
"37-57-47-28","household is connected to the electrical grid","","Yes","No","No","Yes","Yes","No","No","Yes","Yes","No","No","No","Firewood","","Electricity",""
"01-40-66-32","NONE","",,,,,,,,,,,,,"Firewood","","Torch",""
"13-26-58-11","NONE","",,,,,,,,,,,,,"Firewood","","Torch",""
"53-48-83-71","NONE","",,,,,,,,,,,,,"Firewood","","Torch",""
"27-13-62-90","NONE","",,,,,,,,,,,,,"Firewood","","Candle",""
"85-22-01-46","household is connected to the electrical grid","","Yes","No","No","Yes","No","No","No","Yes","Yes","No","Yes","No","Firewood","","Electricity",""
"69-98-12-23","own electricity generation: solar panel","","Yes","No","No","No","No","No","No","No","No","No","Yes","No","Firewood","","Torch",""
"13-16-89-71","household is connected to the electrical grid","","Yes","No","No","Yes","No","No","No","Yes","Yes","Yes","No","No","Firewood","","Electricity",""
"56-66-41-20","NONE","",,,,,,,,,,,,,"Firewood","","Torch",""
"81-47-86-65","household is connected to the electrical grid","","Yes","No","Yes","Yes","No","No","No","Yes","No","No","Yes","No","Firewood","","Electricity",""
"93-67-97-18","own electricity generation: solar panel","","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","Firewood","","Solar",""
"38-26-42-37","household is connected to the electrical grid","","Yes","No","No","Yes","No","Yes","No","No","Yes","No","No","No","Firewood","","Electricity",""
"05-99-34-61","household is connected to the electrical grid","","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Electric cookers","","Electricity",""
"82-77-34-88","household is connected to the electrical grid","","Yes","No","No","Yes","Yes","No","No","No","Yes","No","No","No","Firewood","","Electricity",""
"58-42-23-81","NONE","",,,,,,,,,,,,,"Firewood","","Solar",""
"41-08-83-81","household is connected to the electrical grid","","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Firewood","","Electricity",""
"37-72-45-16","household is connected to the electrical grid","","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","Firewood","","Electricity",""
"86-82-46-77","household is connected to the electrical grid","","Yes","No","No","No","Yes","No","No","Yes","Yes","No","No","No","Firewood","","Electricity",""
"35-59-75-62","NONE","",,,,,,,,,,,,,"Firewood","","Candle",""
"31-89-28-30","NONE","",,,,,,,,,,,,,"Firewood","","Torch",""
"61-82-08-02","NONE","",,,,,,,,,,,,,"Firewood","","Torch",""
"67-96-75-77","NONE","",,,,,,,,,,,,,"Firewood","","Torch",""
"19-03-14-53","household is connected to the electrical grid","","Yes","No","No","Yes","Yes","No","No","No","No","No","Yes","No","Firewood","","Electricity",""
"12-01-31-29","household is connected to the electrical grid","","Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","No","Firewood","","Electricity",""
"16-72-17-16","household is connected to the electrical grid","","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No","No","Electric cookers","","Electricity",""
"38-21-18-12","household is connected to the electrical grid","","Yes","No","No","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Firewood","","Electricity",""
"75-80-02-90","household is connected to the electrical grid","","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","Firewood","","Electricity",""
"43-41-21-85","household is connected to the electrical grid","","Yes","No","No","No","No","No","No","No","Yes","No","No","No","Firewood","","Electricity",""
"66-22-88-29","household is connected to the electrical grid","","Yes","No","No","Yes","No","No","No","Yes","No","No","No","Yes","Firewood","","Electricity",""
"42-66-53-78","NONE","",,,,,,,,,,,,,"Firewood","","Torch",""
"19-23-31-06","household is connected to the electrical grid","","Yes","No","No","Yes","No","No","No","Yes","Yes","No","Yes","No","Firewood","","Electricity",""
"62-33-60-14","household is connected to the electrical grid","","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","No","Firewood","","Electricity",""
"89-36-04-43","household is connected to the electrical grid","","Yes","No","No","Yes","Yes","No","No","Yes","Yes","No","No","No","Firewood","","Electricity",""
"87-86-68-37","household is connected to the electrical grid","","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Electric cookers","","Electricity",""
"12-94-76-31","NONE","",,,,,,,,,,,,,"Firewood","","Torch",""
"25-74-03-84","NONE","",,,,,,,,,,,,,"Firewood","","Torch",""
"98-23-98-25","household is connected to the electrical grid","","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Firewood","","Electricity",""
