interview__key,consev_hh,consev_name,consev_typ__1,consev_typ__2,consev_typ__3,consev_typ__4,consev_typ__5,consev_meb,consev_exphh,consev_expcom,consev_cash,consev_fd,consev_fdamt,consev_adben,consev_ad,consev_ben,consev_mt,wld_conft,wld_confl_frequ,wld_dmg__1,wld_dmg__2,wld_dmg__3,wld_dmg__96,wld_dmgcomp,comp_amt
"77-20-39-35","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"71-78-53-70","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"46-91-82-56","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"20-85-85-47","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"34-53-75-33","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"56-13-50-35","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"58-38-99-88","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"81-26-40-75","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"39-76-70-00","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"84-11-99-46","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"07-72-86-35","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"76-67-31-58","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"37-57-47-28","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"01-40-66-32","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"13-26-58-11","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"53-48-83-71","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"27-13-62-90","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"85-22-01-46","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"69-98-12-23","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"13-16-89-71","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"56-66-41-20","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"81-47-86-65","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"93-67-97-18","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"38-26-42-37","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"05-99-34-61","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"82-77-34-88","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"58-42-23-81","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"41-08-83-81","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"37-72-45-16","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"86-82-46-77","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"35-59-75-62","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"31-89-28-30","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"61-82-08-02","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"67-96-75-77","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"19-03-14-53","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"12-01-31-29","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"16-72-17-16","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"38-21-18-12","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"75-80-02-90","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"43-41-21-85","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"66-22-88-29","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"42-66-53-78","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"19-23-31-06","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"62-33-60-14","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"89-36-04-43","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"87-86-68-37","Yes","Sombe Conservancy","Yes","No","No","No","No","Yes","Positive effect","Neutral (or no effect)","No",1,5,"No","","Satisfied","Never","No",,,,,,,
"12-94-76-31","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"25-74-03-84","Yes","Impala conservancy","Yes","No","No","No","No","Yes","Positive effect","Positive effect","No",2,,"No","","Satisfied","Less than once a month","No",,,,,,,
"98-23-98-25","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"01-01-07-49","Yes","Impalila Conservancy","Yes","No","No","No","No","Yes","Very negative effect","Very negative effect","No",2,,"No","","Very dissatisfied","Less than once a month","No",,,,,,,
"05-21-83-90",,"",,,,,,,,,,,,,"",,,,,,,,,,
"77-16-48-10","Yes","Impalila conservancy","Yes","No","Yes","No","No","Yes","Neutral (or no effect)","Neutral (or no effect)","No",2,,"No","","dissatisfied","Never","No",,,,,,,
"75-23-18-05","Yes","Impalila Conservancy","Yes","No","No","No","No","Yes","Neutral (or no effect)","Neutral (or no effect)","No",0,,"No","","dissatisfied","Never","No",,,,,,,
"83-84-60-99","Yes","Kasika conservancy","Yes","No","No","No","No","Yes","Very negative effect","Very negative effect","No",2,,"No","","Very dissatisfied","Never","Yes",2,"No","No","Yes","No",,
"56-18-51-85","Yes","Impalila conservancy","Yes","No","Yes","No","No","No","Neutral (or no effect)","Neutral (or no effect)",,,,,"",,,"No",,,,,,,
"26-38-66-11","Yes","Impala conservancy","Yes","No","No","No","No","Yes","Very negative effect","Very negative effect","No",3,,"No","","Very dissatisfied","Less than once a month","No",,,,,,,
"46-68-27-34","Yes","salambala","Yes","No","Yes","No","No","No","Neutral (or no effect)","Neutral (or no effect)",,,,,"",,,"No",,,,,,,
"78-16-14-09","Yes","sobbe","Yes","No","Yes","No","No","Yes","Neutral (or no effect)","Neutral (or no effect)","No",6,,"No","","Satisfied","More than once per month","Yes",4,"Yes","No","No","No",,
"01-32-09-43","No","",,,,,,,,,,,,,"",,,"Yes",2,"Yes","No","No","No",,
"11-29-18-58","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"53-42-47-52","Yes","Impala conservancy","Yes","No","No","No","No","Yes","Very negative effect","Very negative effect","No",4,,"No","","Very dissatisfied","Less than once a month","Yes",1,"No","No","Yes","No",,
"01-17-72-49","Yes","Sobbe Conservancy","Yes","No","Yes","No","No","Yes","Positive effect","Positive effect","No",10,,"No","","Satisfied","Less than once a month","Yes",-888,"Yes","No","No","No",,
"40-86-48-02","Yes","Impalila Conservancy","Yes","No","No","No","No","Yes","Neutral (or no effect)","Neutral (or no effect)","No",2,,"No","","Satisfied","Less than once a month","No",,,,,,,
"67-11-34-32","Yes","Sobe Conservacy","Yes","No","No","No","No","Yes","Positive effect","Positive effect","Yes",1,1,"No","","dissatisfied","Less than once a month","No",,,,,,,
"47-85-49-06","Yes","Impalila Conservancy","Yes","No","No","No","No","Yes","Neutral (or no effect)","Neutral (or no effect)","No",0,,"No","","dissatisfied","Never","No",,,,,,,
"68-03-09-51","Yes","Impalila conservancy","Yes","No","No","No","No","Yes","Very negative effect","Very negative effect","No",3,,"No","","Very dissatisfied","Less than once a month","No",,,,,,,
"14-68-63-82","Yes","Impalila Conservancy","Yes","No","No","No","No","Yes","Neutral (or no effect)","Neutral (or no effect)","No",2,,"No","","Satisfied","Less than once a month","Yes",3,"No","Yes","No","No",,
"80-91-19-12","Yes","Sobe Conservacy","Yes","No","No","No","No","Yes","Positive effect","Positive effect","No",1,2,"No","","Satisfied","Less than once a month","No",,,,,,,
"25-98-38-14","Yes","Sobbe Conservancy","Yes","No","Yes","No","No","Yes","Very positive effect","Very positive effect","No",25,,"No","","Satisfied","Less than once a month","Yes",-888,"Yes","No","No","No",,
"50-33-61-65","Yes","Sobbe Conservancy","Yes","No","Yes","No","No","Yes","Positive effect","Positive effect","No",1,25,"No","","Satisfied","Less than once a month","No",,,,,,,
"88-90-25-85","Yes","sobbe","Yes","No","Yes","No","No","Yes","Neutral (or no effect)","Neutral (or no effect)","No",5,,"Yes","electricity","Satisfied","More than once per month","No",,,,,,,
"04-83-20-68","Yes","Impalila conservancy","Yes","No","No","No","No","Yes","Very negative effect","Very negative effect","No",1,15,"No","","Very dissatisfied","Less than once a month","No",,,,,,,
"09-59-67-21","Yes","Impalila Conservancy","Yes","No","No","No","No","Yes","Neutral (or no effect)","Neutral (or no effect)","No",2,,"No","","Satisfied","Never","No",,,,,,,
"35-03-03-59","No","",,,,,,,,,,,,,"",,,"No",,,,,,,
"10-50-64-24","Yes","Impalila Conservancy","Yes","No","No","No","No","No","Positive effect","Positive effect",,,,,"",,,"No",,,,,,,
"13-56-95-25","Yes","Impalila Conservancy","Yes","No","No","No","No","Yes","Neutral (or no effect)","Neutral (or no effect)","No",2,,"No","","Neither","Less than once a month","No",,,,,,,
"36-88-00-01","Yes","Kasika conservancy","Yes","No","No","No","No","Yes","Very negative effect","Very positive effect","No",2,,"No","","Very dissatisfied","More than once per month","No",,,,,,,
