interview__key,conseration_agri,conserve_know,practise_ca,future_like_ca,why_future_ca_1__1,why_future_ca_1__2,why_future_ca_1__3,why_future_ca_1__96,why_future_ca_1_other,why_future_ca_2__1,why_future_ca_2__2,why_future_ca_2__3,why_future_ca_2__4,why_future_ca_2__5,why_future_ca_2__96,why_future_ca_2_other
"77-20-39-35",,,,,,,,,"",,,,,,,""
"71-78-53-70",,,,,,,,,"",,,,,,,""
"46-91-82-56",,,,,,,,,"",,,,,,,""
"20-85-85-47",,,,,,,,,"",,,,,,,""
"34-53-75-33",,,,,,,,,"",,,,,,,""
"56-13-50-35",,,,,,,,,"",,,,,,,""
"58-38-99-88",,,,,,,,,"",,,,,,,""
"81-26-40-75",,,,,,,,,"",,,,,,,""
"39-76-70-00",,,,,,,,,"",,,,,,,""
"84-11-99-46",,,,,,,,,"",,,,,,,""
"07-72-86-35",,,,,,,,,"",,,,,,,""
"76-67-31-58",,,,,,,,,"",,,,,,,""
"37-57-47-28","No","No","No",,,,,,"",,,,,,,""
"01-40-66-32","Yes","Yes","No",,,,,,"",,,,,,,""
"13-26-58-11","Yes","No","No",,,,,,"",,,,,,,""
"53-48-83-71","Yes","No","No",,,,,,"",,,,,,,""
"27-13-62-90","No","No","No",,,,,,"",,,,,,,""
"85-22-01-46","No","No","No",,,,,,"",,,,,,,""
"69-98-12-23","No","No","No",,,,,,"",,,,,,,""
"13-16-89-71","Yes","No","No",,,,,,"",,,,,,,""
"56-66-41-20","Yes","No","No",,,,,,"",,,,,,,""
"81-47-86-65","Yes","No","No",,,,,,"",,,,,,,""
"93-67-97-18","No","No","No",,,,,,"",,,,,,,""
"38-26-42-37","No","No","No",,,,,,"",,,,,,,""
"05-99-34-61","No","No","No",,,,,,"",,,,,,,""
"82-77-34-88","No","No","No",,,,,,"",,,,,,,""
"58-42-23-81","No","No","No",,,,,,"",,,,,,,""
"41-08-83-81","No","No","No",,,,,,"",,,,,,,""
"37-72-45-16","Yes","No","No",,,,,,"",,,,,,,""
"86-82-46-77","No","No","No",,,,,,"",,,,,,,""
