interview__key,r_crop__id,crop_area,cp06,crop_harvest,crop_output,crop_unit,crop_unit_1,crop_sale,crop_saleamt,crop_slunits,crop_slunits_1,crop_price,crop_buyer__1,crop_buyer__2,crop_buyer__3,crop_buyer__4,crop_buyer__5,crop_buyer__6,crop_buyer__96,crop_buyer_oth,crop_buyer_where,crop_homecons,crop_clunits,crop_cunits_1,cp_stor,cpamt,cpunits2,cpunits2_oth,crop_inkind_pay,payment_unit,payment_unit_oth,crop_gifts,gift_unit,gift_unit_oth,crop_oth_uses,crop_ouse_oth,ouses_unit,ouses_unit_oth,crp_irrig,irrig__1,irrig__2,irrig__3,irrig__4,irrig__5,irrig__6,irrig__96,irrig__n888,irrig__n999,irrig_others,irrig_method__1,irrig_method__2,irrig_method__3,irrig_method__4,irrig_method__96,irrig_method__n888,irrig_method__n999,seed,var_trait_1__1,var_trait_1__2,var_trait_1__3,var_trait_1__4,var_trait_1__5,var_trait_1__6,var_trait_1__7,var_trait_1__8,var_trait_1__9,var_trait_1__10,var_trait_1__11,var_trait_1__12,var_trait_1__13,var_trait_1__14,var_trait_1__15,var_trait_1__16,var_trait_1__17,var_trait_1__18,var_trait_1__19,var_trait_1__20,var_trait_1__96,var_trait_1_other,seed_source_1,seed_source_oth_1,seed_amt_1,seed_amtunits,seed_amtunits_oth,seed_price_1,cp07,cp08,cp09,cp11
"77-20-39-35","BEANS/COWPEA","0.1","Yes","Yes",2,"25kg bag","","No",,,"",,,,,,,,,,,0,,"","Yes","2","25kg bag","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"77-20-39-35","MAIZE","2","No","Yes",20,"50 kg bag","","Yes",10,"50 kg bag","",300,"Yes","No","No","No","No","No","No",,,0,,"","Yes","10","50 kg bag","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"Yes",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"77-20-39-35","MILLET/MAIWA","0.1","No","Yes",4,"25kg bag","","No",,,"",,,,,,,,,,,1,"25kg bag","","Yes","1","25kg bag","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","Yes",,"No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,"Yes",,,,"No","No","No","No"
"46-91-82-56","MAIZE","2","No","Yes",5,"50 kg bag","","No",,,"",,,,,,,,,,,2,"Bale / Bundle","","Yes","I don't know",,"","0",,"",0,,"","I don't know","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No",,,,,,,,"No","No","No","No"
"46-91-82-56","SORGHUM","2","No","Yes",3,"Bale / Bundle","","No",,,"",,,,,,,,,,,0,,"","Yes","I don't know",,"","0",,"",0,,"","I don't know","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No",,,,,,,,"No","No","No","No"
"81-26-40-75","MAIZE","10","No","Yes",25,"Kilograms","","No",,,"",,,,,,,,,,,25,"Kilograms","","No",,,"","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,"Yes",,,,"Yes","Yes","No","No"
"37-57-47-28","MAIZE","1","Yes","Yes",4,"50 kg bag","","No",,,"",,,,,,,,,,,4,"50 kg bag","","Yes","4","50 kg bag","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","No","No",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","Yes"
"56-66-41-20","ONION","0.1","Yes","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No",,"No","No","No","No","No",,,,"Yes",,,,"No","No","Yes","No"
"56-66-41-20","GREEN VEGETABLE","0.1","Yes","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","Yes",0,0,1,0,0,0,0,0,0,"","No","No","Yes","No","No","No","No",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No",,"No","No","No","No","No",,,,"Yes",,,,"Yes","No","No","No"
"56-66-41-20","TOMATO","0.1","Yes","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","Yes",0,0,1,0,0,0,0,0,0,"","No","No","Yes","No","No","No","No",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,,,"Yes",,,,"No","No","No","No"
"93-67-97-18","OTHER SPECIFY","0.001","Yes","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"93-67-97-18","MAIZE","0.5","Yes","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"Yes","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,"No",,,,"Yes",,,,"No","No","No","No"
"93-67-97-18","SUGAR CANE","0.001","Yes","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","Yes","No","No","No","No",,,"No","No","No","No","No","No","No","No","No","No","No","No","No",,,,"Yes",,,,"No","No","No","No"
"41-08-83-81","GREEN VEGETABLE","I don't Know","Yes","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","Yes",,,,,,,,,,"","No","No","Yes","No","No","No","No",,"No","No","No","Yes","No","No","No","No",,"No","No","No","No","No","No","No","No",,"No","No","No",,,,,,,,,,,
"41-08-83-81","TOMATO","I don't Know","Yes","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","Yes",,,,,,,,,,"","No","No","Yes","No","No","No","No",,"No","No","No","No","Yes","No","No","No","No","No",,"No","No","No","No","No",,"No","No","No","No",,,,,,,,,,,
"37-72-45-16","MAIZE","I don't Know","No","Yes",20,"Liters","","No",,,"",,,,,,,,,,,1,"10kg bag","","No",,,"","0",,"",1,"2kg packet","","0","",,"","No",,,,,,,,,,"",,,,,,,,,,"No","No","No",,"No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,
