interview__key,r_members__id,food_special,food_groups__1,food_groups__2,food_groups__3,food_groups__4,food_groups__5,food_groups__6,food_groups__7,food_groups__8,food_groups__9,food_groups__10,food_groups__11,food_groups__12,food_groups__13,food_groups__14,food_groups__15,food_groups__16
"77-20-39-35",1,"Yes","No","No","Yes","No","Yes",,"No",,"Yes","Yes","Yes","No","No","No","No","Yes"
"77-20-39-35",2,"Yes","No","No","Yes","No","Yes","No","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes"
"71-78-53-70",1,"No","Yes","Yes","No","No","No","No","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes"
"46-91-82-56",1,"No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"20-85-85-47",2,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No"
"34-53-75-33",2,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No"
"56-13-50-35",1,"Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"56-13-50-35",2,"Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"58-38-99-88",1,"No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","Yes","No","No"
"58-38-99-88",3,"Yes","Yes","No","No","Yes","No","No","No","No","Yes","No","No","Yes","No","Yes","Yes","No"
"81-26-40-75",1,"Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","Yes","No","Yes","Yes","Yes"
"81-26-40-75",2,"Yes","No","No","Yes","No","Yes","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes"
"39-76-70-00",1,"No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"39-76-70-00",3,"Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes"
"84-11-99-46",3,"Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No","No","Yes","No","Yes"
"84-11-99-46",10,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes"
"07-72-86-35",1,"Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No"
"07-72-86-35",2,"No","Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","No"
"76-67-31-58",1,"Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes"
"76-67-31-58",2,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes"
"37-57-47-28",1,"No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
"37-57-47-28",2,"No","Yes","No","No","No","Yes","No","No","No","Yes","No","No","No","Yes","Yes","Yes","No"
"01-40-66-32",1,"No","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"01-40-66-32",2,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"13-26-58-11",1,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No"
"53-48-83-71",2,"No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","Yes","Yes"
"53-48-83-71",4,"No","Yes","No","No","No","No","No","No","No",,"No",,"No","No","Yes","Yes","Yes"
"27-13-62-90",2,"No","Yes","No","No","No","No","No","No","No","Yes","No","No",,"No","No","No","No"
"85-22-01-46",1,"No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No"
"85-22-01-46",2,"No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes"
"69-98-12-23",1,"No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No"
"69-98-12-23",2,"No","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","Yes","No","Yes","No"
"13-16-89-71",1,"No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"56-66-41-20",1,"Yes","No","No","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No"
"56-66-41-20",2,"Yes","No","No","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No"
"81-47-86-65",1,"No","Yes","No","No","No","No","No","No","No","No",,"No","No","No","No","No","No"
"93-67-97-18",1,"No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes"
"38-26-42-37",1,"Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes",,"Yes"
"38-26-42-37",2,"Yes","Yes","No","Yes","No","No","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"05-99-34-61",1,"No","Yes","No","No","Yes","Yes","No","No","No","Yes",,"No","No","No","No","Yes","Yes"
"82-77-34-88",1,"No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No"
"82-77-34-88",2,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No"
"58-42-23-81",1,"No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes"
"58-42-23-81",2,"Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","No","Yes","No","Yes"
"41-08-83-81",1,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"41-08-83-81",2,"Yes","Yes",,"Yes",,,,,,,"Yes",,,,,,
"37-72-45-16",1,"Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"37-72-45-16",4,"No","Yes",,"Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","No","Yes"
"86-82-46-77",3,"Yes","No","No","Yes","No","No","No","No","No","No",,,,,,,
"35-59-75-62",1,"No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No"
"35-59-75-62",2,"No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","Yes"
"31-89-28-30",1,"Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No",,"No","No"
"31-89-28-30",2,"No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No"
"61-82-08-02",2,"Yes","No","No","No",,"Yes","No","No","No","Yes","No","No","No","No","No","No","No"
"67-96-75-77",1,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
"67-96-75-77",2,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes"
"19-03-14-53",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes"
"19-03-14-53",2,"No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"12-01-31-29",1,"Yes","Yes","No","No","No","No","No","No","Yes","No","No",,"No","No","No","No","Yes"
"12-01-31-29",3,"Yes","Yes","No","No","No","Yes","No","No","Yes","No","No","No","No","Yes","Yes","No","Yes"
"16-72-17-16",1,"Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"16-72-17-16",2,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"38-21-18-12",1,"Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes"
"38-21-18-12",2,"No","Yes","No","Yes","No","No","No","No","No","No",,"No","No","No","No","No","No"
"75-80-02-90",7,"No","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"75-80-02-90",12,"No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No"
"43-41-21-85",1,"Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No"
"66-22-88-29",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No"
"66-22-88-29",5,"Yes","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes"
"42-66-53-78",2,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
"42-66-53-78",4,"No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","Yes"
"19-23-31-06",1,"Yes","No","No","No","No","No","No",,"No","No","No","Yes","No","No","No","No","No"
"19-23-31-06",2,"No","Yes","No","Yes","No","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes"
"62-33-60-14",12,"No","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No"
"89-36-04-43",1,"No","Yes","No","Yes","Yes","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No"
"89-36-04-43",2,"Yes","Yes",,"Yes","No","No","No","No","No","Yes","No",,"No","No","No","No","No"
"87-86-68-37",1,"Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","No","No"
"87-86-68-37",2,"Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes"
"12-94-76-31",1,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No"
"12-94-76-31",2,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No"
"25-74-03-84",2,"Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"25-74-03-84",3,"Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"98-23-98-25",1,"Yes","Yes",,,,,,,,,,,,"Yes",,,
"98-23-98-25",2,"Yes","Yes",,,,,,,,,,,,,,,
"01-01-07-49",1,"Yes","No","No","Yes","Yes","No","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"05-21-83-90",1,"Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"05-21-83-90",4,"Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"77-16-48-10",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
"75-23-18-05",1,"No","Yes","No","Yes","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No"
"83-84-60-99",1,"Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","Yes","Yes","Yes",,"Yes","Yes"
"83-84-60-99",2,"Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes"
"56-18-51-85",1,"No","Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes"
"56-18-51-85",2,"Yes","Yes","No","No","No","No","No","No","No","No","No",,"No","No","Yes","Yes","No"
"26-38-66-11",1,"No","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No"
"46-68-27-34",1,"No","Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No"
"46-68-27-34",2,"No","Yes","No","Yes","No","No","No","No","No","Yes",,"No","No","No","Yes","Yes","No"
"78-16-14-09",1,"No","Yes","No","Yes","No","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
"78-16-14-09",2,"No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No"
"01-32-09-43",1,"No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"11-29-18-58",1,"No","Yes","No","Yes","No","Yes","No","No","No","Yes","No","Yes","No","No","Yes","Yes","No"
"11-29-18-58",2,"No","Yes",,"Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No"
"53-42-47-52",2,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes","Yes","No"
"01-17-72-49",1,"Yes","Yes",,"Yes",,,,,,,,,,,"Yes",,
"01-17-72-49",3,"Yes","Yes",,"Yes",,,,,,,,,,,"Yes",,
"40-86-48-02",1,"Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes"
"40-86-48-02",3,"Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes"
"67-11-34-32",1,"No","Yes",,,"Yes",,,,,,,,,,,,
"67-11-34-32",2,"Yes","Yes",,,"Yes",,,,,,,,,,,,
"47-85-49-06",1,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","Yes","Yes"
"47-85-49-06",2,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes"
"68-03-09-51",1,"Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"14-68-63-82",1,"Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","Yes"
"80-91-19-12",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"25-98-38-14",1,"No","Yes",,,,,,,,,,,"Yes",,,,
"50-33-61-65",1,"Yes","Yes",,,,,,,,,,,"Yes",,,,
"88-90-25-85",1,"No","Yes","No","Yes","No","Yes",,"No","Yes","No","No","No","Yes","Yes","Yes","Yes","No"
"88-90-25-85",2,"No","Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","No"
"04-83-20-68",1,"Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes"
"04-83-20-68",2,"Yes","Yes","No","No","No","Yes","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes"
"09-59-67-21",4,"No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","Yes"
"09-59-67-21",7,"Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","Yes"
"35-03-03-59",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No"
"10-50-64-24",2,"Yes","No","No","Yes","No","No","No","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes"
"10-50-64-24",6,"Yes","No","No","No","No","Yes","No","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes"
"13-56-95-25",6,"Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","Yes","No","No","Yes","No","Yes"
"36-88-00-01",1,"Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"36-88-00-01",2,"No","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
